period_min	period_max	source	rank
2018-01-01	2018-12-31	H3260_v1_7	580
2018-01-01	2018-12-31	H3260_v1_7	581
2018-01-01	2018-12-31	H3260_v1_7	582
2018-01-01	2018-12-31	H3260_v1_7	583
2018-01-01	2018-12-31	H3260_v1_7	584
2018-01-01	2018-12-31	H3260_v1_7	585
2018-01-01	2018-12-31	H3260_v1_7	586
2018-01-01	2018-12-31	H3260_v1_7	587
2018-01-01	2018-12-31	H3260_v1_7	588
2018-01-01	2018-12-31	H3260_v1_7	589
2018-01-01	2018-12-31	H3260_v1_7	590
2018-01-01	2018-12-31	H3260_v1_7	591
2008-01-01	2009-12-31	H3260_v1_3	5546
2010-01-01	2011-12-31	H3260_v1_4	5546
2012-01-01	2015-12-31	H3260_v1_5	5546
2016-01-01	2017-12-31	H3260_v1_6	5546
2018-01-01	2018-12-31	H3260_v1_7	5546
2008-01-01	2009-12-31	H3260_v1_3	5547
2010-01-01	2011-12-31	H3260_v1_4	5547
2012-01-01	2015-12-31	H3260_v1_5	5547
2016-01-01	2017-12-31	H3260_v1_6	5547
2018-01-01	2018-12-31	H3260_v1_7	5547
2008-01-01	2009-12-31	H3260_v1_3	5548
2010-01-01	2011-12-31	H3260_v1_4	5548
2012-01-01	2015-12-31	H3260_v1_5	5548
2016-01-01	2017-12-31	H3260_v1_6	5548
2018-01-01	2018-12-31	H3260_v1_7	5548
2008-01-01	2009-12-31	H3260_v1_3	5549
2010-01-01	2011-12-31	H3260_v1_4	5549
2012-01-01	2015-12-31	H3260_v1_5	5549
2016-01-01	2017-12-31	H3260_v1_6	5549
2018-01-01	2018-12-31	H3260_v1_7	5549
2008-01-01	2009-12-31	H3260_v1_3	5550
2010-01-01	2011-12-31	H3260_v1_4	5550
2012-01-01	2015-12-31	H3260_v1_5	5550
2016-01-01	2017-12-31	H3260_v1_6	5550
2018-01-01	2018-12-31	H3260_v1_7	5550
2008-01-01	2009-12-31	H3260_v1_3	5551
2010-01-01	2011-12-31	H3260_v1_4	5551
2012-01-01	2015-12-31	H3260_v1_5	5551
2016-01-01	2017-12-31	H3260_v1_6	5551
2018-01-01	2018-12-31	H3260_v1_7	5551
2008-01-01	2009-12-31	H3260_v1_3	5552
2010-01-01	2011-12-31	H3260_v1_4	5552
2012-01-01	2015-12-31	H3260_v1_5	5552
2016-01-01	2017-12-31	H3260_v1_6	5552
2018-01-01	2018-12-31	H3260_v1_7	5552
2008-01-01	2009-12-31	H3260_v1_3	5553
2010-01-01	2011-12-31	H3260_v1_4	5553
2012-01-01	2015-12-31	H3260_v1_5	5553
2016-01-01	2017-12-31	H3260_v1_6	5553
2018-01-01	2018-12-31	H3260_v1_7	5553
2008-01-01	2009-12-31	H3260_v1_3	5554
2010-01-01	2011-12-31	H3260_v1_4	5554
2012-01-01	2015-12-31	H3260_v1_5	5554
2016-01-01	2017-12-31	H3260_v1_6	5554
2018-01-01	2018-12-31	H3260_v1_7	5554
2008-01-01	2009-12-31	H3260_v1_3	5555
2010-01-01	2011-12-31	H3260_v1_4	5555
2012-01-01	2015-12-31	H3260_v1_5	5555
2016-01-01	2017-12-31	H3260_v1_6	5555
2018-01-01	2018-12-31	H3260_v1_7	5555
2008-01-01	2009-12-31	H3260_v1_3	5556
2010-01-01	2011-12-31	H3260_v1_4	5556
2012-01-01	2015-12-31	H3260_v1_5	5556
2016-01-01	2017-12-31	H3260_v1_6	5556
2018-01-01	2018-12-31	H3260_v1_7	5556
2008-01-01	2009-12-31	H3260_v1_3	5557
2010-01-01	2011-12-31	H3260_v1_4	5557
2012-01-01	2015-12-31	H3260_v1_5	5557
2016-01-01	2017-12-31	H3260_v1_6	5557
2018-01-01	2018-12-31	H3260_v1_7	5557
2008-01-01	2009-12-31	H3260_v1_3	5558
2010-01-01	2011-12-31	H3260_v1_4	5558
2012-01-01	2015-12-31	H3260_v1_5	5558
2016-01-01	2017-12-31	H3260_v1_6	5558
2018-01-01	2018-12-31	H3260_v1_7	5558
2008-01-01	2009-12-31	H3260_v1_3	5559
2010-01-01	2011-12-31	H3260_v1_4	5559
2012-01-01	2015-12-31	H3260_v1_5	5559
2016-01-01	2017-12-31	H3260_v1_6	5559
2018-01-01	2018-12-31	H3260_v1_7	5559
2008-01-01	2009-12-31	H3260_v1_3	5560
2010-01-01	2011-12-31	H3260_v1_4	5560
2012-01-01	2015-12-31	H3260_v1_5	5560
2016-01-01	2017-12-31	H3260_v1_6	5560
2018-01-01	2018-12-31	H3260_v1_7	5560
2008-01-01	2009-12-31	H3260_v1_3	5561
2010-01-01	2011-12-31	H3260_v1_4	5561
2012-01-01	2015-12-31	H3260_v1_5	5561
2016-01-01	2017-12-31	H3260_v1_6	5561
2018-01-01	2018-12-31	H3260_v1_7	5561
2008-01-01	2009-12-31	H3260_v1_3	5562
2010-01-01	2011-12-31	H3260_v1_4	5562
2012-01-01	2015-12-31	H3260_v1_5	5562
2016-01-01	2017-12-31	H3260_v1_6	5562
2018-01-01	2018-12-31	H3260_v1_7	5562
2008-01-01	2009-12-31	H3260_v1_3	5563
2010-01-01	2011-12-31	H3260_v1_4	5563
2012-01-01	2015-12-31	H3260_v1_5	5563
2016-01-01	2017-12-31	H3260_v1_6	5563
2018-01-01	2018-12-31	H3260_v1_7	5563
2008-01-01	2009-12-31	H3260_v1_3	5567
2010-01-01	2011-12-31	H3260_v1_4	5567
2012-01-01	2015-12-31	H3260_v1_5	5567
2016-01-01	2017-12-31	H3260_v1_6	5567
2018-01-01	2018-12-31	H3260_v1_7	5567
2008-01-01	2009-12-31	H3260_v1_3	5568
2010-01-01	2011-12-31	H3260_v1_4	5568
2012-01-01	2015-12-31	H3260_v1_5	5568
2016-01-01	2017-12-31	H3260_v1_6	5568
2018-01-01	2018-12-31	H3260_v1_7	5568
2008-01-01	2009-12-31	H3260_v1_3	5569
2010-01-01	2011-12-31	H3260_v1_4	5569
2012-01-01	2015-12-31	H3260_v1_5	5569
2016-01-01	2017-12-31	H3260_v1_6	5569
2018-01-01	2018-12-31	H3260_v1_7	5569
2008-01-01	2009-12-31	H3260_v1_3	5570
2010-01-01	2011-12-31	H3260_v1_4	5570
2012-01-01	2015-12-31	H3260_v1_5	5570
2016-01-01	2017-12-31	H3260_v1_6	5570
2018-01-01	2018-12-31	H3260_v1_7	5570
2008-01-01	2009-12-31	H3260_v1_3	5571
2010-01-01	2011-12-31	H3260_v1_4	5571
2012-01-01	2015-12-31	H3260_v1_5	5571
2016-01-01	2017-12-31	H3260_v1_6	5571
2018-01-01	2018-12-31	H3260_v1_7	5571
2008-01-01	2009-12-31	H3260_v1_3	5572
2010-01-01	2011-12-31	H3260_v1_4	5572
2012-01-01	2015-12-31	H3260_v1_5	5572
2016-01-01	2017-12-31	H3260_v1_6	5572
2018-01-01	2018-12-31	H3260_v1_7	5572
2008-01-01	2009-12-31	H3260_v1_3	5573
2010-01-01	2011-12-31	H3260_v1_4	5573
2012-01-01	2015-12-31	H3260_v1_5	5573
2016-01-01	2017-12-31	H3260_v1_6	5573
2018-01-01	2018-12-31	H3260_v1_7	5573
2008-01-01	2009-12-31	H3260_v1_3	5574
2010-01-01	2011-12-31	H3260_v1_4	5574
2012-01-01	2015-12-31	H3260_v1_5	5574
2016-01-01	2017-12-31	H3260_v1_6	5574
2018-01-01	2018-12-31	H3260_v1_7	5574
2008-01-01	2009-12-31	H3260_v1_3	5575
2010-01-01	2011-12-31	H3260_v1_4	5575
2012-01-01	2015-12-31	H3260_v1_5	5575
2016-01-01	2017-12-31	H3260_v1_6	5575
2018-01-01	2018-12-31	H3260_v1_7	5575
2008-01-01	2009-12-31	H3260_v1_3	5576
2010-01-01	2011-12-31	H3260_v1_4	5576
2012-01-01	2015-12-31	H3260_v1_5	5576
