stratum	sp_poststratum	panel_set	panel_address	panel_id
2	1	1	2	28
2	1	1	3	9
2	1	1	4	44
2	1	1	5	5
2	1	1	6	36
2	1	1	7	20
2	1	1	10	32
2	1	1	11	16
2	1	1	12	45
2	1	1	13	4
2	1	1	14	40
2	1	1	15	24
2	1	1	18	25
2	1	1	19	11
2	1	1	20	42
2	1	1	21	7
2	1	1	22	34
2	1	1	23	17
2	1	1	26	30
2	1	1	27	13
2	1	1	28	48
2	1	1	29	1
2	1	1	30	37
2	1	1	31	21
2	1	1	34	27
2	1	1	35	10
2	1	1	36	43
2	1	1	37	6
2	1	1	38	35
2	1	1	39	19
2	1	1	42	31
2	1	1	43	15
2	1	1	44	46
2	1	1	45	3
2	1	1	46	39
2	1	1	47	23
2	1	1	50	26
2	1	1	51	12
2	1	1	52	41
2	1	1	53	8
2	1	1	54	33
2	1	1	55	18
2	1	1	58	29
2	1	1	59	14
2	1	1	60	47
2	1	1	61	2
2	1	1	62	38
2	1	1	63	22
2	1	2	0	33
2	1	2	1	19
2	1	2	4	29
2	1	2	5	11
2	1	2	6	46
2	1	2	7	2
2	1	2	8	39
2	1	2	9	21
2	1	2	12	26
2	1	2	13	16
2	1	2	14	41
2	1	2	15	8
2	1	2	16	35
2	1	2	17	18
2	1	2	20	32
2	1	2	21	9
2	1	2	22	48
2	1	2	23	4
2	1	2	24	38
2	1	2	25	23
2	1	2	28	28
2	1	2	29	14
2	1	2	30	44
2	1	2	31	5
2	1	2	32	34
2	1	2	33	20
2	1	2	36	30
2	1	2	37	12
2	1	2	38	45
2	1	2	39	1
2	1	2	40	40
2	1	2	41	22
2	1	2	44	25
2	1	2	45	15
2	1	2	46	42
2	1	2	47	7
2	1	2	48	36
2	1	2	49	17
2	1	2	52	31
2	1	2	53	10
2	1	2	54	47
2	1	2	55	3
2	1	2	56	37
2	1	2	57	24
2	1	2	60	27
2	1	2	61	13
2	1	2	62	43
2	1	2	63	6
7	1	1	0	22
7	1	1	1	30
7	1	1	3	44
7	1	1	4	14
7	1	1	5	37
7	1	1	6	5
7	1	1	8	20
7	1	1	9	25
7	1	1	11	45
7	1	1	12	11
7	1	1	13	33
7	1	1	14	1
7	1	1	16	23
7	1	1	17	31
7	1	1	19	41
7	1	1	20	15
7	1	1	21	39
7	1	1	22	8
7	1	1	24	18
7	1	1	25	27
7	1	1	27	47
7	1	1	28	10
7	1	1	29	36
7	1	1	30	4
7	1	1	32	21
7	1	1	33	29
7	1	1	35	43
7	1	1	36	13
7	1	1	37	38
7	1	1	38	6
7	1	1	40	19
7	1	1	41	26
7	1	1	43	46
7	1	1	44	12
7	1	1	45	34
7	1	1	46	2
7	1	1	48	24
7	1	1	49	32
7	1	1	51	42
7	1	1	52	16
7	1	1	53	40
7	1	1	54	7
7	1	1	56	17
7	1	1	57	28
7	1	1	59	48
7	1	1	60	9
7	1	1	61	35
7	1	1	62	3
7	1	2	0	30
7	1	2	1	21
7	1	2	2	41
7	1	2	3	6
7	1	2	4	40
7	1	2	5	12
7	1	2	8	26
7	1	2	9	18
7	1	2	10	46
7	1	2	11	1
7	1	2	12	35
7	1	2	13	15
7	1	2	16	31
7	1	2	17	24
7	1	2	18	43
7	1	2	19	7
7	1	2	20	38
7	1	2	21	10
7	1	2	24	28
7	1	2	25	19
7	1	2	26	47
7	1	2	27	3
7	1	2	28	34
7	1	2	29	13
7	1	2	32	29
7	1	2	33	22
7	1	2	34	42
7	1	2	35	5
7	1	2	36	39
7	1	2	37	11
7	1	2	40	25
7	1	2	41	17
7	1	2	42	45
7	1	2	43	2
7	1	2	44	36
7	1	2	45	16
7	1	2	48	32
