polygon_legacyid,x,y,annotation,ranknr,active_in_db_from,active_in_db_till
An-RPT_005,204223.3574,221257.2317,NA,869,2018-11-09,2018-11-12
AN_ABH_007,192154.2487,192768.5771,NA,909,2018-11-09,2018-11-12
AN_ARE_001,203427.8998,221564.1596,NA,868,2018-11-09,2018-11-12
AN_ATG_001,151308.1342,225980.7099,NA,978,2018-11-09,2018-11-12
AN_AVE_001,173816.9873,197967.04,NA,917,2018-11-09,2018-11-12
AN_BAL_001,208966.1602,210034.2293,NA,1182,2018-11-09,2018-11-12
AN_BAS_001,207029.2114,204705.8183,NA,1340,2018-11-09,2018-11-12
AN_BAS_002,206888.7088,204549.188,NA,1341,2018-11-09,2018-11-12
AN_BAS_OO3,207635.9721,204658.3674,NA,1339,2018-11-09,2018-11-12
AN_BAV_001,208525.3203,206174.2647,NA,1337,2018-11-09,2018-11-12
AN_BAV_002,208219.3767,206223.9181,NA,1338,2018-11-09,2018-11-12
AN_BEE_001,181311.5518,224246.6972,NA,1100,2018-11-09,2018-11-12
AN_BEE_002,181411.1028,224207.9566,NA,845,2018-11-09,2018-11-12
AN_BEE_003,181346.1275,224441.6134,NA,1189,2018-11-09,2018-11-12
AN_BEE_004,181404.0713,224247.5412,NA,1188,2018-11-09,2018-11-12
AN_BEE_005,181438.2027,224276.91,NA,1190,2018-11-09,2018-11-12
AN_BG0_002,206607.7803,212218.7889,NA,1316,2018-11-09,2018-11-12
AN_BGO_001,205407.5082,211741.6715,NA,1315,2018-11-09,2018-11-12
AN_BLA_001,181371.1492,224970.1357,NA,1101,2018-11-09,2018-11-12
AN_BLA_002,180985.0698,225024.3433,NA,843,2018-11-09,2018-11-12
AN_BLA_003,181020.2595,224966.3994,NA,842,2018-11-09,2018-11-12
AN_BLA_004,181695.9273,224533.4609,NA,844,2018-11-09,2018-11-12
AN_BLO_001,177388.627,215235.4631,NA,970,2018-11-09,2018-11-12
AN_BOG_001,197396.5007,234690.5028,NA,859,2018-11-09,2018-11-12
AN_BPE_001,151454.8651,219382.5252,NA,817,2018-11-09,2018-11-12
AN_DEB_001,154891.8536,239202.4801,NA,808,2018-11-09,2018-11-12
AN_DES_003,203876.76,217264.6988,NA,961,2018-11-09,2018-11-12
AN_DES_004,205615.1841,217485.0816,NA,873,2018-11-09,2018-11-12
AN_DIE_001,208059.3193,215181.8373,NA,962,2018-11-09,2018-11-12
AN_DIE_002,207802.0226,214971.7731,NA,874,2018-11-09,2018-11-12
AN_DUI_001,189578.6604,217608.2644,NA,968,2018-11-09,2018-11-12
AN_DUI_002,190090.4185,218362.1697,NA,967,2018-11-09,2018-11-12
AN_DVH_001,174437.1338,224138.0856,NA,1098,2018-11-09,2018-11-12
AN_DVH_002,174496.6652,224144.0387,NA,1097,2018-11-09,2018-11-12
AN_DVH_003,175515.4454,224001.428,NA,1099,2018-11-09,2018-11-12
AN_DVH_004,175010.6295,224807.5071,NA,835,2018-11-09,2018-11-12
AN_DVH_005,175257.7112,224580.0708,NA,836,2018-11-09,2018-11-12
AN_DVH_006,174986.0021,224341.1728,NA,840,2018-11-09,2018-11-12
AN_DVH_007,175692.6262,224558.0522,NA,838,2018-11-09,2018-11-12
AN_DVH_008,175541.8345,224506.3842,NA,837,2018-11-09,2018-11-12
AN_DVH_009,175188.0648,224113.419,NA,839,2018-11-09,2018-11-12
AN_DVH_010,174681.9423,223646.1639,NA,841,2018-11-09,2018-11-12
AN_E10_001,161606.9503,221461.4138,NA,990,2018-11-09,2018-11-12
AN_E10_002,166511.9416,229677.5943,NA,824,2018-11-09,2018-11-12
AN_ELS_001,180292.2572,242267.1638,NA,805,2018-11-09,2018-11-12
AN_ELS_002,180686.8575,242951.801,NA,804,2018-11-09,2018-11-12
AN_ENG_001,186810.3514,201695.3862,NA,975,2018-11-09,2018-11-12
AN_ENK_001,179565.5849,207741.8176,NA,1320,2018-11-09,2018-11-12
AN_ENK_002,179518.5737,207815.6924,NA,1319,2018-11-09,2018-11-12
AN_FER_001,153967.202,226332.2095,NA,977,2018-11-09,2018-11-12
AN_FOR_001,158763.2535,224483.4792,NA,818,2018-11-09,2018-11-12
AN_GIE_001,186024.1208,219497.6589,NA,950,2018-11-09,2018-11-12
AN_GKH_001,183212.9189,224814.6474,NA,846,2018-11-09,2018-11-12
AN_GKH_002,183121.267,224877.9358,NA,847,2018-11-09,2018-11-12
AN_GOO_001,201625.1603,220217.3405,NA,985,2018-11-09,2018-11-12
AN_GOO_002,202003.612,220382.8769,NA,960,2018-11-09,2018-11-12
AN_GRD_003,202222.6409,224309.8521,NA,867,2018-11-09,2018-11-12
AN_GSV_002,163229.108,225139.2703,NA,831,2018-11-09,2018-11-12
AN_GSV_003,163212.4756,225174.3606,NA,830,2018-11-09,2018-11-12
AN_GSV_004,162719.6915,225033.8817,NA,829,2018-11-09,2018-11-12
AN_GSV_005,163559.7541,226428.9442,NA,827,2018-11-09,2018-11-12
AN_GSV_006,163455.2435,226544.6732,NA,828,2018-11-09,2018-11-12
AN_GSV_007,165722.1331,227681.0109,NA,826,2018-11-09,2018-11-12
AN_GSV_008,166408.6877,229395.0081,NA,825,2018-11-09,2018-11-12
AN_GVM_001,155371.9624,194454.7256,NA,1329,2018-11-09,2018-11-12
AN_HAZ_001,152465.1079,194667.5316,NA,1328,2018-11-09,2018-11-12
AN_HGA_001,184797.1795,194947.3387,NA,1092,2018-11-09,2018-11-12
AN_HGA_002,184657.8497,194822.9313,NA,1091,2018-11-09,2018-11-12
AN_HGA_003,184005.8093,194581.3927,NA,1090,2018-11-09,2018-11-12
AN_HGA_004,184224.9128,194071.7074,NA,914,2018-11-09,2018-11-12
AN_HGA_005,183911.209,194600.2931,NA,916,2018-11-09,2018-11-12
AN_HOP_001,148381.154,208669.4011,NA,1331,2018-11-09,2018-11-12
AN_HUF_001,184843.4156,224959.1554,NA,1102,2018-11-09,2018-11-12
AN_HUF_002,184543.3775,225130.6058,NA,1103,2018-11-09,2018-11-12
AN_KAL_001,153423.6409,233218.6131,NA,979,2018-11-09,2018-11-12
AN_KAL_002,154894.1114,232616.0311,NA,815,2018-11-09,2018-11-12
AN_KAL_003,154357.866,233252.0466,NA,813,2018-11-09,2018-11-12
AN_KAL_004,155202.0605,231376.879,NA,816,2018-11-09,2018-11-12
AN_KAL_006,154958.1407,232731.9188,NA,814,2018-11-09,2018-11-12
AN_KAL_007,153546.3322,233789.5708,NA,812,2018-11-09,2018-11-12
AN_KAS_001,195111.1145,216434.3862,NA,1193,2018-11-12,2018-11-12
AN_KAS_002,190766.6251,214944.549,NA,940,2018-11-09,2018-11-12
AN_KAS_003,195837.5071,216377.2177,NA,941,2018-11-09,2018-11-12
AN_KDN_001,179854.0383,215286.0792,NA,955,2018-11-09,2018-11-12
AN_KDN_002,179506.1106,215010.3828,NA,957,2018-11-09,2018-11-12
AN_KDN_003,179992.9449,215269.1458,NA,956,2018-11-09,2018-11-12
AN_KDN_005,179682.0941,214160.4865,NA,958,2018-11-09,2018-11-12
AN_KOO_001,170195.0475,224044.2531,NA,1095,2018-11-09,2018-11-12
AN_KOO_002,169889.3505,224720.265,NA,832,2018-11-09,2018-11-12
AN_KOO_00X,169863.8493,224684.2368,NA,1191,2018-11-09,2018-11-12
AN_KOO_00Y,169488.1402,224794.3037,NA,1192,2018-11-09,2018-11-12
AN_KRA_001,141566.6436,199937.0533,NA,1001,2018-11-09,2018-11-12
AN_KSV_001,158995.4558,227879.2221,NA,821,2018-11-09,2018-11-12
AN_KSV_002,158501.8636,228140.362,NA,823,2018-11-09,2018-11-12
AN_KSV_004,158685.1541,227926.3137,NA,822,2018-11-09,2018-11-12
AN_KSV_005,158578.0748,227370.4274,NA,820,2018-11-09,2018-11-12
AN_KSV_006,158799.6071,225374.0444,NA,819,2018-11-09,2018-11-12
AN_KVD_002,195557.5468,227994.6111,NA,857,2018-11-09,2018-11-12
AN_KVD_003,194704.2639,228095.6159,NA,856,2018-11-09,2018-11-12
AN_LAN_001,184429.6549,190287.663,NA,1085,2018-11-09,2018-11-12
AN_LAN_002,184354.91,190731.1055,NA,1086,2018-11-09,2018-11-12
AN_LAN_003,184577.9234,190787.3785,NA,919,2018-11-09,2018-11-09
AN_LAN_003,184581.9451,190789.7068,NA,919,2018-11-09,2018-11-12
AN_LAN_004,184573.324,191086.4946,NA,1087,2018-11-09,2018-11-12
AN_LAN_005,184637.2915,191331.5257,NA,1089,2018-11-09,2018-11-12
AN_LAN_006,184928.4661,191240.112,NA,1088,2018-11-09,2018-11-12
AN_LAN_007,185089.6357,191197.6619,NA,918,2018-11-09,2018-11-12
AN_LAN_008,184962.4114,190491.895,NA,921,2018-11-09,2018-11-12
AN_LAN_009,185044.6706,190570.5691,NA,920,2018-11-09,2018-11-12
AN_LDL_001,196071.5874,225500.8606,NA,984,2018-11-09,2018-11-12
AN_LDL_002,195490.0488,224209.5881,NA,865,2018-11-09,2018-11-12
AN_LDL_003,195684.3195,225595.5181,NA,864,2018-11-09,2018-11-12
AN_LDL_004,194800.4021,224586.1438,NA,866,2018-11-09,2018-11-12
AN_LIL_001,181694.3249,218141.7328,NA,953,2018-11-09,2018-11-12
AN_LIL_002,180601.2232,216867.6027,NA,954,2018-11-09,2018-11-12
AN_LIL_003,180379.9781,219663.381,NA,952,2018-11-09,2018-11-12
AN_LIL_004,180930.4713,220425.9646,NA,951,2018-11-09,2018-11-12
AN_MEC_001,160281.2743,190267.2007,NA,1183,2018-11-09,2018-11-12
AN_MEC_002,159857.7107,189617.535,NA,930,2018-11-09,2018-11-12
AN_MEL_001,191463.6087,220697.8208,NA,966,2018-11-09,2018-11-12
AN_MOE_001,187252.6779,232387.3286,NA,852,2018-11-09,2018-11-12
AN_MOL_001,207932.8747,212965.9474,NA,963,2018-11-09,2018-11-12
AN_MOL_002,206216.7837,213576.9774,NA,964,2018-11-09,2018-11-12
AN_MOL_003,207743.1009,214068.7877,NA,875,2018-11-09,2018-11-12
AN_MOL_004,206365.082,213583.8607,NA,876,2018-11-09,2018-11-12
AN_MOS_001,211036.6865,207406.5218,NA,1059,2018-11-09,2018-11-12
AN_MOS_002,210933.6872,207812.1658,NA,1342,2018-11-09,2018-11-12
AN_MUI_001,204988.3519,218977.4343,NA,988,2018-11-09,2018-11-12
AN_MUI_002,205293.2848,218876.231,NA,989,2018-11-09,2018-11-12
AN_MUI_003,205654.8143,219027.3454,NA,872,2018-11-09,2018-11-12
AN_NEE_001,189736.4898,208326.0314,NA,931,2018-11-09,2018-11-12
AN_NOL_001,154543.8134,234652.898,NA,810,2018-11-09,2018-11-12
AN_NOL_002,156176.4281,234608.6648,NA,809,2018-11-09,2018-11-12
AN_NOL_003,154351.3815,234226.8176,NA,811,2018-11-09,2018-11-12
AN_OLB_002,185390.4882,208939.4162,NA,932,2018-11-09,2018-11-12
AN_OLB_003,185396.3091,208982.0142,NA,933,2018-11-09,2018-11-12
AN_PUL_001,174230.9041,212262.3024,NA,1322,2018-11-09,2018-11-12
AN_PUL_002,174393.2866,212493.807,NA,1323,2018-11-09,2018-11-12
AN_PUL_003,174466.2564,212543.5139,NA,1325,2018-11-09,2018-11-12
AN_PUL_004,173950.0535,212228.4311,NA,1321,2018-11-09,2018-11-12
AN_RAV_001,196947.4093,229738.2028,NA,862,2018-11-09,2018-11-12
AN_RAV_002,198847.4919,231074.7526,NA,861,2018-11-09,2018-11-12
AN_RAV_003,197895.1487,234855.7619,NA,860,2018-11-09,2018-11-12
AN_RAV_004,197218.6166,229494.0184,NA,863,2018-11-09,2018-11-12
AN_RET_001,196301.6093,212819.6114,NA,965,2018-11-09,2018-11-12
AN_RIN_001,164801.8009,219100.9041,NA,858,2018-11-09,2018-11-12
AN_RPT_001,205404.9392,220199.018,NA,986,2018-11-09,2018-11-12
AN_RPT_002,204866.5111,219958.2467,NA,987,2018-11-09,2018-11-12
AN_RPT_003,204634.7112,220535.0765,NA,871,2018-11-09,2018-11-12
AN_RPT_004,203896.3847,220622.2304,NA,870,2018-11-09,2018-11-12
AN_RVS_001,173051.905,225898.6156,NA,1096,2018-11-09,2018-11-12
AN_RVS_002,173364.0642,226086.9465,NA,833,2018-11-09,2018-11-12
AN_SEL_002,197976.5461,207155.115,NA,1186,2018-11-09,2018-11-12
AN_SLH_001,174907.1772,228560.8144,NA,834,2018-11-09,2018-11-12
AN_SNE_001,185553.6395,210055.7914,NA,1194,2018-11-12,2018-11-12
AN_SNE_002,185332.4827,210224.7566,NA,934,2018-11-09,2018-11-12
AN_SNE_003,185651.7613,209855.0271,NA,935,2018-11-09,2018-11-12
AN_SNE_004,185748.2374,209981.5952,NA,936,2018-11-09,2018-11-12
AN_SNE_006,185869.7449,210130.9871,NA,937,2018-11-09,2018-11-12
AN_SNE_007,186110.7279,210354.4811,NA,938,2018-11-09,2018-11-12
AN_SNE_008,185267.605,211177.9984,NA,939,2018-11-09,2018-11-12
AN_SPB_001,195349.9746,203717.3377,NA,1105,2018-11-09,2018-11-12
AN_SPB_002,195632.6957,203718.3431,NA,1106,2018-11-09,2018-11-12
AN_STB_001,166546.0656,205004.4809,NA,1094,2018-11-09,2018-11-12
AN_TIE_002,187864.3677,217436.0876,NA,948,2018-11-09,2018-11-12
AN_TIE_003,187909.2147,216935.6272,NA,947,2018-11-09,2018-11-12
AN_TIE_004,188692.0125,216845.2454,NA,946,2018-11-09,2018-11-12
AN_TIE_005,188947.402,217006.1653,NA,945,2018-11-09,2018-11-12
AN_TIE_006,188364.3263,217601.9673,NA,969,2018-11-09,2018-11-12
AN_TIE_007,188151.3089,217474.9814,NA,949,2018-11-09,2018-11-12
AN_TIK_002,193958.2473,218775.8027,NA,944,2018-11-09,2018-11-12
AN_TIK_003,193970.9474,218824.6978,NA,943,2018-11-09,2018-11-12
AN_TIK_004,193833.1256,218911.9311,NA,942,2018-11-09,2018-11-12
AN_TUR_001,191823.2966,228252.4005,NA,983,2018-11-09,2018-11-12
AN_TUR_002,192299.3024,228130.0912,NA,855,2018-11-09,2018-11-12
AN_TVG_001,189758.3783,228993.9761,NA,981,2018-11-09,2018-11-12
AN_TVG_002,189915.9115,229130.422,NA,982,2018-11-09,2018-11-12
AN_TVG_002,192299.3024,228130.0912,NA,855,2018-11-09,2018-11-09
AN_TVG_003,189374.1364,229237.9886,NA,980,2018-11-09,2018-11-12
AN_TVG_004,189494.8634,229054.0445,NA,853,2018-11-09,2018-11-12
AN_TVG_005,189519.258,228505.2711,NA,854,2018-11-09,2018-11-12
AN_TVG_006,189097.4204,228021.1244,NA,1187,2018-11-09,2018-11-12
AN_VOL_001,199638.6714,205665.5077,NA,1318,2018-11-09,2018-11-12
AN_VOL_002,199653.1202,206037.2339,NA,1317,2018-11-09,2018-11-12
AN_VRI_001,166536.8246,212266.2259,NA,976,2018-11-09,2018-11-12
AN_VUI_001,154246.1222,203602.7194,NA,1336,2018-11-09,2018-11-12
AN_VVM_001,181868.1714,233596.6885,NA,848,2018-11-09,2018-11-12
AN_VVM_002,182609.9323,233919.0839,NA,850,2018-11-09,2018-11-12
AN_VVM_003,176572.6578,240570.9167,NA,807,2018-11-09,2018-11-12
AN_VVM_004,176535.6426,240775.3606,NA,806,2018-11-09,2018-11-12
AN_VVM_005,185899.0139,234175.0953,NA,851,2018-11-09,2018-11-12
AN_VVM_006,182533.4014,233672.2933,NA,849,2018-11-09,2018-11-12
AN_WES_001,182505.2748,195033.8973,NA,1093,2018-11-09,2018-11-12
AN_WES_002,184026.9512,195060.325,NA,915,2018-11-09,2018-11-12
AN_WIL_001,193896.4832,203345.6635,NA,1104,2018-11-09,2018-11-12
AN_WKV_001,155538.2312,194993.292,NA,1330,2018-11-09,2018-11-12
AN_WZA_001,177160.0807,215633.6542,NA,959,2018-11-09,2018-11-12
AN_ZAM_001,191466.32,198650.5737,NA,911,2018-11-09,2018-11-12
AN_ZAM_002,191516.9217,198850.6652,NA,912,2018-11-09,2018-11-12
AN_ZAM_003,191578.4374,198839.4204,NA,913,2018-11-09,2018-11-12
AN_ZEG_001,190000.1755,209732.6832,NA,972,2018-11-09,2018-11-12
AN_ZEG_002,189425.1257,210062.8178,NA,973,2018-11-09,2018-11-12
AN_ZEG_003,189545.3393,210103.9473,NA,974,2018-11-09,2018-11-12
AN_ZEG_004,189865.8992,209502.5394,NA,971,2018-11-09,2018-11-12
ANTANT0297,151454.8651,219382.5252,AN_BPE_001,817,2018-12-14,2018-12-14
ANTANT0297,151454.8651,219382.5252,AN_BPE_001,817,2018-12-14,9999-12-31
ANTANT0297,151487.4147,219304.2622,ANTANT0297_GRACHT,3450,2024-03-22,2024-08-30
ANTANT0297,151487.4147,219304.2622,AN_BPE_001_gracht,3450,2024-08-30,9999-12-31
ANTANT0315,151255.7847,218806.0005,ANTANT0315,3451,2024-03-22,9999-12-31
ANTANT0319,151278.3405,218656.0873,ANTANT0319,3452,2024-03-22,9999-12-31
ANTANT0383,148381.154,208669.4011,AN_HOP_001,1331,2018-12-14,2018-12-14
ANTANT0383,148381.154,208669.4011,AN_HOP_001,1331,2018-12-14,9999-12-31
ANTARE0025,198847.4919,231074.7526,AN_RAV_002,861,2018-12-14,2018-12-14
ANTARE0025,198847.4919,231074.7526,AN_RAV_002,861,2018-12-14,9999-12-31
ANTARE0200,203427.8998,221564.1596,AN_ARE_001,868,2018-12-14,2018-12-14
ANTARE0200,203427.8998,221564.1596,AN_ARE_001,868,2018-12-14,9999-12-31
ANTARE0309,202222.6409,224309.8521,AN_GRD_003,867,2018-12-14,2018-12-14
ANTARE0309,202222.6409,224309.8521,AN_GRD_003,867,2018-12-14,9999-12-31
ANTBAA0036,187252.6779,232387.3286,AN_MOE_001,852,2018-12-14,2018-12-14
ANTBAA0036,187252.6779,232387.3286,AN_MOE_001,852,2018-12-14,9999-12-31
ANTBAA0044,185899.0139,234175.0953,AN_VVM_005,851,2018-12-14,2018-12-14
ANTBAA0044,185899.0139,234175.0953,AN_VVM_005,851,2018-12-14,9999-12-31
ANTBAA0046,185401.6613,233962.5463,ANTBAA0046,4294,2025-01-23,9999-12-31
ANTBAA0048,184951.5733,233791.0254,ANTBAA0048,4293,2025-01-23,9999-12-31
ANTBAL0373,208525.3203,206174.2647,AN_BAV_001,1337,2018-12-14,2018-12-14
ANTBAL0373,208525.3203,206174.2647,AN_BAV_001,1337,2018-12-14,9999-12-31
ANTBAL0505,208219.3767,206223.9181,AN_BAV_002,1338,2018-12-14,2018-12-14
ANTBAL0505,208219.3767,206223.9181,AN_BAV_002,1338,2018-12-14,9999-12-31
ANTBAL0559,210933.6872,207812.1658,AN_MOS_002,1342,2018-12-14,2018-12-14
ANTBAL0559,210933.6872,207812.1658,AN_MOS_002,1342,2018-12-14,9999-12-31
ANTBAL0592,206888.7088,204549.188,AN_BAS_002,1341,2018-12-14,2018-12-14
ANTBAL0592,206888.7088,204549.188,AN_BAS_002,1341,2018-12-14,9999-12-31
ANTBAL0595,207029.2114,204705.8183,AN_BAS_001,1340,2018-12-14,2018-12-14
ANTBAL0595,207029.2114,204705.8183,AN_BAS_001,1340,2018-12-14,9999-12-31
ANTBAL0711,211036.6865,207406.5218,AN_MOS_001,1059,2018-12-14,2018-12-14
ANTBAL0711,211036.6865,207406.5218,AN_MOS_001,1059,2018-12-14,9999-12-31
ANTBAL0715,207635.9721,204658.3674,AN_BAS_OO3,1339,2018-12-14,2018-12-14
ANTBAL0715,207635.9721,204658.3674,AN_BAS_OO3,1339,2018-12-14,2024-03-22
ANTBAL0715,207635.9721,204658.3674,AN_BAS_003,1339,2024-03-22,9999-12-31
ANTBCT0028,165722.1331,227681.0109,AN_GSV_007,826,2018-12-14,2018-12-14
ANTBCT0028,165722.1331,227681.0109,AN_GSV_007,826,2018-12-14,9999-12-31
ANTBCT0231,163455.2435,226544.6732,AN_GSV_006,828,2018-12-14,2018-12-14
ANTBCT0231,163455.2435,226544.6732,AN_GSV_006,828,2018-12-14,9999-12-31
ANTBCT0252,162719.6915,225033.8817,AN_GSV_004,829,2018-12-14,2018-12-14
ANTBCT0252,162719.6915,225033.8817,AN_GSV_004,829,2018-12-14,9999-12-31
ANTBCT0400,169488.1402,224794.3037,AN_KOO_00Y,1192,2018-12-14,2018-12-14
ANTBCT0400,169488.1402,224794.3037,AN_KOO_00Y,1192,2018-12-14,2020-04-22
ANTBCT0400,169488.1402,224794.3037,ANTBCT0400,1192,2020-04-22,9999-12-31
ANTBCT0404,163229.108,225139.2703,AN_GSV_002,831,2018-12-14,2018-12-14
ANTBCT0404,163229.108,225139.2703,AN_GSV_002,831,2018-12-14,9999-12-31
ANTBCT0458,163212.4756,225174.3606,AN_GSV_003,830,2018-12-14,2018-12-14
ANTBCT0458,163212.4756,225174.3606,AN_GSV_003,830,2018-12-14,9999-12-31
ANTBCT0464,163559.7541,226428.9442,AN_GSV_005,827,2018-12-14,2018-12-14
ANTBCT0464,163559.7541,226428.9442,AN_GSV_005,827,2018-12-14,9999-12-31
ANTBCT0528,169889.3505,224720.265,AN_KOO_002,832,2018-12-14,2018-12-14
ANTBCT0528,169889.3505,224720.265,AN_KOO_002,832,2018-12-14,9999-12-31
ANTBCT0544,173364.0642,226086.9465,AN_RVS_002,833,2018-12-14,2018-12-14
ANTBCT0544,173364.0642,226086.9465,AN_RVS_002,833,2018-12-14,9999-12-31
ANTBCT0572,170195.0475,224044.2531,AN_KOO_001,1095,2018-12-14,2018-12-14
ANTBCT0572,170195.0475,224044.2531,AN_KOO_001,1095,2018-12-14,9999-12-31
ANTBCT0610,173051.905,225898.6156,AN_RVS_001,1096,2018-12-14,2018-12-14
ANTBCT0610,173051.905,225898.6156,AN_RVS_001,1096,2018-12-14,9999-12-31
ANTBCT0794,169863.8493,224684.2368,AN_KOO_00X,1191,2018-12-14,2018-12-14
ANTBCT0794,169863.8493,224684.2368,AN_KOO_00X,1191,2018-12-14,2020-04-22
ANTBCT0794,169863.8493,224684.2368,ANTBCT0794,1191,2020-04-22,9999-12-31
ANTBON0239,164451.9978,187245.6266,VB_BOO_001,929,2018-12-14,2018-12-14
ANTBON0239,164451.9978,187245.6266,VB_BOO_001,929,2018-12-14,9999-12-31
ANTBRM0350,145803.638,199364.1959,ANTBRM0350,3444,2024-03-22,9999-12-31
ANTBRM0421,141566.6436,199937.0533,AN_KRA_001,1001,2018-12-14,2018-12-14
ANTBRM0421,141566.6436,199937.0533,AN_KRA_001,1001,2018-12-14,9999-12-31
ANTBRS0068,161606.9503,221461.4138,AN_E10_001,990,2018-12-14,2018-12-14
ANTBRS0068,161606.9503,221461.4138,AN_E10_001,990,2018-12-14,9999-12-31
ANTBRS0178,158763.2535,224483.4792,AN_FOR_001,818,2018-12-14,2018-12-14
ANTBRS0178,158763.2535,224483.4792,AN_FOR_001,818,2018-12-14,9999-12-31
ANTBRS0179,158799.6071,225374.0444,AN_KSV_006,819,2018-12-14,2018-12-14
ANTBRS0179,158799.6071,225374.0444,AN_KSV_006,819,2018-12-14,9999-12-31
ANTBSE0061,181695.9273,224533.4609,AN_BLA_004,844,2018-12-14,2018-12-14
ANTBSE0061,181695.9273,224533.4609,AN_BLA_004,844,2018-12-14,9999-12-31
ANTBSE0132,180930.4713,220425.9646,AN_LIL_004,951,2018-12-14,2018-12-14
ANTBSE0132,180930.4713,220425.9646,AN_LIL_004,951,2018-12-14,9999-12-31
ANTBSE0159,181404.0713,224247.5412,AN_BEE_004,1188,2018-12-14,2018-12-14
ANTBSE0159,181404.0713,224247.5412,AN_BEE_004,1188,2018-12-14,2024-09-02
ANTBSE0159,181438.2027,224276.91,AN_BEE_005,1190,2018-12-14,2018-12-14
ANTBSE0159,181438.2027,224276.91,AN_BEE_005,1190,2018-12-14,9999-12-31
ANTBSE0161,181346.1275,224441.6134,AN_BEE_003,1189,2018-12-14,2018-12-14
ANTBSE0161,181346.1275,224441.6134,AN_BEE_003,1189,2018-12-14,9999-12-31
ANTBSE0165,183212.9189,224814.6474,AN_GKH_001,846,2018-12-14,2018-12-14
ANTBSE0165,183212.9189,224814.6474,AN_GKH_001,846,2018-12-14,9999-12-31
ANTBSE0215,180985.0698,225024.3433,AN_BLA_002,843,2018-12-14,2018-12-14
ANTBSE0215,180985.0698,225024.3433,AN_BLA_002,843,2018-12-14,9999-12-31
ANTBSE0227,181411.1028,224207.9566,AN_BEE_002,845,2018-12-14,2018-12-14
ANTBSE0227,181411.1028,224207.9566,AN_BEE_002,845,2018-12-14,9999-12-31
ANTBSE0314,181311.5518,224246.6972,AN_BEE_001,1100,2018-12-14,2018-12-14
ANTBSE0314,181311.5518,224246.6972,AN_BEE_001,1100,2018-12-14,9999-12-31
ANTBSE0334,181371.1492,224970.1357,AN_BLA_001,1101,2018-12-14,2018-12-14
ANTBSE0334,181371.1492,224970.1357,AN_BLA_001,1101,2018-12-14,9999-12-31
ANTBSE0335,183121.267,224877.9358,AN_GKH_002,847,2018-12-14,2018-12-14
ANTBSE0335,183121.267,224877.9358,AN_GKH_002,847,2018-12-14,9999-12-31
ANTBSE0336,184543.3775,225130.6058,AN_HUF_002,1103,2018-12-14,2018-12-14
ANTBSE0336,184543.3775,225130.6058,AN_HUF_002,1103,2018-12-14,9999-12-31
ANTBSE0336,184843.4156,224959.1554,AN_HUF_001,1102,2018-12-14,2018-12-14
ANTBSE0336,184843.4156,224959.1554,AN_HUF_001,1102,2018-12-14,9999-12-31
ANTBSE0338,181020.2595,224966.3994,AN_BLA_003,842,2018-12-14,2018-12-14
ANTBSE0338,181020.2595,224966.3994,AN_BLA_003,842,2018-12-14,9999-12-31
ANTBSE0399,181404.0713,224247.5412,AN_BEE_004,1188,2024-09-02,9999-12-31
ANTDES0075,203876.76,217264.6988,AN_DES_003,961,2018-12-14,2018-12-14
ANTDES0075,203876.76,217264.6988,AN_DES_003,961,2018-12-14,9999-12-31
ANTESS0009,154891.8536,239202.4801,AN_DEB_001,808,2018-12-14,2018-12-14
ANTESS0009,154891.8536,239202.4801,AN_DEB_001,808,2018-12-14,9999-12-31
ANTESS0062,156176.4281,234608.6648,AN_NOL_002,809,2018-12-14,2018-12-14
ANTESS0062,156176.4281,234608.6648,AN_NOL_002,809,2018-12-14,9999-12-31
ANTGEE0046,191578.4374,198839.4204,AN_ZAM_003,913,2018-12-14,2018-12-14
ANTGEE0046,191578.4374,198839.4204,AN_ZAM_003,913,2018-12-14,9999-12-31
ANTGEE0069,191516.9217,198850.6652,AN_ZAM_002,912,2018-12-14,2018-12-14
