plot_id	x	y	grts_address_overlapped_cell
74049	154942	234680	1721054
74090	155942	232180	1041118
95001	194942	227680	858926
96137	202942	219180	83694
162082	171943	212678	1519830
245028	165942	186171	364822
348140	253998	159151	17568642
