polygon_id	date_sampling_latest
LIMOPG0009	18071
LIMOPG0016	17316
LIMOPG0020	17316
LIMOPG0122	17665
LIMOVP0094	17294
LIMOVP0232	17672
LIMTES0026	16923
LIMTES0127	18064
LIMTON0188	17714
LIMTON0189	17714
LIMWEL0154	17301
LIMZNH0012	16363
LIMZNH0036	17302
LIMZNH0065	17302
LIMZNH0127	17302
LIMZNH0138	16363
LIMZNH0206	17302
LIMZNH0225	16938
LIMZNH0231	17294
LIMZNH0238	16938
LIMZNH0304	17302
LIMZNH0318	20068
LIMZNH0319	19919
LIMZNH0333	16371
LIMZNH0338	20600
LIMZNH0360	16371
LIMZNH0374	17665
LIMZNH0379	20068
LIMZNH0385	16364
LIMZNH0431	16363
LIMZNH0432	16938
LIMZNH0433	16363
LIMZNH0437	17294
LIMZNH0442	19941
LIMZNH0446	20600
LIMZNH0477	16938
LIMZNH0478	16363
LIMZNH0507	16945
LIMZNH0508	16945
LIMZNH0509	17294
LIMZNH0539	18981
LIMZNH0563	20068
LIMZNH0619	20068
LIMZUT0080	17301
OVLALT0332	16930
OVLALT0344	20432
OVLBLE0018	16931
OVLBLE0139	17665
OVLBLE0193	18072
OVLBLE0248	18072
OVLBLE0279	17778
OVLBVN0002	20467
OVLBVN0053	18450
OVLBVN0180	18450
OVLBVN0184	18450
OVLBVN0197	18450
OVLBVN0213	18450
OVLBVN0217	18450
OVLBVN0228	18450
OVLBVN0275	20467
OVLBVN0301	18450
OVLBVN0302	18450
OVLBVN0304	18450
OVLBVN0305	18450
OVLBVN0445	20467
OVLBVN0446	20467
OVLBVN0466	18450
OVLBVN0467	18373
OVLBVN0468	18450
OVLBVN0469	18450
OVLBVN0470	18450
OVLBVN0471	18450
OVLBVN0679	20467
OVLBVN0705	18387
OVLBVN0717	18387
OVLDEI0194	16770
OVLDND0202	20563
OVLDND0224	20563
OVLDSB0184	16931
OVLGNT0817	18981
OVLLOK0063	17665
OVLLOK0348	18981
OVLLOK0354	16931
OVLMOE0016	17295
OVLNAZ0048	17910
OVLSGW0068	16917
OVLSIN0011	17665
OVLSIN0269	17665
OVLSTK0268	17295
OVLSTK0295	17665
OVLSTL0322	18407
VBRARS0043	17680
VBRARS0052	18064
VBRARS0364	17680
VBRARS0370	17680
VBRDIE0220	17680
VBRDIE0330	17680
VBRDIE0443	16370
VBRHOL0040	17680
VBRHOL0202	17680
VBRKAM0021	17295
VBRKAM0057	16923
VBRKAM0120	17295
VBRKRB0004	17680
VBROHV0050	16804
VBRSZI0213	16923
VBRSZI0235	16370
VBRSZI0243	17295
VBRSZI0277	16370
VBRSZI0297	16923
VBRSZI0315	16923
VBRSZI0333	18064
VBRSZI0401	16370
VBRSZI0435	17295
VBRZOU0028	16370
VBRZOU0046	18064
WVLBLA0206	18064
WVLBRD0035	18064
WVLBRD0039	18064
WVLBRD0077	17673
WVLBRD0123	18064
WVLBRD0124	18064
WVLBRN0145	16392
WVLBRN0148	20432
WVLBRN0392	17666
WVLBRN0422	20207
WVLBRU0368	17666
WVLBRU0369	18064
WVLBRU0374	17666
WVLBRU0828	17463
WVLBRU1096	17463
WVLBRU1212	16392
WVLDAM0090	17666
WVLDEH0011	18064
WVLDEH0012	18064
WVLDEH0220	17666
WVLDEP0012	18072
WVLDEP0043	20432
WVLDEP0047	20432
WVLDEP0051	18015
WVLDEP0057	17980
WVLDEP0058	18051
WVLDEP0061	18051
WVLDEP0065	18051
WVLDEP0067	18036
WVLDEP0070	20432
WVLDEP0073	18051
WVLDEP0075	20432
WVLDEP0097	18072
WVLDEP0119	18072
WVLDEP0167	17938
WVLDIK0133	19975
WVLDIK0136	17680
WVLDIK1027	17680
WVLHAR0329	18981
WVLHOU0552	17707
WVLHOU0561	17707
WVLHOU0568	17707
WVLHOU0686	17707
WVLJAB0140	16392
WVLJAB0174	16392
WVLJAB0206	16392
WVLKNO0002	18050
WVLKNO0003	18065
WVLKNO0014	17645
WVLKNO0019	18050
WVLKNO0020	18065
WVLKNO0022	18065
WVLKNO0025	18050
WVLKNO0028	18050
WVLKNO0039	18050
WVLKNO0044	17770
WVLKNO0058	17666
WVLKNO0061	17708
WVLKNO0065	18065
WVLKNO0102	18407
WVLKNO0106	18428
WVLKNO0205	17666
WVLKNO0261	18065
WVLKNO0262	17771
WVLKNO0265	17708
WVLKNO0272	17721
WVLKNO0274	17721
WVLKNO0275	18050
WVLKNO0280	18050
WVLKNO0283	18022
WVLKNO0284	17980
WVLKNO0352	18428
WVLKNO0365	18065
WVLKNO0380	18022
WVLKNO0388	17708
WVLKNO0407	17456
WVLKOK0001	18065
WVLKOK0010	18065
WVLKOK0017	18065
WVLKOK0028	17673
WVLKOK0065	17960
WVLKOK0125	18065
WVLMID0075	18050
WVLMID0089	18050
WVLMID0135	18050
WVLMID0136	18050
WVLMID0204	18029
WVLMID0220	17988
WVLNWP0009	18065
WVLNWP0026	17673
WVLNWP0032	17777
WVLOSK0053	17666
WVLOSK0059	17302
WVLOSK0273	17666
WVLOSK0526	17666
WVLOSK0532	17302
WVLRUI0009	20207
WVLVEU0343	17337
WVLWIN0255	17666
WVLZNB0852	17939
WVLZNB0856	18072
