activity,activity_name,is_datacollection_method,is_field_activity,is_prep_activity,is_lab_activity,protocol
LOCEVALTERR,locatie in terrestrisch habitat evalueren en eventueel vervangen,TRUE,TRUE,FALSE,FALSE,spp-002-nl
LOCEVALAQ,locatie in aquatisch habitat evalueren en eventueel vervangen,TRUE,TRUE,FALSE,FALSE,sfp-403-nl
GWINSTPIEZDIVER,"ondiepe piëzometer met divers installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,spp-003-nl
GWINSTWELLDIVER,"ondiepe peilbuis met divers installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,spp-003-nl
GWINSTPIEZNODIVER,"ondiepe piëzometer zonder divers installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,spp-003-nl
GWINSTWELLNODIVER,"ondiepe peilbuis zonder divers installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,spp-003-nl
GWINSTWELLDIVERDEEP,"diepe peilbuis met diver installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,NA
GWLEVREADDIVER,diverlogger uitlezen in piëzometer of peilbuis,TRUE,TRUE,FALSE,FALSE,NA
GWLEVREADDIVERDEEP,diverlogger uitlezen in diepe piëzometer of peilbuis,TRUE,TRUE,FALSE,FALSE,NA
GWLEVREADMAN,manueel bepalen van waterpeil in piëzometer of peilbuis,TRUE,TRUE,FALSE,FALSE,sfp-106-nl
GWSHALLCLEAN,ondiepe piëzometer leegpompen,FALSE,TRUE,FALSE,FALSE,sfp-105-nl
GWSHALLSAMP,ondiepe piëzometer bemonsteren,TRUE,TRUE,FALSE,FALSE,sfp-105-nl
SOILUPPERSAMP,bodem bemonsteren via oppervlaktemonsters,TRUE,TRUE,FALSE,FALSE,sfp-201-nl
SURFLENTSAMP,waterkolom bemonsteren in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,sfp-114-nl
SURFLENTSECC,Secchi-diepte bepalen in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,sfp-113-nl
SURFLENTTURB,veldmetingen turbiditeit uitvoeren in stromende wateren (met Secchi-schijf en Snellerbuis),TRUE,TRUE,FALSE,FALSE,NA
SURFLENTFIELD,veldmetingen uitvoeren in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,spp-116-nl
SURFLOTSAMP,waterkolom bemonsteren in stromende wateren,TRUE,TRUE,FALSE,FALSE,sfp-114-nl
SURFLOTSECC,Secchi-diepte bepalen in stromende wateren,TRUE,TRUE,FALSE,FALSE,sfp-113-nl
SURFLOTTURB,veldmetingen turbiditeit uitvoeren in stromende wateren (met Secchi-schijf en Snellerbuis),TRUE,TRUE,FALSE,FALSE,NA
SURFLOTFIELD,veldmetingen uitvoeren in stromende wateren,TRUE,TRUE,FALSE,FALSE,spp-117-nl
SURFINSTGAUGE,peillat installeren in oppervlaktewater,FALSE,TRUE,FALSE,FALSE,NA
SURFLEVREADGAUGE,waterstand op peillat aflezen,TRUE,TRUE,FALSE,FALSE,NA
SURFLEVREADGNSS,waterstand bepalen met GNSS-ontvanger,TRUE,TRUE,FALSE,FALSE,NA
SURFFLOWVELOC,stroomsnelheid bepalen met stroomsnelheidsmeter,TRUE,TRUE,FALSE,FALSE,NA
