sample_support_code,x,y,grts_address_original,grts_address_masked
watercourse_segment,186941.5084,232242.9276,1047854,1047854
watercourse_segment,186948.0968,232234.0438,1047854,101047854
watercourse_segment,199985.1488,203197.3662,1723894,1723894
watercourse_segment,200002.7379,203197.0766,1723894,101723894
watercourse_segment,167041.0984,212998.4084,4405142,4405142
watercourse_segment,167037.7012,212997.7935,4405142,104405142
watercourse_segment,224724.7888,208526.2669,12815122,12815122
watercourse_segment,224729.3366,208538.063,12815122,112815122
watercourse_segment,165992.0266,164562.7575,14073094,14073094
watercourse_segment,165977.2421,164542.6902,14073094,114073094
watercourse_segment,187331.9644,214263.7763,15168502,15168502
watercourse_segment,187329.3019,214261.3049,15168502,115168502
watercourse_segment,228749.6102,210252.2149,20754450,20754450
watercourse_segment,228750.121,210252.1174,20754450,120754450
watercourse_segment,177546.6752,209377.1939,22347478,22347478
watercourse_segment,177520.9493,209394.083,22347478,122347478
watercourse_segment,247721.6644,192969.4663,22821202,22821202
watercourse_segment,247718.4384,192964.5519,22821202,122821202
watercourse_segment,202550.1975,191519.3595,27917750,27917750
watercourse_segment,202549.456,191521.6129,27917750,127917750
watercourse_segment,247060.0623,162143.4419,29173170,29173170
watercourse_segment,247063.5782,162144.4807,29173170,129173170
watercourse_segment,201079.5935,207505.1004,31312374,31312374
watercourse_segment,201089.0557,207506.0367,31312374,131312374
watercourse_segment,207738.2097,205802.2561,34596726,34596726
watercourse_segment,207750.3279,205803.2861,34596726,134596726
watercourse_segment,180729.8545,208689.9374,35759062,35759062
watercourse_segment,180729.9353,208689.9737,35759062,135759062
watercourse_segment,225673.5484,199088.0049,47005906,47005906
watercourse_segment,225665.1474,199072.2303,47005906,147005906
watercourse_segment,208780.4799,210939.1824,48381046,48381046
watercourse_segment,208780.279,210912.7982,48381046,148381046
watercourse_segment,199397.654,203409.4238,51547638,51547638
watercourse_segment,199388.5544,203407.8578,51547638,151547638
watercourse_segment,176910.917,209414.8255,54197974,54197974
watercourse_segment,176923.5169,209435.1073,54197974,154197974
watercourse_segment,251777.7829,160895.821,56853378,56853378
watercourse_segment,251769.6717,160906.9024,56853378,156853378
watercourse_segment,224725.9814,212004.3965,61235474,61235474
watercourse_segment,224748.8123,212017.3869,61235474,161235474
watercourse_segment,224780.3447,209437.4352,61491986,61491986
watercourse_segment,224777.0824,209416.8166,61491986,161491986
watercourse_segment,224576.6922,207966.0231,64641810,64641810
watercourse_segment,224577.7364,207961.1321,64641810,164641810
watersurface,153185.36,233777.58,1770206,1770206
watersurface,153196.59,233779.97,1770206,101770206
watersurface,162950.09,225576.44,2955486,2955486
watersurface,162936.33,225592.59,2955486,102955486
watersurface,60843.87,222088.64,3046837,3046837
watersurface,60814.06,222089.69,3046837,103046837
watersurface,189067.65,209737.29,3200758,3200758
watersurface,189051.7,209732.43,3200758,103200758
watersurface,216111.98,180756.13,3319526,3319526
watersurface,216141.18,180739.89,3319526,103319526
watersurface,215869.48,180805.8,4302566,4302566
watersurface,215883.64,180799.06,4302566,104302566
watersurface,215996.07,180756.49,5351142,5351142
watersurface,216012.19,180738.61,5351142,105351142
watersurface,216005.92,180734.57,5351142,205351142
watersurface,216012.75,180750.18,5351142,305351142
watersurface,216003.08,180750.5,5351142,405351142
watersurface,77511.45,227573.24,6110517,6110517
watersurface,77503.46,227557.01,6110517,106110517
watersurface,187563.51,191443.8,7078198,7078198
watersurface,187547.31,191422.4,7078198,107078198
watersurface,216157.37,180723,7513830,7513830
