sample_support_code	unit_id	grts_address
6	ANTANT0234	3113917
6	ANTANT0297	19512253
6	ANTANT0315	572349
6	ANTANT0468	31336745
6	ANTANT0480	15522345
6	ANTARE0069	155438
6	ANTARE0278	31136494
6	ANTARE0286	1537582
6	ANTBAA0044	617774
6	ANTBAA0046	6886814
6	ANTBAA0048	906654
6	ANTBAL0379	2910070
6	ANTBAL0396	812918
6	ANTBAL0415	3106678
6	ANTBAL0592	4417398
6	ANTBAL0595	11757430
6	ANTBCT0019	2977246
6	ANTBCT0089	3763678
6	ANTBCT0136	4517342
6	ANTBCT0152	759262
6	ANTBCT0275	4811998
6	ANTBCT0404	4200670
6	ANTBCT0464	501982
6	ANTBCT0494	4958430
6	ANTBCT0508	5860574
6	ANTBCT0512	4987102
6	ANTBCT0525	1284318
6	ANTBCT0611	6399134
6	ANTBCT0698	1120478
6	ANTBCT0759	13314270
6	ANTBSE0109	16889502
6	ANTBSE0132	2077342
6	ANTBSE0336	3648158
6	ANTDES0075	12040310
6	ANTGEE0107	17749750
6	ANTGEE0193	38786806
6	ANTGEE0859	1103606
6	ANTHST0290	786742
6	ANTHST0508	10662230
6	ANTHTS0035	15988694
6	ANTHTS0097	4346838
6	ANTHTS0151	1554390
6	ANTHUL0168	1254486
6	ANTKAL0004	65766110
6	ANTKAL0018	4947678
6	ANTKAL0019	197342
6	ANTKAL0021	1736414
6	ANTKAL0235	18709214
6	ANTKAL0287	15811294
6	ANTKAL0330	16937694
6	ANTKAL0383	2900702
6	ANTKAL0387	47764190
6	ANTKAL0469	2605790
6	ANTKAP0106	1806302
6	ANTKAS0033	2606838
6	ANTKAS0105	2076662
6	ANTKAS0302	705782
6	ANTKAS0420	1470454
6	ANTKAS0463	23658486
6	ANTKAS0501	452054
6	ANTKAS0616	1685462
6	ANTLIL0230	254422
6	ANTMAL0136	2258078
6	ANTMEC0030	20807190
6	ANTMEC0180	37989910
6	ANTMEC0388	10907414
6	ANTMEC0421	2031126
6	ANTMOL0036	35123318
6	ANTMOL0068	7244918
6	ANTMOL0088	20997870
6	ANTMOL0089	1988334
6	ANTMOL0092	231150
6	ANTMOL0138	9112694
6	ANTMOL0139	25947254
6	ANTMOL0143	25662582
6	ANTMOL0148	52743286
6	ANTMOL0152	35492982
6	ANTMOL0164	19205238
6	ANTMOL0165	13626486
6	ANTMOL0720	3598062
6	ANTMOL0730	57789558
6	ANTMOL0747	893046
6	ANTMRK0228	22031006
6	ANTMRK0285	4411806
6	ANTOTH0015	762158
6	ANTOTH0271	301614
6	ANTOTH0316	46023214
6	ANTRAV0052	15082286
6	ANTRAV0188	3447598
6	ANTRAV0369	3416878
6	ANTRET0236	45125878
6	ANTRIJ0308	25425054
6	ANTRUM0038	16477417
