domain	stratum	grts_part	max_sample_size_all_panels	n_spare_units_theoretical	grts_address_start	grts_index_start	grts_index_end	grts_address_end	grts_index_gap_end	grts_address_gap_end	n_spare_units
1	2	1	42	630	212661	1	42	18366133	111	47922869	69
1	2	2	16	240	48053941	112	127	54607541	153	67087797	26
1	7	1	56	840	37557	1	56	2809525	896	44708533	840
1	7	2	18	270	44748221	897	914	45693953	1318	67071669	270
1	8	1	48	720	137269	1	48	8818481	205	46010161	157
1	8	2	17	255	46066357	206	222	51655093	277	66984113	55
1	9	1	58	870	2741	1	58	930229	928	17978545	870
1	9	2	18	270	17993521	929	946	18253237	3483	67057457	270
1	10	1	56	840	57521	1	56	3137713	837	50628721	781
1	10	2	18	270	50651313	838	855	51699889	1106	67035313	251
1	11	1	58	870	2161	1	58	468145	928	10012785	870
1	11	2	18	270	10021681	929	946	10190133	6097	67106609	270
1	12	1	3	45	100465	1	3	50432113	1	100465	0
1	12	2	3	45	100465	1	3	50432113	3	50432113	0
1	16	1	71	1065	67697	1	71	14266161	277	55160625	206
1	16	2	22	330	55197749	278	299	58263665	363	147004981	64
1	17	1	6	90	18097329	1	6	60927793	3	37739189	0
1	17	2	4	60	41711793	4	7	65133237	7	65133237	0
1	18	1	117	1755	144561	1	117	14761269	403	49058993	286
1	18	2	42	630	49163573	404	445	53400753	548	67048625	103
1	19	1	43	645	175921	1	43	16067893	122	47886129	79
1	19	2	16	240	48246577	123	138	55488305	168	67096753	30
1	20	1	58	870	5330	1	58	158002	928	2707154	870
1	20	2	18	270	2712286	929	946	2753246	22691	67103698	270
1	22	1	58	870	5046	1	58	392342	928	6201046	870
1	22	2	18	270	6214262	929	946	6353630	9745	67103698	270
1	23	1	56	840	55518	1	56	2641526	896	42242350	840
1	23	2	18	270	42287158	897	914	43227766	1447	67095862	270
1	118	1	1	15	22021842	1	1	22021842	1	22021842	0
1	118	2	1	15	22021842	1	1	22021842	1	22021842	0
1	24	1	5	75	1675858	1	5	47109330	1	1675858	0
1	24	2	4	60	14026450	2	5	47109330	5	47109330	0
1	25	1	52	780	48897	1	52	2468398	832	46283870	780
1	25	2	14	210	46311142	833	846	47297838	1275	464071398	210
1	26	1	29	435	222878	1	29	8321582	153	49813202	124
1	26	2	9	135	50005522	154	162	52798622	201	66862822	39
1	27	1	17	255	452054	1	17	22974134	39	50260274	22
1	27	2	6	90	52772809	40	45	57789558	53	66254814	8
1	28	1	1	15	22619730	1	1	22619730	1	22619730	0
1	28	2	1	15	22619730	1	1	22619730	1	22619730	0
1	29	1	37	555	231150	1	37	8215198	214	50575666	177
1	29	2	11	165	50771670	215	225	52235761	277	222449458	52
1	30	1	32	480	222878	1	32	9736166	145	49785554	113
1	30	2	9	135	50064118	146	154	51373906	186	66862822	32
1	31	1	19	285	452054	1	19	22031006	43	47027950	24
1	31	2	7	105	50260274	44	50	57239858	59	64618718	9
1	32	1	2	30	19205238	1	2	22619730	1	19205238	0
1	32	2	2	30	19205238	1	2	22619730	2	22619730	0
1	33	1	31	465	572349	1	31	13225078	94	54787374	63
1	33	2	10	150	55182750	95	104	59090670	124	118234566	20
1	34	1	17	255	452914	1	17	22707942	28	37850557	11
1	34	2	7	105	38464949	29	35	47967430	39	61148201	4
1	35	1	15	225	842210	1	15	35492982	23	50222322	8
1	35	2	6	90	57789558	24	29	63209385	32	64618718	3
1	36	1	4	60	7856546	1	4	19205238	3	15752425	0
1	36	2	2	30	19205238	4	5	20807190	5	20807190	0
1	37	1	44	660	231150	1	44	6546914	340	53124790	296
1	37	2	12	180	53264914	341	352	56040174	433	353307110	81
1	38	1	21	315	704230	1	21	17198761	51	42203634	30
1	38	2	7	105	43035346	52	58	51079726	68	65022249	10
1	39	1	14	210	842210	1	14	34487793	23	55121110	9
1	39	2	5	75	57662761	24	28	60269286	31	65182178	3
1	40	1	4	60	4358630	1	4	19205238	3	9321121	0
1	40	2	2	30	19205238	4	5	35123318	5	35123318	0
1	41	1	51	765	75230	1	51	9091030	276	54423538	225
1	41	2	15	225	54696158	277	291	57252062	357	152161270	66
1	42	1	26	390	197342	1	26	16937694	53	47884510	27
1	42	2	9	135	47924946	54	62	57164510	72	67053790	10
1	43	1	6	90	452054	1	6	31466166	5	23658486	0
1	43	2	3	45	31466166	6	8	65766110	8	65766110	0
1	44	1	156	2340	63762	1	156	7367542	1270	53560534	1114
1	44	2	42	630	53589238	1271	1312	55287218	1612	164641810	300
1	46	1	73	1095	734	1	73	233398	1168	4277441	1095
1	46	2	23	345	4277878	1169	1191	4350686	17965	67108850	345
1	47	1	149	2235	734	1	149	194546	2384	3465682	2235
1	47	2	45	675	3465846	2385	2429	3525166	45334	67108562	675
1	48	1	46	690	841266	1	46	15521330	155	49226290	109
1	48	2	16	240	49731122	156	171	55223762	209	66954706	38
1	51	1	35	525	2308594	1	35	25960530	63	47630818	28
1	51	2	15	225	47876578	64	78	58903010	90	67058162	12
1	52	1	21	315	1924530	1	21	49175986	21	49175986	0
1	52	2	11	165	49686770	22	32	66343538	32	66343538	0
1	53	1	44	660	559282	1	44	17989810	131	49985318	87
1	53	2	16	240	50247462	132	147	55490342	179	66762534	32
1	55	1	58	870	30418	1	58	845889	928	16779826	870
1	55	2	18	270	16782521	929	946	17357102	3632	67106386	270
1	56	1	138	2070	65281	1	138	4717782	1446	51101441	1308
1	56	2	44	660	51177537	1447	1490	52289670	1907	67076161	417
1	57	1	58	870	19510	1	58	1062930	928	18630622	870
1	57	2	18	270	18683090	929	946	19118038	3425	67106386	270
1	58	1	26	390	589698	1	26	35454850	31	41271474	5
1	58	2	13	195	41402546	32	44	61931394	46	65377906	2
1	59	1	55	825	20390	1	55	4042038	666	50651073	611
1	59	2	17	255	50658502	667	683	52037022	872	66965670	189
1	60	1	17	255	3777298	1	17	37944622	14	26297537	0
1	60	2	10	150	31875858	15	24	59158870	24	59158870	0
1	61	1	56	840	9665	1	56	2982726	896	48888434	840
1	61	2	18	270	48918185	897	914	49770370	1228	67058345	270
1	62	1	58	870	7385	1	58	932998	928	14990822	870
1	62	2	18	270	14991334	929	946	15288153	4241	67106390	270
1	63	1	28	420	58706	1	28	4688354	286	50825698	258
1	63	2	9	135	50842921	287	295	52716073	378	67108137	83
1	64	1	26	390	206921	1	26	10692681	121	45128457	95
1	64	2	9	135	46127881	122	130	49470217	163	66425117	33
1	65	1	58	870	3401	1	58	247729	928	3658182	870
1	65	2	18	270	3660258	929	946	3729846	16676	67108150	270
1	66	1	56	840	6182	1	56	2526705	896	44866033	840
1	66	2	18	270	44891633	897	914	45483665	1340	67040913	270
1	67	1	53	795	220786	1	53	5205286	444	50770818	391
1	67	2	17	255	50852738	445	461	52914866	586	66821554	125
1	68	1	42	630	161118	1	42	12215646	112	46722265	70
1	68	2	16	240	47060242	113	128	52528838	155	66983186	27
1	69	1	14	210	404678	1	14	56645254	9	31957126	0
1	69	2	9	135	40083590	10	18	64462982	18	64462982	0
1	70	1	57	855	47698	1	57	1612918	912	31439154	855
1	70	2	18	270	31469174	913	930	31876982	1967	67035766	270
1	71	1	38	570	77970	1	38	24735862	76	49080626	38
1	71	2	15	225	50163830	77	91	58452274	106	67103026	15
1	72	1	129	1935	23086	1	129	8523730	711	49349342	582
1	72	2	43	645	49461458	712	754	52295286	948	66928094	194
1	73	1	58	870	5422	1	58	835282	928	11982302	870
1	73	2	18	270	11990318	929	946	12155614	5263	67108574	270
1	74	1	18	270	755986	1	18	44604534	15	38043622	0
1	74	2	10	150	38567910	16	25	62685158	25	62685158	0
1	75	1	33	495	1080377	1	33	44945522	28	37375513	0
1	75	2	21	315	37852786	29	49	66177569	49	66177569	0
1	76	1	36	540	302198	1	36	23108726	66	43097206	30
1	76	2	15	225	43622518	67	81	51944566	94	65838198	13
1	80	1	58	870	45954	1	58	926594	928	17224578	870
1	80	2	18	270	17265538	929	946	17478530	3666	67101570	270
1	81	1	59	885	262	1	59	20409	944	355222	885
1	81	2	18	270	355265	945	962	360854	178134	67108329	270
1	83	1	58	870	121	1	58	103353	928	1886841	870
1	83	2	18	270	1889209	929	946	1923161	34511	67108697	270
1	84	1	54	810	28546	1	54	5599106	483	51518898	429
1	84	2	17	255	51626674	484	500	53325698	635	66935938	135
1	85	1	23	345	193410	1	23	40082866	25	41524658	2
1	85	2	12	180	41575298	26	37	64885634	38	65962162	1
1	86	1	58	870	2198	1	58	103478	928	1714306	870
1	86	2	18	270	1722226	929	946	1752185	35299	67108742	270
1	87	1	149	2235	2130	1	149	230982	2384	3796702	2235
1	87	2	45	675	3797942	2385	2429	3875630	42308	67108278	675
1	89	1	58	870	9641	1	58	1350281	928	18855657	870
1	89	2	18	270	18913929	929	946	19254953	3335	67095273	270
1	90	1	58	870	3286	1	58	97593	928	1511334	870
1	90	2	18	270	1512137	929	946	1541942	43602	67108742	270
1	91	1	58	870	15782	1	58	1104390	928	17861846	870
1	91	2	18	270	17898105	929	946	18241497	3539	67101714	270
1	92	1	58	870	7425	1	58	124585	928	1994934	870
1	92	2	18	270	1995094	929	946	2011270	32388	67102582	270
1	93	1	30	450	937	1	30	56041	480	1120658	450
1	93	2	9	135	1120937	481	489	1151698	27348	67098089	135
1	94	1	58	870	2742	1	58	967726	928	12505078	870
1	94	2	18	270	12508086	929	946	12787250	5059	67105386	270
1	124	1	1	15	9883950	1	1	9883950	1	9883950	0
1	124	2	1	15	9883950	1	1	9883950	1	9883950	0
3	20	1	15	225	8893	1	15	373470	240	7254750	225
3	20	2	2	30	7271134	241	242	7294686	2231	67089118	30
3	22	1	15	225	13022	1	15	963294	240	14004958	225
3	22	2	2	30	14058206	241	242	14217950	1164	67011294	30
3	23	1	5	75	426718	1	5	9863902	24	50758366	19
3	23	2	2	30	52855518	25	26	54952670	34	66487006	8
3	25	1	3	45	1639134	1	3	20726494	7	33227486	4
3	25	2	1	15	53654238	8	8	53654238	9	126936030	1
3	26	1	2	30	2462430	1	2	16937694	2	16937694	0
3	27	1	1	15	20774622	1	1	20774622	1	20774622	0
3	30	1	1	15	51274462	1	1	51274462	1	51274462	0
3	30	2	1	15	51274462	1	1	51274462	1	51274462	0
3	41	1	4	60	1736414	1	4	2605790	29	50004702	25
3	41	2	1	15	52114142	30	30	52114142	36	150004702	6
3	42	1	2	30	197342	1	2	2462430	7	23675614	5
3	42	2	1	15	24490718	8	8	24490718	10	57164510	2
3	43	1	2	30	20774622	1	2	47764190	3	65766110	1
3	46	1	15	225	734	1	15	261854	240	4387550	225
3	46	2	2	30	4391646	241	242	4408030	3619	67108574	30
3	47	1	15	225	734	1	15	668382	240	15217374	225
3	47	2	3	45	15348446	241	243	15545054	1048	66970334	45
3	56	1	5	75	1729246	1	5	14312158	6	28724958	1
3	56	2	2	30	37113566	7	8	52428510	9	60449502	1
3	57	1	2	30	7753438	1	2	57585374	3	58085086	1
3	57	2	1	15	61555422	4	4	61555422	4	61555422	0
3	72	1	9	135	6894302	1	9	15794910	41	50725598	32
3	72	2	3	45	51016414	42	44	53543646	55	66433758	11
3	73	1	6	90	33502	1	6	261854	96	7275230	90
3	73	2	2	30	7373534	97	98	7451358	867	67108574	30
3	81	1	3	45	3085022	1	3	19862238	5	48210654	2
3	81	2	1	15	55513822	6	6	55513822	6	55513822	0
3	87	1	11	165	37598	1	11	975582	176	12567262	165
3	87	2	3	45	12680926	177	179	12811998	948	67100382	45
3	94	1	5	75	410334	1	5	7029470	33	42353374	28
3	94	2	2	30	43664094	34	35	44425950	46	66732766	11
4	20	1	14	210	43566	1	14	2726190	224	41593390	210
4	20	2	2	30	41658926	225	226	41724462	361	66900270	30
4	22	1	5	75	301358	1	5	2461998	39	43202862	34
4	22	2	2	30	44833070	40	41	47397166	54	67082542	13
4	23	1	13	195	299310	1	13	8687918	89	59019566	76
4	23	2	2	30	59511086	90	91	60035374	103	66834734	12
4	24	1	2	30	22107438	1	2	28072750	1	22107438	0
4	24	2	1	15	28072750	2	2	28072750	2	28072750	0
4	25	1	4	60	762158	1	4	3405102	64	50390830	60
4	25	2	1	15	50418990	65	65	50418990	96	123221550	15
4	26	1	3	45	2333486	1	3	8321582	14	50734894	11
4	26	2	1	15	54531374	15	15	54531374	19	66276142	4
4	27	1	2	30	9883950	1	2	15082286	3	27194670	1
4	29	1	3	45	762158	1	3	5558574	13	38688046	10
4	29	2	1	15	39768366	14	14	39768366	18	51074350	4
4	30	1	2	30	9172270	1	2	22107438	4	28072750	2
4	30	2	1	15	55778030	5	5	55778030	6	58579758	1
4	31	1	2	30	9883950	1	2	15082286	3	27194670	1
4	33	1	2	30	32601646	1	2	54787374	1	32601646	0
4	33	2	1	15	54787374	2	2	54787374	2	54787374	0
4	37	1	3	45	6757102	1	3	17242862	11	44505838	8
4	37	2	1	15	50797294	12	12	50797294	15	150797294	3
4	38	1	2	30	1537582	1	2	31136494	3	37693998	1
4	38	2	1	15	51079726	4	4	51079726	5	54239534	1
4	39	1	1	15	29995310	1	1	29995310	1	29995310	0
4	41	1	4	60	5479214	1	4	18455086	14	56579374	10
4	41	2	1	15	58841902	15	15	58841902	18	64801582	3
4	42	1	3	45	301614	1	3	3447598	6	54531374	3
4	42	2	1	15	58579758	7	7	58579758	8	66276142	1
4	44	1	9	135	1047854	1	9	25385518	18	56433390	9
4	44	2	3	45	56842798	19	21	57408814	24	101047854	3
4	46	1	15	225	5422	1	15	1088302	240	20960558	225
4	46	2	2	30	20963630	241	242	21010990	747	66893102	30
4	47	1	15	225	5422	1	15	1123630	240	15430958	225
4	47	2	3	45	15440174	241	243	15583790	1015	67062574	45
4	55	1	14	210	530734	1	14	3725614	198	58251566	184
4	55	2	2	30	59250990	199	200	59521326	226	66933038	26
4	56	1	14	210	252718	1	14	7494382	155	53704238	141
4	56	2	3	45	54156014	156	158	55269934	188	67024174	30
4	57	1	5	75	576302	1	5	3987758	34	48156974	29
4	57	2	2	30	49518894	35	36	50125102	48	66558254	12
4	59	1	2	30	12229422	1	2	12262126	2	12262126	0
4	59	2	1	15	13720110	3	3	13720110	3	13720110	0
4	60	1	3	45	4390190	1	3	37944622	4	40434990	1
4	60	2	1	15	54721838	5	5	54721838	5	54721838	0
4	65	1	1	15	21495086	1	1	21495086	1	21495086	0
4	65	2	1	15	21495086	1	1	21495086	1	21495086	0
4	69	1	2	30	24845038	1	2	29039342	3	41622254	1
4	69	2	1	15	58399470	4	4	58399470	4	58399470	0
4	70	1	6	90	1013294	1	6	6838830	66	53303854	60
4	70	2	2	30	53704238	67	68	54156014	88	66935342	20
4	72	1	10	150	23086	1	10	7555886	67	48601646	57
4	72	2	3	45	50354734	68	70	52468270	87	66624046	17
4	73	1	6	90	5422	1	6	415022	96	6887982	90
4	73	2	2	30	6903086	97	98	7165230	1006	67065134	30
4	81	1	6	90	118830	1	6	2215982	96	33663534	90
4	81	2	2	30	33673262	97	98	34983982	187	67105070	30
4	86	1	4	60	4050990	1	4	19255342	11	39702574	7
4	86	2	2	30	44421166	12	13	48615470	16	63295534	3
4	87	1	11	165	72494	1	11	940590	176	12999214	165
4	87	2	3	45	13195822	177	179	13359918	854	66949166	45
4	90	1	2	30	19636526	1	2	23044398	1	19636526	0
4	90	2	1	15	23044398	2	2	23044398	2	23044398	0
4	92	1	6	90	219694	1	6	954414	96	12147246	90
4	92	2	2	30	12303662	97	98	12802606	544	67092526	30
4	93	1	3	45	635182	1	3	6140206	16	35500334	13
4	93	2	1	15	39694638	17	17	39694638	21	65909038	4
4	94	1	6	90	219694	1	6	704302	96	15075886	90
4	94	2	2	30	15145710	97	98	15213358	423	67092526	30
4	124	1	1	15	9883950	1	1	9883950	1	9883950	0
5	20	1	14	210	158002	1	14	2812210	224	47811122	210
5	20	2	2	30	47933746	225	226	48425266	305	66685490	30
5	22	1	5	75	1047090	1	5	7637554	22	46688562	17
5	22	2	2	30	48728626	23	24	49302834	31	65505842	7
5	23	1	5	75	1272114	1	5	17000754	16	47589682	11
5	23	2	2	30	49686834	17	18	54823474	22	64366898	4
5	25	1	3	45	1239346	1	3	8005938	13	49473842	10
5	25	2	1	15	62318898	14	14	62318898	17	65345842	3
5	26	1	3	45	452914	1	3	8644914	11	42576178	8
5	26	2	1	15	48044338	12	12	48044338	15	65607986	3
5	27	1	2	30	50260274	1	2	57239858	3	59418930	1
5	29	1	3	45	1239346	1	3	10152242	10	46786866	7
5	29	2	1	15	49473842	11	11	49473842	13	65345842	2
5	30	1	3	45	452914	1	3	8644914	13	36497714	10
5	30	2	1	15	42576178	14	14	42576178	18	65607986	4
5	31	1	2	30	50260274	1	2	57239858	3	59418930	1
5	33	1	2	30	8005938	1	2	18753842	2	18753842	0
5	33	2	1	15	63105330	3	3	63105330	3	63105330	0
5	34	1	2	30	452914	1	2	7006514	2	7006514	0
5	34	2	1	15	33958194	3	3	33958194	3	33958194	0
5	37	1	3	45	1239346	1	3	1534258	8	22894898	5
5	37	2	1	15	47868210	9	9	47868210	11	57862450	2
5	38	1	3	45	7006514	1	3	15427890	5	33958194	2
5	38	2	1	15	36497714	6	6	36497714	6	36497714	0
5	41	1	1	15	58026290	1	1	58026290	1	58026290	0
5	41	2	1	15	58026290	1	1	58026290	1	58026290	0
5	46	1	13	195	485682	1	13	5794098	107	57108786	94
5	46	2	2	30	57174322	108	109	58124594	123	66775346	14
5	47	1	13	195	485682	1	13	6777138	80	52668722	67
5	47	2	3	45	53831986	81	83	54749490	98	66939186	15
5	55	1	4	60	1464626	1	4	15198514	11	48392498	7
5	55	2	2	30	50489650	12	13	59926834	17	66218290	4
5	56	1	5	75	4417842	1	5	34203954	7	37366066	2
5	56	2	2	30	53438770	8	9	54143282	10	57633074	1
5	57	1	3	45	28425522	1	3	32172338	5	50555186	2
5	57	2	1	15	52619570	6	6	52619570	7	59030834	1
5	70	1	5	75	5728562	1	5	16410930	16	58353970	11
5	70	2	2	30	59578674	17	18	60696882	23	66174258	5
5	71	1	4	60	9431346	1	4	30402866	10	49080626	6
5	71	2	2	30	50325810	11	12	58452274	15	67103026	3
5	72	1	6	90	2746674	1	6	19523890	9	40761906	3
5	72	2	3	45	42854706	10	12	48884018	14	54126898	2
5	73	1	5	75	1599794	1	5	9665842	16	28666162	11
5	73	2	2	30	31910194	17	18	36104498	23	53930290	5
5	81	1	3	45	28715314	1	3	42171698	4	44443954	1
5	81	2	1	15	58165810	5	5	58165810	5	58165810	0
5	87	1	9	135	19762	1	9	6916658	46	48294194	37
5	87	2	3	45	48867634	47	49	54561330	61	66464050	12
5	92	1	6	90	370994	1	6	2828594	96	33696050	90
5	92	2	2	30	33925426	97	98	34187570	177	66988338	30
5	93	1	1	15	39119154	1	1	39119154	1	39119154	0
5	93	2	1	15	39119154	1	1	39119154	1	39119154	0
5	94	1	6	90	1485106	1	6	4454962	58	47929650	52
