stratum	grts_address
16	2323
16	3410
16	19043
16	25035
16	25842
16	26522
16	32268
16	35339
16	36817
16	37569
16	38407
16	38792
16	40575
16	44189
16	44678
16	49647
16	55598
16	60897
16	62299
16	66283
16	66851
16	398366
17	64541
17	117316
17	221035
17	252845
17	438699
24	1675858
24	14026450
24	22107438
24	47109330
25	48897
25	155438
25	218158
25	231150
25	254422
25	605953
25	687846
25	705782
25	728050
25	759262
25	762158
25	786742
25	893046
25	906654
25	925842
25	989137
25	1103606
25	1126582
25	1216422
25	1227058
25	1254486
25	1470454
26	529234
26	1012434
26	1675858
26	1806302
26	2492114
26	2977246
26	3234802
26	3416878
26	3598062
26	3619126
26	5033702
26	5334290
26	5772353
27	452054
27	3514038
27	4205522
27	6849993
27	9883950
27	10662230
27	14303177
27	15082286
27	17810418
27	18423506
27	20997870
27	23658486
28	22619730
29	602258
29	617774
29	2077342
29	2150070
29	2510518
29	2840370
29	3358438
29	3667246
29	3882726
29	3964646
29	4411806
29	6886814
30	452914
30	1012434
30	1999154
30	2258078
30	3113917
30	3234802
30	3648158
30	4200670
30	5033702
30	6229734
30	6399134
30	6476082
30	6631570
30	7006514
31	9883950
31	10907414
31	12420626
31	14303177
31	15082286
31	18423506
31	20607122
31	20997870
31	22031006
31	23924454
31	25425054
31	27194670
31	28389522
31	29026130
32	19205238
32	22619730
33	572349
33	687846
33	902185
33	906654
33	1988334
33	2077342
33	2177138
33	2393618
33	2397801
33	3882726
33	3966482
33	6343721
33	6886814
33	8160786
33	9112694
33	9489449
33	9833513
34	1012434
34	2031126
34	2492114
34	6033970
34	7006514
34	8578898
34	14454502
34	15534454
34	16477417
34	18571566
34	18678825
34	21472201
34	22707942
34	25662582
34	27395113
34	30252726
34	31336745
34	37850557
35	7244918
35	9980649
35	10907414
35	12420626
35	13626486
35	15522345
35	19512253
35	22031006
35	22049833
35	24343593
35	28157609
35	28311774
35	34872361
35	35492982
35	37989910
35	39906345
35	44201810
35	45125878
35	50222322
36	9321121
36	15752425
36	19205238
36	20807190
37	231150
37	255241
37	377138
37	602258
37	812918
37	1053121
37	1239346
37	1382706
37	1386153
37	1534258
37	1988334
37	2076662
37	2248694
37	2581814
37	2623314
37	2669138
37	2762409
37	2793142
37	2910070
37	3106678
37	3538417
37	4302566
37	4586993
38	1537582
38	3764918
38	4417398
38	8984882
38	10211046
38	11757430
38	11880105
38	13351218
38	13999798
38	15988694
38	17749750
38	18772114
38	19542418
38	22046514
38	22707942
38	23681330
38	24763090
38	25662582
38	28382422
38	28876470
38	31136494
38	31336745
39	842210
39	12040310
39	17481641
39	18680182
39	19512253
39	23924454
39	25947254
39	30865065
39	38786806
39	39100086
39	46023214
39	50222322
39	52743286
39	55121110
39	57662761
39	57789558
39	58820265
39	59364830
39	60269286
39	63956342
39	65182178
40	7856546
40	9321121
40	19205238
40	35123318
41	893046
41	1120478
41	1284318
41	1554390
41	1685462
41	1736414
41	1823954
41	2197778
41	2605790
41	2606838
41	2715218
41	2814902
41	3499090
41	3763678
41	3901714
41	4205522
41	4346838
41	4811998
41	4947678
41	4958430
41	4987102
41	5860574
42	197342
42	301614
42	501982
42	2900702
42	2977246
42	3447598
42	3851858
42	4517342
42	6934482
42	10923486
42	10991922
42	11035634
42	11222738
42	13314270
42	14026450
42	14649618
42	15811294
42	16889502
42	16937694
42	17552594
42	18488306
42	18709214
43	4205522
43	23658486
43	47764190
43	65766110
