type,type_model,use_data_in_model
1310_pol,rbbzil,FALSE
1330_hpr,rbbzil,FALSE
2190_a,7230_clus,FALSE
2190_mp,7230_clus,FALSE
2190_overig,7230_clus,FALSE
3110,7140_oli_clus,TRUE
3130_aom,3130_aom_clus,TRUE
3130_na,3130_aom_clus,TRUE
3140,7230_clus,TRUE
3150,rbbhf_clus,TRUE
3160,7140_oli_clus,TRUE
3260,rbbhf_clus,TRUE
rbbah,rbbzil,FALSE
4010,4010_clus,TRUE
rbbsm,91E0_vo_clus,TRUE
6230_hmo,6230_hmo,TRUE
6410_mo,6410_mo_clus,TRUE
6410_ve,6410_mo_clus,TRUE
6430_hf,rbbhf_clus,TRUE
6430_hw,rbbhf_clus,TRUE
6510_hu,6510_hu_clus,TRUE
6510_hua,rbbhc_clus,TRUE
6510_hus,6510_hu_clus,TRUE
rbbhc,rbbhc_clus,TRUE
rbbhf,rbbhf_clus,TRUE
rbbhfl,rbbhfl,TRUE
rbbkam,rbbhc_clus,TRUE
rbbvos,91E0_va_clus,TRUE
rbbzil,rbbzil,TRUE
7140_base,7230_clus,TRUE
7140_meso,7140_meso,TRUE
7140_mrd,91E0_vm_clus,TRUE
7140_oli,7140_oli_clus,TRUE
7150,4010_clus,TRUE
7210,7230_clus,TRUE
7220,7230_clus,FALSE
7230,7230_clus,TRUE
rbbmc,rbbmr_clus,TRUE
rbbmr,rbbmr_clus,TRUE
rbbms,rbbms,TRUE
9120,9120_clus,TRUE
9130_end,9160_clus,TRUE
9130_fm,9160_clus,TRUE
9160,9160_clus,TRUE
9190,9120_clus,TRUE
91E0_sf,91E0_va_clus,TRUE
91E0_va,91E0_va_clus,TRUE
91E0_vc,91E0_va_clus,TRUE
91E0_vm,91E0_vm_clus,TRUE
91E0_vn,91E0_vn,TRUE
91E0_vo,91E0_vo_clus,TRUE
rbbsf,rbbsf,TRUE
rbbso,91E0_vm_clus,TRUE
rbbsp,rbbsp,TRUE
