type,type_model,use_data_in_model
2190_a,2190_a,TRUE
3110,3130_aom,FALSE
3130_aom,3130_aom,TRUE
3130_na,3130_na,TRUE
3140,3140,TRUE
3150,3150,TRUE
3160,3160,TRUE
3260,3260,TRUE
rbbah,rbbah,TRUE
7220,3150,FALSE
