type	type_model	use_data_in_model
1310_pol	rbbzil_clus	FALSE
1310_zk	91E0_vm	FALSE
1310_zv	9160_clus	FALSE
1320	91E0_vm	NA
1330_da	91E0_vm	FALSE
1330_hpr	rbbzil_clus	TRUE
2130_had	2130_hd_clus	TRUE
2130_hd	2130_hd_clus	TRUE
2160	2160	TRUE
2170	2170	TRUE
2180	2180	TRUE
2190_mp	2190_mp	TRUE
2190_overig	2190_overig	TRUE
3270	91E0_vm	NA
4010	4010	TRUE
rbbsm	rbbms_clus	TRUE
6230_hmo	6230_hmo	TRUE
6410_mo	6410_mo_clus	TRUE
6410_ve	6410_mo_clus	TRUE
6430_bz	9190	NA
6430_hf	6430_hf	TRUE
6430_hw	6430_hf	NA
6430_mr	6430_hf	NA
6510_hua	2170	FALSE
6510_hus	2170	FALSE
rbbhc	rbbhc	TRUE
rbbhf	rbbhf	TRUE
rbbhfl	rbbhfl	TRUE
rbbkam	rbbkam	TRUE
rbbvos	2170	FALSE
rbbzil	rbbzil_clus	TRUE
7140_base	7140_meso_clus	TRUE
7140_meso	7140_meso_clus	TRUE
7140_mrd	7140_meso_clus	NA
7140_oli	7140_oli	TRUE
7150	7150	TRUE
7210	7140_meso_clus	TRUE
7220	7140_meso_clus	NA
7230	7230	TRUE
rbbmc	rbbmc	TRUE
rbbmr	rbbmr	TRUE
rbbms	rbbms_clus	TRUE
9130_end	9160_clus	TRUE
9130_fm	9190	NA
9160	9160_clus	TRUE
9190	9190	TRUE
91E0_sf	91E0_vn	NA
91E0_va	91E0_va	TRUE
91E0_vc	91E0_vc	TRUE
91E0_vm	91E0_vm	TRUE
91E0_vn	91E0_vn	TRUE
91E0_vo	91E0_vo	TRUE
91F0	9160_clus	NA
rbbppm	9190	NA
rbbsf	rbbsf	TRUE
rbbso	rbbso	TRUE
