"gemeente";"provincie";"loc_code";"habfield";"x_check";"y_check";"geometry"
"-";"-";"AN_BEE_003";"gh";"181339,537294984";"224423,334705041";c(181339.53125, 224423.328125)
"-";"-";"AN_BEE_004";"3130_aom";"181402,589116202";"224245,852273574";c(181402.59375, 224245.859375)
"-";"-";"AN_BEE_005";"3130_aom";"181500,36564216";"224284,530261744";c(181500.359375, 224284.53125)
"-";"-";"AN_BPE_001_gracht";"-";"151487,450111806";"219305,141961846";c(151487.453125, 219305.140625)
"-";"-";"ANTANT0315";"-";"151254,491344815";"218814,273472229";c(151251.375, 218822.21875)
"-";"-";"ANTANT0319";"-";"151287,731808182";"218639,023884732";c(151284.15625, 218649.875)
"-";"-";"ANTBRM0350";"-";"145803,273328763";"199364,261148406";c(145803.265625, 199364.265625)
"-";"-";"OV_LIO_002";"-";"139091,240197833";"215098,385873086";c(139091.234375, 215098.390625)
"-";"-";"OV_SPA_001";"-";"130889,881706709";"209151,82181127";c(130874.0625, 209140.796875)
"-";"-";"OV_TOLYPELLA_001";"-";"140212,801930617";"215251,093053953";c(140221.546875, 215253.609375)
"-";"-";"OV_TOLYPELLA_002";"-";"140094,556810611";"215288,572174558";c(140102.65625, 215292.25)
"-";"-";"OV_TOLYPELLA_003";"-";"140173,207822357";"215071,36236839";c(140170.59375, 215075.65625)
"-";"-";"OV_TOLYPELLA_004";"-";"141332,088882079";"215314,654746913";c(141334.890625, 215308.671875)
"-";"-";"OVLBVN0053";"-";"138340,718938734";"218206,236896336";c(138340.71875, 218206.234375)
"-";"-";"OVLBVN0180";"-";"141969,167416135";"215146,245729708";c(141969.171875, 215146.25)
"-";"-";"OVLBVN0184";"-";"142049,84105302";"215068,210556193";c(142049.84375, 215068.203125)
"-";"-";"OVLBVN0197";"-";"142004,023328131";"215102,885967584";c(142004.015625, 215102.890625)
"-";"-";"OVLBVN0213";"-";"141400,118551525";"215334,969761839";c(141400.125, 215334.96875)
"-";"-";"OVLBVN0217";"-";"141937,672445696";"215097,528470321";c(141937.671875, 215097.53125)
"-";"-";"OVLBVN0228";"-";"141158,51240847";"215320,14318902";c(141158.515625, 215320.140625)
"-";"-";"OVLBVN0301";"-";"140892,081291451";"215159,416933115";c(140892.078125, 215159.421875)
"-";"-";"OVLBVN0302";"-";"140785,385080108";"215054,990614401";c(140785.390625, 215054.984375)
"-";"-";"OVLBVN0304";"-";"140822,982962473";"215310,958967377";c(140822.984375, 215310.953125)
"-";"-";"OVLBVN0305";"-";"140427,93994509";"215071,095534849";c(140427.9375, 215071.09375)
"-";"-";"OVLBVN0468";"-";"139256,444836035";"215974,90531018";c(139256.4375, 215974.90625)
"-";"-";"OVLBVN0469";"-";"139258,920928997";"215921,471376604";c(139258.921875, 215921.46875)
"-";"-";"OVLBVN0470";"-";"139272,004103838";"215808,865711905";c(139272, 215808.859375)
"-";"-";"OVLBVN0471";"-";"139159,86452915";"215923,987072059";c(139159.859375, 215923.984375)
"-";"-";"OVLSTL0322";"-";"94140,6544536131";"219357,418784011";c(94140.65625, 219357.421875)
"-";"-";"WV_POB_002";"-";"52986,7649888023";"172291,785048564";c(52986.765625, 172291.78125)
"-";"-";"WVLKNO0102";"-";"70629,4345687233";"224698,597784259";c(70628.3125, 224695.96875)
"-";"-";"WVLKNO0352";"-";"70458,6667868932";"225919,676353625";c(70458.6640625, 225919.671875)
"Aalter";"Oost-Vlaanderen";"OV_KRA_001";"3130_aom;3130_na";"87706,3527434126";"196423,052253037";c(87786.796875, 196490.609375)
