;Gebied;Labo_ID_db;Datum;VEGID_INBOVEG;id_n2khab;system_type;habitattype;sbz;geometry;AfstandBron;Kalktuf;Schaduw;Periode;pH_veld;pH_labo;EC_veld_25grC;EC_labo_25grC;Buffercapaciteit_TAP;Buffercapaciteit_TAM;HCO3;CO3;OH;SO4;Cl;PO4;NO2;NO3;NH4;Ca;K;Mg;Na;Mn;Al;Fe;SO4_S;PO4_P;NO2_N;NO3_N;NH4_N
1;Feelbos 1;B_11_0377;19/04/2011;Feelbos 1;16;rivulet;7220;1;c(3.5379533, 50.7719859);A;4;4;Lente;NB;8;871;860,1;0,005;5,692;347,212;0,5;0,5;78,91024221;43,11714738;0,1;0,1;52,68384202;0,05;157,5247224;2,712103095;9,968252912;17,8137081;NB;NB;0,05;26,33853211;0,032615786;0,0304414;11,90111187;0,038825905
2;Wolfsputten;B_11_0378;19/04/2011;Wolfsputten;39;NA;gh;1;c(4.2518896, 50.8531852);A;2;4;Lente;NB;8,19;786;779,6;0,005;7,946;484,706;0,5;0,5;13,85755091;25,65347301;0,1;0,1;0,745347091;0,05;147,3143288;1,289068271;14,8847479;14,25003092;NB;NB;0,05;4,625350772;0,032615786;0,0304414;0,16837153;0,038825905
3;Enamebos;B_11_0379;19/04/2011;Ename 2;40;mire;7220;1;c(3.6494108, 50.8537526);B;5;4;Lente;NB;8,03;947;943,2;0,005;6,14;374,54;0,5;0,5;83,73216199;52,76769445;0,1;0,1;65,8716545;0,05;176,284479;1,768821114;17,2685091;14,19755271;NB;NB;0,05;27,94798464;0,032615786;0,0304414;14,88019664;0,038825905
4;Raspaille;B_11_0380;19/04/2011;Raspaille;81;NA;gh;1;c(3.941509, 50.774071);C;2;5;Lente;NB;8,18;706;702,3;0,005;4,461;272,121;0,5;0,5;102,0844665;31,31802796;0,1;0,1;9,456307827;0,05;122,8653027;3,667112646;11,18227238;12,42107508;NB;NB;0,05;34,07358695;0,032615786;0,0304414;2,136149776;0,038825905
5;Wijngaardbos 1;B_11_0381;19/04/2011;Wijngaardbos 1;32;rivulet;7220;1;c(5.4758737, 50.8171063);B;5;4;Lente;7.83;7,96;959;927,1;0,005;7,282;444,202;0,5;0,5;66,49773809;42,96586794;0,1;0,1;37,83736101;0,05;160,6786902;1,002398993;20,69391973;20,96958545;NB;NB;0,05;22,1955067;0,032615786;0,0304414;8,547339164;0,038825905
6;Steenputbeek 1;B_11_0382;19/04/2011;Steenputbeek 1;2;rivulet;7220;1;c(4.278431, 50.7137719);C;3;5;Lente;NB;8,1;722;713,2;0,005;5,485;334,585;0,5;0,5;77,83322803;25,13608529;0,1;0,1;10,45599508;0,05;132,400987;0,963107654;10,05512047;12,32609509;NB;NB;0,05;25,97904807;0,032615786;0,0304414;2,361975938;0,038825905
7;Steenputbeek 2;B_11_0383;19/04/2011;Steenputbeek 2;1;rivulet;7220;1;c(4.2756496, 50.7077746);B;4;5;Lente;NB;7,93;728;793,8;0,005;6,067;370,087;0,5;0,5;68,51801436;34,28853631;0,1;0,1;17,5776777;0,05;148,5847248;0,955624312;12,48904889;13,23084489;NB;NB;0,05;22,86983123;0,032615786;0,0304414;3,970741325;0,038825905
8;Zammelen;B_11_0384;19/04/2011;Zammelen;30;mire;7220;1;c(5.4040874, 50.8131411);B;4;4;Lente;7.65;7,79;1268;1300;0,005;7,684;468,724;0,5;0,5;167,4010734;74,52148417;0,1;2,014142616;85,21537992;0,207136586;186,2517796;30,22093038;26,86696654;54,76217646;NB;NB;0,05;55,87485761;0,032615786;0,613133216;19,24988252;0,160845306
9;Duling;B_11_0385;19/04/2011;Duling;3;NA;7230;1;c(4.3043239, 50.7155098);C;3;1;Lente;NB;7,55;826;817,5;0,005;5,603;341,783;0,5;0,5;79,66408874;50,18961413;0,1;0,1;4,711585174;0,05;125,905645;5,319328906;9,473763176;37,1109435;NB;NB;0,05;26,59014978;0,032615786;0,0304414;1,064332062;0,038825905
10;Galmaarden 2;B_11_0386;19/04/2011;GeenVegOpn;80;rivulet;7220;1;c(3.9409292, 50.7623351);B;2;5;Lente;NB;8,12;844;837,4;0,005;5,729;349,469;0,5;0,5;110,3930555;30,97225659;0,1;0,1;26,21909766;0,05;153,4527216;1,638428081;12,87279527;16,43510623;NB;NB;0,05;36,84681425;0,032615786;0,0304414;5,922810531;0,038825905
11;Mater-Kerkgate;B_11_0387;19/04/2011;Kerkgate;73;mire;7220;0;c(3.676738, 50.8490249);B;3;2;Lente;NB;7,2;1065;1056;0,005;6,955;424,255;0,5;0,5;178,2192278;46,67364621;0,1;0,1;0,298965282;0,05;207,0594794;5,015079838;14,19836819;18,53764169;NB;NB;0,12071;59,48572357;0,032615786;0,0304414;0,067535304;0,038825905
12;Hornebeek;B_11_0388;19/04/2011;Hornebeek;58;rivulet;7220;0;c(5.2384528, 50.7216672);A;2;3;Lente;7.20;7,44;975;969,6;0,005;6,441;392,901;0,5;0,5;92,42455633;57,48994593;0,1;0,1;48,92740097;0,05;173,1788017;1,443655421;19,73162818;12,54681931;NB;NB;0,05;30,84931787;0,032615786;0,0304414;11,05254382;0,038825905
13;Meldertkerkhof;B_11_0389;19/04/2011;Meldertkerkhof;64;NA;gh;0;c(4.8424642, 50.7896387);B;3;1;Lente;7.55;7,94;969;983,5;0,005;7,384;450,424;0,5;0,5;102,0960282;44,4001757;0,1;0,1;20,07607425;0,05;189,4243902;9,904244237;14,48923558;27,42113804;NB;NB;0,05;34,07744599;0,032615786;0,0304414;4,535121138;0,038825905
