type	drop_phab10	approach_cellbased
2	0	0
4	1	0
5	0	0
6	0	0
7	0	1
9	0	0
10	1	0
11	0	0
12	1	0
14	1	0
15	1	0
16	0	1
17	1	0
18	0	0
19	1	0
22	1	0
23	1	0
24	1	0
26	1	0
27	0	0
36	0	0
38	0	0
39	0	0
40	0	1
41	0	0
42	1	0
45	1	0
47	0	0
48	0	1
50	0	0
51	0	0
52	0	0
53	0	0
55	0	0
56	0	0
58	0	1
59	1	0
60	1	0
61	0	0
63	1	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	1	0
70	1	0
71	0	0
73	1	0
75	0	0
79	0	0
80	0	0
81	1	0
82	0	0
83	0	1
84	1	0
86	0	0
87	1	0
88	1	0
89	1	0
91	0	0
92	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	1	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	1	0
107	0	0
108	0	0
109	1	0
110	0	0
111	0	1
