milieudruk,meetnet,standplaatsfactor,milieuvar,afk_milieuvar,meetvar,primair,verklarend,kwaliteitscontrole,variable_set,field_method
3.3 Eutrofiëring via het grondwater,GW_03.3,N,nitraatconcentratie,NO3,nitraatconcentratie,X,NA,NA,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N,ammoniumconcentratie,NH4,ammoniumconcentratie,X,NA,NA,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,P,orthofosfaatconcentratie,PO4,orthofosfaatconcentratie,X,NA,NA,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,jaargemid. laagste grondwaterstand t.o.v. maaiveld,LG3,stijghoogte,NA,X,NA,ondiep grondwaterpeil automatisch,uitlezen diverloggers
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,jaargemid. gemiddelde grondwaterstand t.o.v. maaiveld,GG,stijghoogte,NA,X,NA,ondiep grondwaterpeil automatisch,uitlezen diverloggers
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,jaargemid. hoogste grondwaterstand t.o.v. maaiveld,HG3,stijghoogte,NA,X,NA,ondiep grondwaterpeil automatisch,uitlezen diverloggers
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,sulfaatconcentratie,SO4,sulfaatconcentratie,NA,X,NA,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,bodemtextuurklasse,textuur,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,nabijheid grondwaterlichaam,GWL,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,geleidbaarheid,EC,geleidbaarheid,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,kaliumconcentratie,K,kaliumconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,calciumconcentratie,Ca,calciumconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,magnesiumconcentratie,Mg,magnesiumconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,ijzerconcentratie,Fe,ijzerconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,nitrietconcentratie,NO2,nitrietconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,natriumconcentratie,Na,natriumconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,chlorideconcentratie,Cl,chlorideconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,waterstofcarbonaatconcentratie,HCO3,waterstofcarbonaatconcentratie,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
3.3 Eutrofiëring via het grondwater,GW_03.3,N en P,zuurtegraad,pH,pH,NA,NA,X,standaardpakket labo water,bemonsteren van ondiepe peilbuizen
5.1 Verdroging via het grondwater,GW_05.1_terr,waterpeil,jaargemiddelde laagste grondwaterstand t.o.v. maaiveld,LG3,stijghoogte,X,NA,NA,ondiep grondwaterpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_terr,waterpeil,jaargemiddelde hoogste grondwaterstand t.o.v. maaiveld,HG3,stijghoogte,X,NA,NA,ondiep grondwaterpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_terr,waterpeil,jaargemiddelde gemiddelde grondwaterstand t.o.v. maaiveld - manuele metingen,GG,stijghoogte,X,NA,NA,ondiep grondwaterpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_terr,waterpeil,effectieve neerslag,neerslag,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_terr,waterpeil,bodemtextuurklasse,textuur,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_terr,waterpeil,grondwaterlichaam,GWL,nvt: secundaire dataverwerving,NA,X,NA,NA,NA
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,kweldruk,kweldruk,stijghoogte,NA,X,NA,piezometerpeil automatisch,uitlezen diverloggers
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,verschil tussen grondwaterpeil en oppervlaktewaterpeil: natte perioden (1 jaar),Diff_OW_GW_L,stijghoogte,X,NA,NA,ondiep grondwaterpeil autom. en oppervlaktewaterpeil (automatisch of manueel),uitlezen diverloggers (event. aflezen peillat)
5.1 Verdroging via het grondwater,GW_05.1_aq,waterpeil,verschil tussen grondwaterpeil en oppervlaktewaterpeil: droge perioden (1 jaar),Diff_OW_GW_H,stijghoogte,X,NA,NA,ondiep grondwaterpeil autom. en oppervlaktewaterpeil (automatisch of manueel),uitlezen diverloggers (event. aflezen peillat)
