type	approach_cellbased
2	0
4	0
5	0
6	0
7	1
9	0
10	0
11	0
12	0
14	0
15	0
16	1
17	0
18	0
19	0
22	0
23	0
24	0
26	0
27	0
36	0
38	0
39	0
40	1
41	0
42	0
45	0
47	0
48	1
50	0
51	0
52	0
53	0
55	0
56	0
58	1
59	0
60	0
61	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
73	0
75	0
79	0
80	0
81	0
82	0
83	1
84	0
86	0
87	0
88	0
89	0
91	0
92	0
95	0
96	0
97	0
98	0
99	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	1
