type	count_method	population_size
2	cellbased	412.35
2	centroidbased	229.05
4	cellbased	536.11
4	centroidbased	174.02
5	cellbased	70
5	centroidbased	9.3
6	cellbased	18
6	centroidbased	12.2
7	cellbased	79.2
7	centroidbased	12.3
9	cellbased	1617.25
9	centroidbased	455.15
10	cellbased	3724.91
10	centroidbased	1284.07
11	cellbased	27
11	centroidbased	2
12	cellbased	303.7
12	centroidbased	108.6
14	cellbased	126
14	centroidbased	75
15	cellbased	737.9
15	centroidbased	239.95
16	cellbased	0
16	centroidbased	0
17	cellbased	266.7
17	centroidbased	82.7
18	cellbased	70.35
18	centroidbased	7.35
19	cellbased	84.3
19	centroidbased	17.1
22	cellbased	7
22	centroidbased	0
23	cellbased	80.85
23	centroidbased	21.75
24	cellbased	16130.83
24	centroidbased	10568.29
25	cellbased	269.7
25	centroidbased	74.98
26	cellbased	2982.51
26	centroidbased	1202.34
27	cellbased	569.8
27	centroidbased	194.47
36	cellbased	549.85
36	centroidbased	233.4
38	cellbased	26024.81
38	centroidbased	15244.57
39	cellbased	17836.44
39	centroidbased	8696.23
40	cellbased	741.31
40	centroidbased	252.73
41	cellbased	3256.37
41	centroidbased	1337.88
42	cellbased	57.6
42	centroidbased	30
45	cellbased	54.45
45	centroidbased	14.75
47	cellbased	0.7
47	centroidbased	0.2
48	cellbased	3
48	centroidbased	0
49	cellbased	525.15
49	centroidbased	205.75
50	cellbased	1554.76
50	centroidbased	497.87
51	cellbased	3329.05
51	centroidbased	1315.48
52	cellbased	2049.35
52	centroidbased	676.2
53	cellbased	35.25
53	centroidbased	15.85
55	cellbased	1584.21
55	centroidbased	710.37
56	cellbased	65.35
56	centroidbased	22.4
58	cellbased	226.05
58	centroidbased	64.25
59	cellbased	18354.9
59	centroidbased	8843.2
60	cellbased	775.35
60	centroidbased	318.55
61	cellbased	609.1
61	centroidbased	209.8
63	cellbased	24707.51
63	centroidbased	10042.73
64	cellbased	1355.3
64	centroidbased	815
65	cellbased	516.5
65	centroidbased	174.37
66	cellbased	322.37
66	centroidbased	138.47
67	cellbased	4577.3
67	centroidbased	1726.8
68	cellbased	40235.97
68	centroidbased	21937.46
69	cellbased	30938.2
69	centroidbased	14818.55
70	cellbased	5031.35
70	centroidbased	2201.35
71	cellbased	20977.23
71	centroidbased	13316.51
73	cellbased	3819.32
73	centroidbased	2184.02
75	cellbased	8046.27
75	centroidbased	4718.78
79	cellbased	43.25
79	centroidbased	15.9
80	cellbased	4108.26
80	centroidbased	1969.07
81	cellbased	193.05
81	centroidbased	80.25
82	cellbased	1668.2
82	centroidbased	918.32
83	cellbased	1014.72
83	centroidbased	386.21
84	cellbased	84.3
84	centroidbased	22.65
86	cellbased	190.36
86	centroidbased	105.44
87	cellbased	8890.09
87	centroidbased	4355.62
88	cellbased	51109.87
88	centroidbased	22691.94
89	cellbased	4196.75
89	centroidbased	1936.45
91	cellbased	134.6
91	centroidbased	59.8
92	cellbased	123125.15
92	centroidbased	73388.16
95	cellbased	28129.28
95	centroidbased	14702.92
96	cellbased	108.4
96	centroidbased	44.35
97	cellbased	10
97	centroidbased	3
98	cellbased	37727.65
98	centroidbased	21648.4
99	cellbased	33440.35
99	centroidbased	18262.2
100	cellbased	3986.3
100	centroidbased	2437.35
101	cellbased	7457.7
101	centroidbased	3340.9
102	cellbased	67275.54
102	centroidbased	36715.03
103	cellbased	7276.33
103	centroidbased	3346.29
104	cellbased	48237.59
104	centroidbased	28771.95
105	cellbased	46593.85
105	centroidbased	26054.05
106	cellbased	9289.8
106	centroidbased	4921.9
107	cellbased	8
107	centroidbased	1
108	cellbased	352.7
108	centroidbased	190.1
109	cellbased	30084.9
109	centroidbased	14502.9
110	cellbased	4076.01
110	centroidbased	1879.37
111	cellbased	8340.39
111	centroidbased	2040.6
