rank,x,y,date,nh4,no3,po4,po4f,period_min,period_max,source
123559,185896,209550,2007-02-16,0.592,2.75,0.137,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-02-20,0.262,2.15,0,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-03-07,0,8.15,0.152,NA,2007-01-01,2007-12-31,H3260_v1_2
103391,189477,197117,2007-03-07,0.229,1.25,0.199,NA,2007-01-01,2007-12-31,H3260_v1_2
38402,197860,216731,2007-03-13,0.456,1.68,0.086,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-03-12,0.223,7.29,0,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-03-13,0.961,2.87,0.106,NA,2007-01-01,2007-12-31,H3260_v1_2
123559,185896,209550,2007-03-19,1.02,1.94,0.111,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-03-21,0.377,2.53,0,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-03-15,1.16,2.03,0,NA,2007-01-01,2007-12-31,H3260_v1_2
124176,204796,204545,2007-03-26,0.25,1.1,0.03,NA,2007-01-01,2007-12-31,H3260_v1_2
103391,189477,197117,2007-04-05,0.287,0,0.224,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-04-10,0.8,0.321,0.087,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-04-10,0,6.7,0.147,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-04-16,0,5.87,0,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-04-17,0.247,0.422,0,NA,2007-01-01,2007-12-31,H3260_v1_2
38402,197860,216731,2007-04-12,0.206,0.419,0,NA,2007-01-01,2007-12-31,H3260_v1_2
123559,185896,209550,2007-04-16,0,0.985,0,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-04-18,0.261,1.73,0,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-05-03,0.88,0,0,NA,2007-01-01,2007-12-31,H3260_v1_2
103391,189477,197117,2007-05-08,1.5,0.248,0.212,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-05-08,0.596,5.1,0.376,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-05-08,1.34,NA,0.208,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-05-14,0.288,4.44,0.102,NA,2007-01-01,2007-12-31,H3260_v1_2
38402,197860,216731,2007-05-14,0.417,0.783,0.072,NA,2007-01-01,2007-12-31,H3260_v1_2
123559,185896,209550,2007-05-15,0.409,1.26,0,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-05-16,0.253,2.03,0,NA,2007-01-01,2007-12-31,H3260_v1_2
123717,198919,214642,2000-01-17,1.26,1.76,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2000-01-14,2.03,2.19,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2000-01-18,0.83,8.33,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2000-02-07,0.87,2.12,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2000-02-07,1.47,1.93,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2000-02-08,0.85,0.82,0.23,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2000-02-18,0.25,0.73,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2000-02-15,0.72,9.32,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2000-05-26,0.75,3.46,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2000-07-12,0.27,2.26,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2000-07-27,0.49,2.59,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2000-09-18,0.75,1.62,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2000-09-18,0.25,1.34,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2000-09-22,0.44,2.11,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2000-10-09,0.89,0.28,0.06,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-02-22,0.79,5.01,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-03-06,0.93,2.31,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-03-07,1.24,1.67,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-03-07,1.95,1.78,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-03-09,0.28,0.91,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224801,211892,2002-08-30,0.39,5.08,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2002-09-02,0.15,4.23,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2002-09-10,0.31,1.6,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2002-09-10,0.1,1.93,0.3,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2002-09-24,0.28,1.69,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224801,211892,2002-09-27,0.58,4.44,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2002-10-02,0,8.89,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2002-10-10,0.19,0.44,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2002-10-11,0.12,2.09,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2002-10-11,0.32,1.23,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2002-10-28,0.34,1.15,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2002-09-09,0.12,0.46,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224801,211892,2002-10-31,0.49,5.79,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2002-11-11,0.23,1.41,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2002-11-12,0.22,1.23,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2000-08-18,0.16,1.48,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2000-08-25,1.23,0.47,0.25,NA,2000-01-01,2006-12-31,H3260_v1_0
221004,245672,183550,2007-03-13,0.583,2.89,0.225,NA,2007-01-01,2007-12-31,H3260_v1_2
84207,151545,223322,2005-11-25,NA,0.54,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123478,178983,208404,2005-12-06,0.64,1.47,0.133,NA,2000-01-01,2006-12-31,H3260_v1_0
47686,179707,243397,2005-12-07,0.32,17.4,0.123,NA,2000-01-01,2006-12-31,H3260_v1_0
206652,203131,209305,2005-12-07,0.34,1.42,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
221004,245672,183550,2005-12-13,3.59,9.33,0.62,NA,2000-01-01,2006-12-31,H3260_v1_0
111617,186904,232114,2005-12-12,0.59,2.46,0.101,NA,2000-01-01,2006-12-31,H3260_v1_0
144658,222498,199266,2005-12-07,0.38,12,0,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2005-12-13,0.48,1.04,0,NA,2000-01-01,2006-12-31,H3260_v1_0
241434,238265,208445,2007-06-04,0,5.19,0,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-06-05,1.96,0.417,0,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-06-05,0,5.74,0.425,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-06-07,0,0.289,0,NA,2007-01-01,2007-12-31,H3260_v1_2
124176,204796,204545,2006-02-09,NA,1.67,0.12,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2007-06-04,0,2.8,0,NA,2007-01-01,2007-12-31,H3260_v1_2
213836,241452,197091,2005-01-17,0,3.43,0.124,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2005-01-18,NA,10.9,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2005-01-18,3.2,4.6,0.22,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2005-02-02,0,11.8,0.116,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2005-02-14,0.23,3.29,0.129,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2005-02-15,0.5,4.3,0.04,NA,2000-01-01,2006-12-31,H3260_v1_0
144658,222498,199266,2006-01-10,NA,11.8,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238572,223886,213548,2006-01-10,1.55,4.33,0.164,NA,2000-01-01,2006-12-31,H3260_v1_0
221004,245672,183550,2006-01-17,1.67,13.7,0.319,NA,2000-01-01,2006-12-31,H3260_v1_0
47686,179707,243397,2006-01-10,0.309,11.8,0.286,NA,2000-01-01,2006-12-31,H3260_v1_0
212371,244877,161556,2006-03-13,0.298,9.06,0.166,NA,2000-01-01,2006-12-31,H3260_v1_0
123478,178983,208404,2006-01-16,0.571,1.22,0.081,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2006-01-19,0.298,1.16,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238572,223886,213548,2006-02-08,1.69,3.97,0.154,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2006-03-14,0.77,2.64,0.168,NA,2000-01-01,2006-12-31,H3260_v1_0
38402,197860,216731,2006-03-15,0.511,2,0,NA,2000-01-01,2006-12-31,H3260_v1_0
204986,244766,184401,2006-03-14,1.43,1.92,0.077,NA,2000-01-01,2006-12-31,H3260_v1_0
212371,244877,161556,2006-04-11,0,7.41,0.185,NA,2000-01-01,2006-12-31,H3260_v1_0
204986,244766,184401,2006-04-11,0.784,1.04,0.075,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2005-02-15,0.48,13.55,0.04,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2005-02-10,0.63,1.71,0.158,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2005-11-04,0.22,1.05,0,NA,2000-01-01,2006-12-31,H3260_v1_0
144658,222498,199266,2006-02-08,NA,8.44,0,NA,2000-01-01,2006-12-31,H3260_v1_0
221004,245672,183550,2006-02-14,0,3.24,0.535,NA,2000-01-01,2006-12-31,H3260_v1_0
111617,186904,232114,2006-02-08,1.14,2.71,0.13,NA,2000-01-01,2006-12-31,H3260_v1_0
47686,179707,243397,2006-02-07,0.437,8.79,0.109,NA,2000-01-01,2006-12-31,H3260_v1_0
123478,178983,208404,2006-02-13,1.08,1.72,0,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2006-02-15,0.689,1.13,0,NA,2000-01-01,2006-12-31,H3260_v1_0
38402,197860,216731,2006-04-11,0.411,0.803,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2006-04-12,0.959,1.59,0.148,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2005-10-26,0,3.6,0.02,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2005-11-28,0.27,3.07,0.074,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2005-11-29,NA,6.63,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2005-11-29,0.62,3.1,0.07,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2005-11-30,0,11.5,0,NA,2000-01-01,2006-12-31,H3260_v1_0
38434,200014,218405,2006-02-09,NA,2.13,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
84207,151545,223322,2006-02-15,0.49,0.89,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238572,223886,213548,2006-03-07,1.35,5.6,0.273,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2006-05-11,0.296,0.891,0,NA,2000-01-01,2006-12-31,H3260_v1_0
38402,197860,216731,2006-05-16,0,0.38,0.083,NA,2000-01-01,2006-12-31,H3260_v1_0
249683,208625,203839,2007-06-18,0.294,0.892,0,NA,2007-01-01,2007-12-31,H3260_v1_2
123574,187346,210000,2005-12-06,0.59,2.29,0.113,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2006-01-10,NA,9.63,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2006-01-10,1.6,3.6,0.06,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2006-01-18,0.326,3.11,0.125,NA,2000-01-01,2006-12-31,H3260_v1_0
144658,222498,199266,2006-03-07,0.35,12.3,0.116,NA,2000-01-01,2006-12-31,H3260_v1_0
111617,186904,232114,2006-02-28,0.8,4.6,0.04,NA,2000-01-01,2006-12-31,H3260_v1_0
47686,179707,243397,2006-03-07,0.403,13.9,0.171,NA,2000-01-01,2006-12-31,H3260_v1_0
123478,178983,208404,2006-03-14,0.741,2.62,0.184,NA,2000-01-01,2006-12-31,H3260_v1_0
103391,189477,197117,2007-07-05,0.868,0.638,0.275,NA,2007-01-01,2007-12-31,H3260_v1_2
38402,197860,216731,2007-07-10,0,0.965,0.076,NA,2007-01-01,2007-12-31,H3260_v1_2
123559,185896,209550,2007-07-13,0.249,1.27,0.071,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-07-03,0,4.78,0.315,NA,2007-01-01,2007-12-31,H3260_v1_2
9547,74383,203895,2006-01-18,0,11,0.05,NA,2000-01-01,2006-12-31,H3260_v1_0
9549,74511,203801,2006-01-18,0,10,0.03,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2006-01-16,0.608,1.3,0.198,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2006-02-07,0.222,3.57,0.09,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2006-02-08,3,3.9,0.11,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2006-02-08,NA,6.04,0,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2006-03-15,0.272,1.49,0,NA,2000-01-01,2006-12-31,H3260_v1_0
144658,222498,199266,2006-03-14,0,14,0,NA,2000-01-01,2006-12-31,H3260_v1_0
221004,245672,183550,2006-03-14,2.31,5.18,0.364,NA,2000-01-01,2006-12-31,H3260_v1_0
221004,245672,183550,2006-04-11,1.51,5.11,0.846,NA,2000-01-01,2006-12-31,H3260_v1_0
238572,223886,213548,2006-04-04,0.625,5.24,0.141,NA,2000-01-01,2006-12-31,H3260_v1_0
144658,222498,199266,2006-04-04,NA,10.2,0.079,NA,2000-01-01,2006-12-31,H3260_v1_0
204986,244766,184401,2007-07-03,4.49,0.143,0.218,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-07-05,1.4,1.8,0.264,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-07-10,0.212,5.11,0.135,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-07-16,0,1.13,0,NA,2007-01-01,2007-12-31,H3260_v1_2
103391,189477,197117,2007-08-07,0,0.915,0.182,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-07-30,0,3.99,0.287,NA,2007-01-01,2007-12-31,H3260_v1_2
123574,187346,210000,2006-02-13,1.04,1.66,0,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2006-03-06,0,3.81,0.133,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2006-03-07,1.2,4.3,0.03,NA,2000-01-01,2006-12-31,H3260_v1_0
47686,179707,243397,2006-04-06,0.352,11.7,0.138,NA,2000-01-01,2006-12-31,H3260_v1_0
111617,186904,232114,2006-04-10,0.411,3.46,0,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2006-04-11,0,1.21,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123478,178983,208404,2006-04-12,0.499,1.41,0.106,NA,2000-01-01,2006-12-31,H3260_v1_0
47591,246700,206562,2007-08-01,0.952,0.958,0.305,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-08-06,0,4.71,0.103,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-08-28,1.4,0.103,0.192,NA,2007-01-01,2007-12-31,H3260_v1_2
238759,225609,198258,2006-03-07,0,13.7,0.112,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2006-02-23,0.239,15.3,0.101,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2006-03-14,0.668,3.38,0.157,NA,2000-01-01,2006-12-31,H3260_v1_0
9547,74383,203895,2006-03-23,0,8.6,0,NA,2000-01-01,2006-12-31,H3260_v1_0
9549,74511,203801,2006-03-23,0,7.7,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2000-08-23,0.25,1.84,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2000-09-15,0.5,0.53,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-01-15,NA,0.79,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-01-05,0.38,1.9,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-01-08,0.52,2.81,0,NA,2000-01-01,2006-12-31,H3260_v1_0
47686,179707,243397,2006-05-09,0,4.52,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123478,178983,208404,2006-05-11,0.239,1.14,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2007-08-10,0.881,1.44,0.115,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-08-14,0,1.35,0,NA,2007-01-01,2007-12-31,H3260_v1_2
38402,197860,216731,2007-08-21,0,0.584,0,NA,2007-01-01,2007-12-31,H3260_v1_2
103391,189477,197117,2007-09-05,0,1.11,0.15,NA,2007-01-01,2007-12-31,H3260_v1_2
213836,241452,197091,2006-04-10,0,3.28,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2006-04-04,0.87,3.8,0.06,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2006-04-04,NA,14.1,0.102,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2006-04-12,0.893,1.57,0.194,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2006-05-16,0,0.815,0,NA,2000-01-01,2006-12-31,H3260_v1_0
224975,210560,206194,2007-06-18,0,0.757,0.076,NA,2007-01-01,2007-12-31,H3260_v1_2
206652,203131,209305,2007-06-18,0.218,0.964,0,NA,2007-01-01,2007-12-31,H3260_v1_2
47686,179707,243397,2007-07-04,0.261,2.6,0.265,NA,2007-01-01,2007-12-31,H3260_v1_2
123559,185896,209550,2007-09-10,0,1.03,0,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-09-03,0,5.47,0.264,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-09-04,0.556,0.535,0,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-09-11,0,5.14,0,NA,2007-01-01,2007-12-31,H3260_v1_2
213836,241452,197091,2006-05-02,0,3.71,0.077,NA,2000-01-01,2006-12-31,H3260_v1_0
9547,74383,203895,2006-05-10,0.33,1.9,0,NA,2000-01-01,2006-12-31,H3260_v1_0
9549,74511,203801,2006-05-10,0.43,3.1,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2006-05-11,0.369,1.05,0,NA,2000-01-01,2006-12-31,H3260_v1_0
259130,199929,215582,2007-07-10,0,1.12,0,NA,2007-01-01,2007-12-31,H3260_v1_2
123478,178983,208404,2007-07-13,0,1.54,0.078,NA,2007-01-01,2007-12-31,H3260_v1_2
221004,245672,183550,2007-07-03,1.83,0.441,0.477,NA,2007-01-01,2007-12-31,H3260_v1_2
255415,228750,210246,2007-07-05,0.79,3.65,0.389,NA,2007-01-01,2007-12-31,H3260_v1_2
114575,228740,179160,2007-07-16,0,0.311,0,NA,2007-01-01,2007-12-31,H3260_v1_2
38402,197860,216731,2007-09-12,0,0.388,0,NA,2007-01-01,2007-12-31,H3260_v1_2
249683,208625,203839,2007-09-13,0,1.76,0,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-09-25,1.42,0,0.545,NA,2007-01-01,2007-12-31,H3260_v1_2
103391,189477,197117,2007-10-03,0.235,0.854,0.247,NA,2007-01-01,2007-12-31,H3260_v1_2
123574,187346,210000,2007-07-13,0,1.31,0,NA,2007-01-01,2007-12-31,H3260_v1_2
213836,241452,197091,2007-07-10,0,2.68,0.104,NA,2007-01-01,2007-12-31,H3260_v1_2
241434,238265,208445,2007-10-01,0,3.96,0,NA,2007-01-01,2007-12-31,H3260_v1_2
47591,246700,206562,2007-10-02,0.542,1.71,0.129,NA,2007-01-01,2007-12-31,H3260_v1_2
212371,244877,161556,2007-10-03,0,4.51,0.2,NA,2007-01-01,2007-12-31,H3260_v1_2
204986,244766,184401,2007-10-23,1.51,0.612,0.074,NA,2007-01-01,2007-12-31,H3260_v1_2
123559,185896,209550,2007-10-10,0,1.1,0.102,NA,2007-01-01,2007-12-31,H3260_v1_2
238759,225609,198258,2007-07-31,NA,12.7,NA,NA,2007-01-01,2007-12-31,H3260_v1_2
238515,223950,218080,2007-07-31,0.34,2.9,0.1,NA,2007-01-01,2007-12-31,H3260_v1_2
213836,241452,197091,2007-08-06,0.204,2.79,0.115,NA,2007-01-01,2007-12-31,H3260_v1_2
123574,187346,210000,2007-08-10,1.01,1.37,0.134,NA,2007-01-01,2007-12-31,H3260_v1_2
123717,198919,214642,2001-01-08,0.2,2.63,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-01-09,1.04,0.92,0.22,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-01-31,0.7,5.35,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-02-01,0.9,1.86,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-02-02,0.73,2.61,0.23,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-02-02,1.75,2.41,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-02-05,0.43,1.33,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-04-09,0,0,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-04-25,0.61,3.19,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-05-02,0.67,1.92,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-05-04,0.57,1.53,0.16,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-05-04,0.91,1.16,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-05-07,0.18,0.79,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-05-28,0.7,1.84,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-06-11,1.84,4.06,0.21,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-06-13,0.25,1.29,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-06-13,3.39,1.21,0.53,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-06-14,0.23,0.65,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-06-26,0.57,1.56,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-07-06,0.25,0.57,0,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-07-09,0.23,3.05,0.19,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-07-12,0.09,1.36,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-07-12,0.21,1.6,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-07-20,0.52,1.56,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-08-16,0.11,0.99,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-08-16,0.21,1.83,0,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-08-17,0.27,6.57,0.2,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-08-21,0.16,0.39,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-08-22,0.15,1.04,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-09-14,0.19,1.59,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-09-14,0.16,1.26,0,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-09-17,0.34,2.4,0.26,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-09-18,0.31,0.61,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-09-25,0.42,5.54,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2001-10-15,0.18,2.34,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2001-10-15,0.12,1.53,0,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2001-10-16,0.76,4.37,0.19,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2001-10-17,0.29,0.29,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2001-10-24,0.4,2.27,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2002-11-18,0,0,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224801,211892,2002-11-28,0.46,6.22,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2002-12-09,0.44,0.65,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2002-12-10,0.71,1.56,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2002-12-10,0.27,3.34,0,NA,2000-01-01,2006-12-31,H3260_v1_0
33385,183472,213552,2002-12-11,0.85,3.55,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2002-12-21,0.81,5.05,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224801,211892,2002-12-30,2.07,2.22,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2002-12-18,0,9.8,0,NA,2000-01-01,2006-12-31,H3260_v1_0
45938,206821,205572,2003-01-06,0.51,1.03,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2003-01-09,0.6,1.88,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123530,183551,208274,2003-01-09,0.71,2.19,0,NA,2000-01-01,2006-12-31,H3260_v1_0
111580,184931,233174,2003-01-16,0.65,6.22,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123717,198919,214642,2003-02-05,0.5,2.12,0,NA,2000-01-01,2006-12-31,H3260_v1_0
