point_id	loc_code	date	po4	nh4	no3	ecoregion	soilclass	x	y	type	year	sixyear	target
1	ht7220_01	15083	0.0326157864261688	0.038825905	3.97074132670927	9	2	143423.936811179	155249.74117393	1	2011	1	1
2	ht7220_02	15083	0.0326157864261688	0.038825905	2.36197593815392	9	2	143621.203287292	155916.620665323	1	2011	1	1
2	ht7220_02	15223	0.0163078932130844	0.177043575	0.933855362608189	9	2	143621.203287292	155916.620665323	1	2011	1	1
2	ht7220_02	15295	0.0359019965106948	0.038825905	1.95217163108698	9	2	143621.203287292	155916.620665323	1	2011	1	1
8	ht7220_08	15083	0.0326157864261688	0.038825905	6.79531686967737	11	4	253266.674255575	160485.03276336	1	2011	1	1
8	ht7220_08	15223	0.0163078932130844	0.158618803	5.26753548765124	11	4	253266.674255575	160485.03276336	1	2011	1	1
8	ht7220_08	15294	0.0163078932130844	0.038825905	6.88194926782293	11	4	253266.674255575	160485.03276336	1	2011	1	1
9	ht7220_09	15223	0.0163078932130844	0.20452135	8.65712380072922	9	1	164711.865802202	160492.759429047	1	2011	1	1
104	ht7220_104	15083	0.0326157864261688	0.038825905	9.2187023068099	11	1	253280.475982114	160484.971155503	1	2011	1	1
104	ht7220_104	15294	0.0163078932130844	0.038825905	6.42796133284046	11	1	253280.475982114	160484.971155503	1	2011	1	1
16	ht7220_16	15083	0.0326157864261688	0.038825905	11.9011118720556	8	2	91398.5981016056	162715.69828025	1	2011	1	1
16	ht7220_16	15083	0.0326157864261688	0.038825905	12.2265774477346	8	2	91398.5981016056	162715.69828025	1	2011	1	1
16	ht7220_16	15223	0.0163078932130844	0.206880231	10.5338796655524	8	2	91398.5981016056	162715.69828025	1	2011	1	1
16	ht7220_16	15295	0.0163078932130844	0.038825905	11.1901795686064	8	2	91398.5981016056	162715.69828025	1	2011	1	1
16	ht7220_16	15295	0.0163078932130844	0.038825905	9.1472338623147	8	2	91398.5981016056	162715.69828025	1	2011	1	1
16	ht7220_16	15400	0.00815394660654221	0.038825905	11.912013195814	8	2	91398.5981016056	162715.69828025	1	2012	1	1
16	ht7220_16	15400	0.0188549297728869	0.038825905	10.2344583024046	8	2	91398.5981016056	162715.69828025	1	2012	1	1
16	ht7220_16	15400	0.0225211662806938	0.038825905	9.78356826884166	8	2	91398.5981016056	162715.69828025	1	2012	1	1
16	ht7220_16	15400	0.00815394660654221	0.038825905	9.75042920675565	8	2	91398.5981016056	162715.69828025	1	2012	1	1
23	ht7220_23	15223	0.0163078932130844	0.164484128	6.06439009843528	10	1	222980.099913643	165065.301748361	1	2011	1	1
27	ht7220_27	15294	0.0163078932130844	0.038825905	8.89797544306859	10	1	219264.133414455	166693.975114116	1	2011	1	1
28	ht7220_28	15223	0.0163078932130844	0.178956181	6.61470954153268	10	1	233176.690021864	167217.951481724	1	2011	1	1
32	ht7220_32	15083	0.0326157864261688	0.038825905	8.54733916619855	10	1	228016.176197249	167989.910228325	1	2011	1	1
32	ht7220_32	15223	0.0163078932130844	0.225368757	7.79834308529189	10	1	228016.176197249	167989.910228325	1	2011	1	1
32	ht7220_32	15294	0.0163078932130844	0.038825905	7.82975194045593	10	1	228016.176197249	167989.910228325	1	2011	1	1
32	ht7220_32	15398	0.00815394660654221	0.038825905	7.65894099796511	10	1	228016.176197249	167989.910228325	1	2012	1	1
32	ht7220_32	15398	0.00815394660654221	0.038825905	6.57445559058584	10	1	228016.176197249	167989.910228325	1	2012	1	1
35	ht7220_35	15083	0.0326157864261688	0.038825905	0.0225896810402279	8	2	108237.163560661	169886.995585252	1	2011	1	1
35	ht7220_35	15223	0.0163078932130844	0.180932541	0.0408001608503124	8	2	108237.163560661	169886.995585252	1	2011	1	1
35	ht7220_35	15295	0.0444449414910481	0.038825905	0.0245633468942361	8	2	108237.163560661	169886.995585252	1	2011	1	1
58	ht7220_58	15083	0.0326157864261688	0.038825905	11.0525438203964	10	2	211411.020315617	157151.272139096	1	2011	1	1
58	ht7220_58	15223	0.0163078932130844	0.208091548	8.95164232435272	10	2	211411.020315617	157151.272139096	1	2011	1	1
58	ht7220_58	15294	0.0163078932130844	0.038825905	9.47931980711107	10	2	211411.020315617	157151.272139096	1	2011	1	1
58	ht7220_58	15398	0.00815394660654221	0.038825905	9.32339387637118	10	2	211411.020315617	157151.272139096	1	2012	1	1
58	ht7220_58	15398	0.00815394660654221	0.038825905	8.56237011180694	10	2	211411.020315617	157151.272139096	1	2012	1	1
58	ht7220_58	15398	0.00815394660654221	0.038825905	8.07215144355295	10	2	211411.020315617	157151.272139096	1	2012	1	1
61	ht7220_61	15083	0.0326157864261688	0.038825905	8.66180522749482	10	1	183524.445405035	166723.245927168	1	2011	1	1
61	ht7220_61	15223	0.0163078932130844	0.212044267	6.86470833531592	10	1	183524.445405035	166723.245927168	1	2011	1	1
61	ht7220_61	15294	0.0163078932130844	0.038825905	7.59697438775475	10	1	183524.445405035	166723.245927168	1	2011	1	1
66	ht7220_66	15223	0.0163078932130844	0.038825905	14.3563329918574	9	2	160156.797390133	157936.404710773	1	2011	1	1
68	ht7220_68	15223	0.0163078932130844	0.182016351	0.688180585271491	8	4	146029.153056433	174683.360514385	1	2011	1	1
68	ht7220_68	15400	0.00815394660654221	0.038825905	0.386279914722567	8	4	146029.153056433	174683.360514385	1	2012	1	1
68	ht7220_68	15400	0.00815394660654221	0.038825905	0.664294750349982	8	4	146029.153056433	174683.360514385	1	2012	1	1
68	ht7220_68	15400	0.00815394660654221	0.038825905	0.671975241903659	8	4	146029.153056433	174683.360514385	1	2012	1	1
71	ht7220_71	15083	0.0326157864261688	0.038825905	4.7488371613968	10	1	230862.015339156	168468.9921681	1	2011	1	1
72	ht7220_72	15083	0.0326157864261688	0.101089259	14.0469424410317	11	3	251878.246329487	161083.214175558	1	2011	1	1
72	ht7220_72	15223	0.0163078932130844	0.150394596	12.4089368066921	11	3	251878.246329487	161083.214175558	1	2011	1	1
72	ht7220_72	15294	0.0163078932130844	0.038825905	12.4879361742039	11	3	251878.246329487	161083.214175558	1	2011	1	1
72	ht7220_72	15294	0.0163078932130844	0.038825905	12.0338306870392	11	3	251878.246329487	161083.214175558	1	2011	1	1
72	ht7220_72	15398	0.00815394660654221	0.038825905	12.6398978982922	11	3	251878.246329487	161083.214175558	1	2012	1	1
72	ht7220_72	15398	0.00815394660654221	0.038825905	12.280383124537	11	3	251878.246329487	161083.214175558	1	2012	1	1
72	ht7220_72	15398	0.00815394660654221	0.038825905	12.0009939494315	11	3	251878.246329487	161083.214175558	1	2012	1	1
72	ht7220_72	15398	0.00815394660654221	0.038825905	11.9720791577	11	3	251878.246329487	161083.214175558	1	2012	1	1
75	ht7220_75	15083	0.0326157864261688	0.086638522	9.69584938158401	11	1	258193.95337374	158553.947013307	1	2011	1	1
75	ht7220_75	15223	0.0163078932130844	0.142807925	7.43947171309102	11	1	258193.95337374	158553.947013307	1	2011	1	1
75	ht7220_75	15294	0.0532762560116676	0.038825905	7.35944771153181	11	1	258193.95337374	158553.947013307	1	2011	1	1
75	ht7220_75	15398	0.0291055672065736	0.038825905	10.1421794553553	11	1	258193.95337374	158553.947013307	1	2012	1	1
75	ht7220_75	15398	0.0329448696003151	0.038825905	9.71354025761695	11	1	258193.95337374	158553.947013307	1	2012	1	1
75	ht7220_75	15398	0.022341082455994	0.038825905	9.32617240713913	11	1	258193.95337374	158553.947013307	1	2012	1	1
75	ht7220_75	15398	0.0276429758650756	0.038825905	9.32068311464635	11	1	258193.95337374	158553.947013307	1	2012	1	1
79	ht7220_79	15083	0.0326157864261688	0.038825905	6.34476431917226	8	1	119848.908123004	161395.925853793	1	2011	1	1
79	ht7220_79	15223	0.0163078932130844	0.191069353	3.44249134236948	8	1	119848.908123004	161395.925853793	1	2011	1	1
79	ht7220_79	15295	0.0163078932130844	0.038825905	4.49760745363472	8	1	119848.908123004	161395.925853793	1	2011	1	1
79	ht7220_79	15400	0.00815394660654221	0.038825905	5.6359221124075	8	1	119848.908123004	161395.925853793	1	2012	1	1
79	ht7220_79	15400	0.00815394660654221	0.038825905	4.02877925480048	8	1	119848.908123004	161395.925853793	1	2012	1	1
79	ht7220_79	15400	0.00815394660654221	0.038825905	5.26470588387343	8	1	119848.908123004	161395.925853793	1	2012	1	1
79	ht7220_79	15400	0.00815394660654221	0.038825905	3.74539170615083	8	1	119848.908123004	161395.925853793	1	2012	1	1
80	ht7220_80	15083	0.0326157864261688	0.038825905	5.92281053301985	8	1	119816.38699553	161401.530226236	1	2011	1	1
83	ht7220_83	15398	0.00815394660654221	0.038825905	6.04633143754636	10	1	228364.704561021	167955.104689935	1	2012	1	1
83	ht7220_83	15398	0.00815394660654221	0.038825905	5.82253546748082	10	1	228364.704561021	167955.104689935	1	2012	1	1
