id	year	is_3260	species	date
1	2004	TRUE	GroenDen	2004
1	2015	FALSE	-	2015-07-13
2	2004	TRUE	RanunFlu	2004
2	2013	TRUE	RanunFlu	2013
2	2015	TRUE	RanunFlu	2015-05-02
2	2017	TRUE	RanunFlu	2017-08-14
2	2018	TRUE	RanunFlu	2018
2	2019	TRUE	RanunFlu	2019
3	2005	TRUE	FontiAnt	2005
4	2002	TRUE	CalliHam	2002-08-08
4	2005	FALSE	-	2005
5	2004	TRUE	RanunFlu	2004
6	2004	FALSE	-	2004
6	2011	FALSE	-	2011-09-30
7	2004	FALSE	-	2004
7	2009	FALSE	-	2009-09-17
8	1990	FALSE	-	1990-05
8	2004	TRUE	FontiAnt,GroenDen	2004
9	2004	FALSE	-	2004
9	2004	FALSE	-	2004-08
10	2004	FALSE	-	2004
11	2006	FALSE	-	2006-07
12	2002	FALSE	-	2002
12	2006	FALSE	-	2006-07
13	2002	FALSE	-	2002
14	2002	FALSE	-	2002
14	2012	FALSE	-	2012-07-10
15	2008	FALSE	-	2008-07-02
16	2008	TRUE	LuronNat	2008-07-02
16	2009	TRUE	LuronNat,CalliHam,PotamPol	2009-06-09
16	2015	TRUE	LuronNat	2015
17	2002	FALSE	-	2002
18	2002	FALSE	-	2002
19	2002	FALSE	-	2002
20	2002	TRUE	CalliHam	2002-07-24
20	2005	FALSE	-	2005
21	2002	TRUE	CalliHam	2002-09-06
21	2005	FALSE	-	2005
21	2013	FALSE	-	2013-08-21
21	2017	FALSE	-	2017-07-17
22	2005	TRUE	PotamPol	2005
23	2005	TRUE	PotamPus	2005
24	2005	TRUE	CalliHam	2005
25	2005	TRUE	CalliHam	2005
26	2005	TRUE	RanunPel	2005
26	2009	FALSE	-	2009-08-21
27	2006	TRUE	CalliHam	2006-08-09
27	2011	FALSE	-	2011-06-01
27	2014	FALSE	-	2014-07-23
27	2017	FALSE	-	2017-06-30
28	2006	TRUE	CalliHam	2006-08-21
29	2006	TRUE	CalliHam	2006-08-21
29	2017	TRUE	CalliHam	2017-07-17
30	2006	TRUE	CalliHam	2006-08-22
31	2006	TRUE	CalliHam	2006-08-22
32	2009	FALSE	-	2009-09-09
33	2002	FALSE	-	2002
34	2002	FALSE	-	2002
34	2009	FALSE	-	2009-09-09
35	2002	FALSE	-	2002
36	2006	TRUE	CalliHam	2006-08-22
37	2006	FALSE	-	2006-08
38	2006	TRUE	CalliHam,PotamPol	2006-08-31
38	2013	TRUE	PotamPol	2013-06-11
39	1989	FALSE	-	1989-08
39	2002	TRUE	CalliHam	2002-08-22
39	2006	TRUE	PotamPol	2006-08-31
40	2002	TRUE	CalliHam,PotamPol	2002
