CODEPLAS	index_0m	index_50m	index_100m	index_150m	index_200m
ANTANT0001	2.342557252	2.260714286	2.242120344	2.267815192	2.235
ANTANT0002	2.855218855	3.676211454	3.644975288	3.709059233	3.272138229
ANTANT0003	2.615942029	3.243362832	3.070866142	3.3125	3.004307251
ANTANT0004	2.73480663	3.084848485	3.046938776	3.134674923	2.820049813
ANTANT0005	2.639423077	3.100558659	3.131679389	2.995583906	2.654925373
ANTANT0006	2	2	2.009569378	2.211382114	2.315825375
ANTANT0007	2.786821705	3.103571429	3.104118993	3.161434978	2.783909574
ANTANT0008	3.5	4.211111111	4.088757396	3.983739837	3.813846154
ANTANT0009	3.465116279	3.556701031	3.97008547	3.831800263	3.494356659
ANTANT0010	2.047955975	2	2.070408825	2.155695704	2.229956663
ANTANT0011	2.17768595	3.0825	3.305206463	3.441479401	3.217941346
ANTANT0012	2.698412698	2.992907801	3.042334096	2.98989899	2.690159574
ANTANT0013	2.800480769	3.063535912	3.077071291	2.943952802	2.638872226
ANTANT0014	2.524271845	3.18258427	3.287790698	3.398507463	3.035024155
ANTANT0015	2.802721088	3.256834532	3.245156483	3.252015173	3.085667216
ANTANT0016	2.884615385	3.275	3.230215827	3.188899254	2.931113662
ANTANT0017	2.788389513	2.963414634	2.74340949	2.621783088	2.47245883
ANTANT0018	2.826333712	3.560157791	3.974913495	4.073114418	3.885308385
ANTANT0019	2.782273603	3.507739938	3.494891443	3.515097052	3.296347665
ANTANT0020	2.725	3.159722222	3.138888889	3.090460526	2.901960784
ANTANT0021	2.734693878	3.14380531	3.264026403	3.348511384	3.102829162
ANTANT0022	2.697154472	3.045918367	2.906998158	2.886666667	2.696365768
ANTANT0023	2.782142857	4.15625	4.095982143	4.15503876	3.828947368
ANTANT0024	2.688405797	3.332072617	3.824295011	4.046308725	4.127672761
ANTANT0025	2.776315789	3.12716763	3.171	3.060544904	2.70746634
ANTANT0026	2.717105263	3.556521739	3.848445596	3.992656059	3.787900356
ANTANT0027	2.816666667	3.486338798	3.475903614	3.387297039	3.248539909
ANTANT0028	2.445714286	3.540123457	3.531055901	3.569343066	3.362720403
ANTANT0029	2	2.065693431	3.04434907	3.588395639	3.663708087
ANTANT0030	2.314606742	3.825	3.998730964	4.056432039	3.939050319
ANTANT0031	2.74567474	3.170454545	3.322147651	3.311619718	2.989010989
ANTANT0032	3.5	3.578431373	3.640883978	3.782496782	3.561897702
ANTANT0033	3.5	3.889534884	3.987804878	3.930536451	3.686137072
ANTANT0034	2.845794393	3.432835821	3.646778043	3.833914053	3.394250513
ANTANT0035	2.572815534	2.76171875	2.740430622	2.734192037	2.605498282
ANTANT0036	2.483870968	3.973684211	4.401162791	4.382	4.279299848
ANTANT0037	2.405594406	3.332129964	3.629787234	3.684149184	3.554567901
ANTANT0038	2.926035503	3.234375	3.22851153	3.143007361	2.79040404
ANTANT0039	1.242937853	1.706790123	1.926195426	1.953354298	1.943813131
ANTANT0040	2.679133858	3.391156463	3.431972789	3.522985244	3.268651093
ANTANT0041	2.869565217	3.484693878	3.629213483	3.674054759	3.647191011
ANTANT0042	2	2.057142857	2.435079727	2.878076063	2.922207447
ANTANT0043	2.831896552	3.086387435	3.100909091	3.107040913	2.768648019
ANTANT0044	2.748898678	2.992146597	2.828096118	2.867435159	2.709507042
ANTANT0046	2.454545455	2.617424242	2.928152493	3.208961142	3.160982949
ANTANT0047	2.511560694	3.045454545	3.375776398	3.419354839	3.469298246
ANTANT0048	2.650735294	2.693779904	2.735865724	2.764029439	2.68611898
ANTANT0049	2.5625	3.113372093	3.164328657	3.073170732	2.664014688
ANTANT0050	3.047619048	4.198863636	4.007507508	4.010943912	3.821567106
ANTANT0051	2.782608696	3.755102041	4.11898017	4.073394495	3.824324324
ANTANT0052	3	3.60989011	3.756060606	3.826585695	3.742133538
ANTANT0053	2.823353293	3.225	3.211458333	3.163865546	2.798730159
ANTANT0054	3	3.641304348	3.849854227	4.062416999	3.843939394
ANTANT0055	2.741596639	3.201530612	3.194852941	3.158143939	2.855400697
ANTANT0056	3.142857143	3.933333333	4.361356932	4.380187416	4.228593272
ANTANT0057	2.566945607	3.135204082	3.153916211	2.957587182	2.589803013
