CODEPLAS	index_0m	index_50m	index_100m	index_150m	index_200m
ANTANT0059	2.756544503	3.127906977	3.156626506	3.158054711	2.788473329
ANTANT0060	2.849802372	4.12745098	4.029516995	3.878604651	3.500285878
ANTANT0061	2.653225806	3.1	3.31300813	3.514575412	3.48313783
ANTANT0062	2.669811321	4.475961538	4.514986376	4.336489899	4.103372434
ANTANT0063	3.131578947	3.88372093	4.057228916	4.046321526	3.803557618
ANTANT0064	2.585858586	3.712	3.660933661	3.682033097	3.34885337
ANTANT0065	2.538834951	3.035519126	3.035783366	2.91039604	2.723992784
ANTANT0066	2.932	3.490234375	3.623318386	3.662074554	3.342710997
ANTANT0067	2.502512563	3.68	3.953465347	4.085513078	4.007936508
ANTANT0068	2.372013652	2.978201635	3.03461975	2.953286082	2.846638655
ANTANT0069	2.613488372	3.273455378	3.539126016	3.716785291	3.624163715
ANTANT0070	2.761261261	3.466101695	3.497611465	3.464560205	3.121470432
ANTANT0071	2.644230769	3.042207792	2.957883369	2.872317597	2.681233933
ANTANT0072	2.640625	3.720183486	4.062666667	4.011845387	3.762490949
ANTANT0073	2.69924812	3.034722222	3.107223476	3.007190265	2.78968254
ANTANT0074	2.64	3.073825503	3.090809628	2.999460043	2.693050193
ANTANT0075	2.579591837	3.164102564	3.325454545	3.460600375	3.163583815
ANTANT0076	2.676470588	3.266129032	3.183962264	3.106134372	2.835014837
ANTANT0077	2.57410796	3.120068611	3.135294118	3.169156627	2.984753066
ANTANT0078	2.649805447	3.485294118	3.649293286	3.834409594	3.515616127
ANTANT0079	2	2.854014599	3.35334873	3.377689694	3.203903096
ANTANT0080	2.559405941	3.06	2.909535452	2.88620283	2.628808864
ANTANT0081	2.783783784	3.132978723	3.326086957	3.325596817	3.189825361
ANTANT0082	2.585365854	3.332298137	3.430962343	3.508891213	3.263853904
ANTANT0083	2.649171271	2.713017751	2.653144016	2.661372951	2.719428926
ANTANT0084	2.212341198	2.766975309	3.306982872	3.37749815	3.226666667
ANTANT0085	2.889830508	2.88317757	2.97027027	3.158027813	2.890430972
ANTANT0086	2	2	2	2.09921671	2.19058296
ANTANT0087	2.676339286	2.70855615	2.736988848	2.742277992	2.546635183
ANTANT0088	3.045454545	3.847457627	3.992268041	4.129426129	4.042643923
ANTANT0089	2.780193237	3.170391061	3.157389635	3.22767419	2.978404319
ANTANT0090	2.36905461	3.536464088	3.650977366	3.590663703	3.288410302
ANTANT0091	2.686956522	3.498023715	3.930428135	4.027891715	3.796697626
ANTANT0092	2.752777778	3.222672065	3.17751938	3.125313283	2.802313354
ANTANT0093	2.702216066	3.757874016	3.992307692	4.042394015	3.922431866
ANTANT0094	2.69527897	3.343589744	3.402014652	3.450850662	3.216937355
ANTANT0095	3.12962963	3.1875	3.525885559	3.477763659	3.471104609
ANTANT0096	2.680751174	3.139204545	3.154368932	3.120059289	2.789885611
ANTANT0097	2.633333333	3.920560748	3.762096774	3.875158428	3.746696035
ANTANT0098	2.405660377	3.122641509	3.716438356	3.982714469	3.985196151
ANTANT0099	2.609042553	3.17251462	3.600202429	4.051124744	3.989447548
ANTANT0100	2.64738806	3.71728972	3.630360206	3.524368231	3.25083612
ANTANT0101	2.868613139	3.911347518	4.071590909	4.174182638	3.778295606
ANTANT0102	2.742009132	3.535326087	3.710831721	3.708374384	3.289820359
ANTANT0103	2.605769231	3.182320442	3.338461538	3.457100592	3.13576555
ANTANT0104	3.490196078	3.975728155	3.698895028	3.496786632	3.195410807
ANTANT0105	2.54784689	3.077348066	3.120656371	3.154035433	2.77531456
ANTANT0106	3	3.177083333	3.630813953	3.944074567	3.91163142
ANTANT0107	2.731092437	3.143382353	3.260514019	3.404462243	3.107889413
ANTANT0108	3.368421053	3.56547619	4.111445783	4.058743169	3.791311094
ANTANT0109	2.507936508	2.889285714	3.107798165	3.105736783	2.776666667
ANTANT0110	2.72361809	2.991428571	2.905940594	2.856425703	2.625837904
ANTANT0111	2.767361111	3.15	3.013129103	2.916756757	2.624677003
ANTANT0112	2.772093023	3.14516129	3.317490494	3.26436222	2.99761194
ANTANT0113	2.588461538	3.325925926	3.384074941	3.687428571	3.801753203
ANTANT0114	2.591503268	3.083870968	3.143939394	3.083599574	2.791159513
ANTANT0115	3.652542373	3.895522388	3.029481132	3.03604119	2.898442789
ANTANT0116	2.708609272	2.878378378	2.981400438	2.995675676	2.798962387
ANTANT0117	2.340517241	2.576388889	2.642290249	2.78002569	2.673400673
ANTANT0118	3.5	3.655913978	3.918604651	3.908788282	3.785551331
ANTANT0119	3.423076923	3.605263158	3.944126074	4.042989418	3.779712339
ANTANT0120	2.564198895	3.212044534	3.024014156	2.928125	2.789278004
ANTANT0121	2	2.178205128	2.309931507	2.312138728	2.208513993
ANTANT0122	2.51183432	3.522088353	3.622713415	3.60801964	3.290355854
ANTANT0123	2.61627907	2.830578512	2.71039604	2.713261649	2.584561404
ANTANT0124	2.661137441	2.729508197	2.671755725	2.687071499	2.530149254
ANTANT0125	2	1.914285714	1.964285714	1.965250965	1.946706144
ANTANT0126	2.303030303	4.010752688	4.297687861	4.523364486	4.469961977
ANTANT0127	2.756097561	3.784210526	4.09375	4.231372549	4.003748126
ANTANT0128	2.569620253	2.977707006	3.075692964	3	2.722328855
ANTANT0129	2.74392936	3.115555556	3.094227504	3.09638009	3.089527027
ANTANT0130	2.576335878	3.15	3.148401826	3.180245536	2.778807947
ANTANT0131	3.008379888	3.603658537	3.527835052	3.450939457	3.059045226
ANTANT0132	3.447368421	3.939130435	4.023498695	4.034567901	3.745519713
ANTANT0133	3.5	3.20212766	3.574712644	3.671523179	3.555135952
ANTANT0134	2.742937853	3.193939394	3.130122951	3.14389234	2.766209476
ANTANT0135	2.740573152	3.421836228	3.296663191	3.230699638	3.050975707
ANTANT0136	2.847826087	4.141414141	4.492877493	4.360784314	4.044977511
ANTANT0137	2.810661765	3.563679245	3.65042735	3.543654365	3.203465623
ANTANT0138	2.515463918	3.073643411	3.025798526	2.980997625	2.706045865
ANTANT0139	3.283333333	4.065217391	3.691520468	3.577540107	3.394495413
ANTANT0140	2.511851852	3.103703704	3.141039236	3.191339066	3.354851807
ANTANT0141	2.759656652	2.939790576	2.812037037	3.029580153	2.892982456
ANTANT0142	2	3.332826748	3.467603912	3.55976776	3.580716497
ANTANT0143	2.781609195	3.110576923	3	2.914155251	2.62259887
ANTANT0144	2.867088608	3.503164557	3.493603412	3.497856377	3.248554913
ANTANT0145	2.09214355	2.99916388	3.025641026	3.093961244	2.976322263
ANTANT0146	2.702531646	4.086363636	3.939473684	3.832509271	3.360632184
ANTANT0147	2.796428571	2.983108108	3.031042129	2.952250274	2.679453836
ANTANT0148	2.945652174	3.891089109	4.276536313	4.242227979	3.790298507
ANTANT0149	2.507936508	3.216346154	3.378746594	3.882465057	3.888399413
ANTANT0150	2.157894737	3.891509434	3.769754768	3.73286802	3.520879121
ANTANT0151	2	2.140540541	2.770754717	2.930029155	2.817210682
ANTANT0152	2.692307692	2.719444444	3.004816956	3.034023669	2.913305238
ANTANT0153	3.875	3.925531915	4.20494186	4.235294118	4.128614916
ANTANT0154	2	2	2	2.079090909	2.102362205
ANTANT0155	2.221498371	3.728110599	3.577512777	3.482014388	3.163231198
ANTANT0156	3.061643836	3.905405405	4.260582011	4.343088418	4.143578644
ANTANT0157	3.347222222	4.076086957	4.095100865	3.962864721	3.657814871
ANTANT0158	2.84375	3.791666667	4.016331658	4.007317073	3.937632884
ANTANT0159	2.783018868	3.17961165	3.162987013	3.109693878	2.805060918
ANTANT0160	3.25	4.135294118	4.037650602	4.014423077	3.814007782
ANTANT0161	2.531782946	2.937823834	2.989130435	3.150527623	3.003246753
ANTANT0162	2.615384615	3.21761658	3.283210332	3.402671756	3.115116279
ANTANT0163	2.175438596	4.052380952	4.11548913	4.100636943	3.763716167
ANTANT0164	2	2.703571429	3.278801843	3.435028249	2.865281501
ANTANT0165	2.976190476	3.836206897	3.86503856	3.797820823	3.310466761
ANTANT0166	2.646456693	2.790488432	2.810148233	2.848344371	2.757155247
ANTANT0168	3.155172414	3.177777778	4.053254438	4.095013477	3.831029186
ANTANT0169	3.805555556	3.707446809	4.090116279	4.258964143	3.987860395
ANTANT0170	2.786885246	3.130841121	2.926829268	2.886708861	2.634039445
ANTANT0171	2.613505747	3.481617647	3.483976993	3.394051131	3.100298904
ANTANT0172	2.607119741	3.378359264	3.613394755	3.770048737	3.723058029
ANTANT0173	3.134308511	3.333333333	3.251148545	3.269039735	3.12357217
ANTANT0176	3.199300699	3.42384106	3.285242291	3.263358779	3.105263158
ANTANT0177	2.758888889	3.553691275	3.339838493	3.245192308	3.055319149
ANTANT0178	2.665048544	3.277456647	3.51980198	3.548891129	3.499389499
ANTANT0179	3.593023256	3.494791667	3.41260745	3.338562092	2.876033058
ANTANT0181	5	3.787128713	3.638268156	3.566623545	3.48622487
ANTANT0188	2.565	2.50862069	2.336914063	2.2915	2.092401216
ANTANT0190	2.179487179	1.891025641	1.906183369	2.045842217	2.08381318
ANTANT0208	2.536423841	3.297297297	3.337362637	3.284858388	2.420299284
ANTANT0209	2.529850746	3.736842105	3.961538462	3.935278031	3.562323745
ANTANT0210	3.454749104	3.929336188	4.064853556	4.052271313	3.67384106
ANTANT0211	2.833333333	4.014705882	3.898876404	3.931258106	3.478454681
ANTANT0212	2.432909605	2.945652174	3.0296875	2.989820359	2.762243286
ANTANT0213	2.879157428	3.168699187	2.808477237	2.618311037	2.398630858
ANTANT0214	2.846153846	3.30141844	3.482915718	3.517977528	3.030666667
ANTANT0216	3.294520548	3.574561404	3.85492228	3.862576687	3.614010007
ANTANT0218	2.583333333	3.253333333	3.625	3.811956522	3.2417154
ANTANT0219	2.5925	3.672316384	3.732421875	3.632367632	2.990909091
ANTANT0220	2.561290323	3.412903226	3.267241379	3.078862661	2.42169448
ANTANT0221	2.440909091	3.33203125	3.528846154	3.492415403	3.350034317
ANTANT0222	2.027700831	3.085603113	3.316890882	3.210080645	2.771894094
ANTANT0223	2.780068729	2.964788732	2.781277728	2.901471361	2.768796329
ANTANT0224	2.797360248	3.278317152	3.351877608	3.439969016	3.208250497
ANTANT0225	2.691780822	3.510638298	3.739171375	3.686531008	3.081113085
ANTANT0226	2.628930818	2.664473684	2.423076923	2.471153846	2.46896993
ANTANT0227	3.253968254	3.840909091	3.925333333	3.957393484	3.636165577
ANTANT0228	3.422222222	3.852040816	3.870111732	3.885214008	3.603281133
ANTANT0229	3.441860465	3.317708333	3.508522727	3.511764706	3.227819549
ANTANT0230	3.032967033	3.52994012	3.899383984	4.083937824	3.7448534
ANTANT0231	2	2.159090909	2.103515625	2.179920477	2.07358263
ANTANT0232	2.273006135	2.765822785	2.979830149	3.016384778	2.905456853
ANTANT0234	2	2.295902883	2.418817935	2.530184805	2.615449438
ANTANT0235	2.755905512	3.678861789	3.802469136	3.839498807	3.633379888
ANTANT0236	2.424242424	3.900900901	3.901333333	3.6875	3.500724638
ANTANT0237	2.663865546	3.297101449	3.505773672	3.822963801	3.63557047
ANTANT0238	2.675612602	3.212450593	3.136950904	3.04951996	2.689806976
ANTANT0239	2.830495356	3.028822055	3.021008403	3.044417767	2.795499408
ANTANT0240	2.518324607	3.160714286	3.138319672	3.131958763	2.927815806
ANTANT0241	2.515463918	3.642857143	3.888888889	3.853117506	3.447645819
ANTANT0242	2.046280992	2.957070707	3.005789474	2.925847458	2.625547155
ANTANT0243	2	2.322115385	2.646978022	2.932258065	3
ANTANT0244	2.683060109	3.680124224	3.53131524	3.666145833	3.352351097
ANTANT0245	2.848948375	3.779239766	3.313842482	3.213712375	2.748484848
ANTANT0246	3.07751938	3.620689655	3.82712766	3.921787709	3.721967963
ANTANT0247	2.744680851	3.089861751	2.983164983	3.139679715	2.980143409
ANTANT0248	3.275	3.395833333	3.627142857	3.851245085	3.685199098
ANTANT0249	2.708108108	3.116959064	3.135728543	3.123987854	2.3099631
ANTANT0250	3.952380952	3.808411215	4.005405405	4.095057034	3.834064327
ANTANT0251	2.436936937	2.923664122	3.213776722	3.520665901	3.31861413
ANTANT0252	2.619680851	3.530120482	3.570552147	3.537422037	3.039399625
ANTANT0253	3.030434783	3.354700855	3.691320293	3.749125262	3.530296128
ANTANT0254	3.592765748	3.630903491	3.386352715	3.327291791	3.091596639
ANTANT0255	2.681588903	3.148958333	3.14048474	3.070073762	2.91827429
ANTANT0256	3.017964072	2.882231405	3.328926905	3.42726517	3.07784744
ANTANT0257	2	2.397540984	2.767002519	2.917569194	2.944248412
ANTANT0258	2.758333333	3.607476636	3.760810811	3.975316456	3.704678363
ANTANT0259	2.931372549	2.845041322	3.019017433	3.023829787	2.587326944
ANTANT0260	2.697368421	3.615646259	3.785242291	3.82694414	3.632266492
ANTANT0262	2.701492537	3.828828829	3.80952381	3.612781955	3.419681621
ANTANT0263	2.034985423	3.108510638	2.936392915	3.050693241	2.936825054
ANTANT0264	3.276992288	3.571240106	3.424603175	3.450195313	3.413247863
ANTANT0266	2.05306543	2.597740113	2.790061418	3.084240084	2.949752475
ANTANT0267	2	2.072413793	2.87109905	3.024235645	2.97625831
ANTANT0268	2.587837838	3.871710526	3.514038877	3.532795699	3.321979434
ANTANT0269	2.698113208	4.093137255	4.112676056	4.034415584	3.693224125
ANTANT0270	2.103092784	2.707692308	2.731397459	2.875354108	2.48173913
ANTANT0271	2.8125	2.919795222	2.936550152	3.003837472	2.849847095
ANTANT0272	2	2.021621622	2.781904762	3.117302053	3.042362768
ANTANT0273	3.107142857	3.093189964	2.931659693	2.903262519	2.787554691
ANTANT0274	2	2.147368421	2.639310345	2.584087481	2.389635317
ANTANT0275	2.456140351	3.32038835	3.620165746	3.925353925	3.753141168
ANTANT0276	2.703283815	2.944055944	2.741904762	2.737581825	2.695813461
ANTANT0277	2	2.115879828	2.526229508	2.874012291	3.04667765
ANTANT0278	1.936083672	1.825342466	1.913055255	1.954483926	2.059843268
ANTANT0279	2	2	2	1.986754967	2.003782148
ANTANT0280	2.714285714	3.754237288	3.779898219	3.597457627	3.32815808
ANTANT0281	2.448660714	2.225806452	2.576335878	2.782416503	2.708883553
ANTANT0282	2.74137931	2.719047619	3.37568306	3.48343949	3.360499266
ANTANT0283	2.148982188	2.309984318	2.641367005	2.737056704	2.715105437
ANTANT0284	2.634743875	3.349152542	3.741957105	3.922935103	3.856267672
ANTANT0285	2	3.556451613	3.823218997	3.886163982	3.782752121
ANTANT0286	2.194774347	2.222826087	2.357541899	2.427586207	2.40889106
ANTANT0287	2.976744186	3.383333333	3.54625	3.594951923	2.998594519
ANTANT0288	2	2.477272727	2.506666667	2.331446541	2.318313953
ANTANT0289	2.847107438	3.5	3.72037037	3.757662835	3.450439883
ANTANT0290	2	2	2.05907781	2.216876972	2.29925187
ANTANT0291	2.35483871	2.769406393	3.322580645	3.528545941	3.60408614
ANTANT0292	2.90228013	3.195175439	3.247974068	3.194061962	2.748390558
ANTANT0293	2.954110899	3.085227273	3.013432836	3.001619433	2.888774987
ANTANT0294	2	2.308823529	2.752304147	3.041103604	2.85447263
ANTANT0295	2.795918367	3.532258065	3.616336634	3.701298701	3.632199861
ANTANT0296	3.74	4.176136364	3.729970326	3.624661247	3.504608295
ANTANT0297	2.72375	3.043754972	2.891198502	2.742627978	2.621626153
ANTANT0298	3.175	3.403846154	4.038147139	4.167302799	3.73245614
ANTANT0300	1.972067039	2.06092437	2.203525641	2.298126065	2.091151386
ANTANT0301	1.792	2.075539568	2.194638695	2.159887006	2.119652406
ANTANT0302	3.056650246	3.449438202	3.507782101	3.682634731	3.419550698
ANTANT0304	2	3.496183206	3.828915663	3.897331787	3.831399317
ANTANT0305	2	2.174757282	2.369806094	2.635778636	2.696071164
ANTANT0306	2.56996587	3.345238095	3.314260563	3.196114709	3.029612756
ANTANT0307	2.820754717	3.347619048	3.625690608	3.78525641	3.637702504
ANTANT0308	2	3.007692308	3.217068646	3.31166348	3.003519062
ANTANT0309	2.012658228	3.081632653	2.868761553	2.759082218	2.825294118
ANTANT0310	3.330645161	3.660550459	3.361333333	3.584170854	3.231441048
ANTANT0311	2.333333333	4.032258065	3.815406977	3.951807229	3.766055046
ANTANT0312	2.167870036	2.335714286	2.64740566	2.839190981	2.858186506
ANTANT0313	2.735074627	3.358156028	3.358447489	3.296892342	3.018530774
ANTANT0314	2.048245614	2.936567164	3.269689737	3.239837398	3.043626449
ANTANT0315	2	2.422413793	2.426735219	2.610429448	2.624022743
ANTANT0316	2.74137931	3.75	4.434782609	4.256979695	3.858504399
ANTANT0317	2.623188406	2.992857143	2.952764977	2.906214689	2.779627164
ANTANT0318	2	1.922222222	1.784431138	1.950608931	2.161538462
ANTANT0319	2.079470199	2	2.338815789	2.714363439	2.966211826
ANTANT0320	2.321428571	2.263529412	2.245796241	2.370986239	2.416003034
ANTANT0321	2.686567164	3.454954955	3.74197861	3.795483061	3.629360465
ANTANT0322	2.916666667	3.985294118	4.367605634	4.523498695	4.288059701
ANTANT0323	2.163449433	2.450638298	2.532454361	2.481381613	2.327212633
ANTANT0324	2	2	1.991573034	1.912873862	1.837209302
ANTANT0325	3.030674847	4.095238095	4.313747228	4.203056769	4.017578125
ANTANT0326	3.625	4.346774194	4.216911765	4.074468085	3.540653231
ANTANT0328	2.313333333	3.78440367	3.65	3.597758406	3.229661627
ANTANT0329	2.196428571	4.019230769	3.85261708	3.830128205	3.508862629
ANTANT0330	2	2.521186441	2.960420032	3.097053726	3.025889968
ANTANT0331	2.034722222	2.722419929	3.116161616	3.386327504	3.274797571
ANTANT0332	2.617647059	3.391447368	3.644104803	3.748099891	3.523716699
ANTANT0333	3.104166667	4.005813953	4.182370821	4.230506156	3.870038911
ANTANT0336	2.595099338	3.309188275	3.481272295	3.560074319	3.33254865
ANTANT0337	2.744186047	4.214285714	4.234375	4.243119266	3.87012012
ANTANT0338	2.625	3.590425532	3.75	3.737367021	3.632978723
ANTANT0339	2.851421189	3.208163265	3.399366086	3.706881903	3.622269579
ANTANT0341	3.056643357	3.738670695	3.990144547	4.075112108	3.791066282
ANTANT0342	3.83974359	4.276785714	4.427631579	4.424937965	4.293439077
ANTANT0343	2.844262295	3.85	3.744165171	3.742481203	3.391580161
ANTANT0344	5	4.457142857	4.404109589	4.147582697	3.838472834
ANTANT0345	2.923529412	2.928571429	3.001262626	3.016225962	2.916901408
ANTANT0346	2.829145729	3.714776632	3.85982659	3.962248996	3.830265849
ANTANT0348	3.196202532	3.716101695	3.68494898	3.669914738	3.513475177
ANTANT0349	3.105263158	3.322916667	3.638176638	3.878112713	3.759789157
ANTANT0350	4.5	4.17578125	4.190023753	4.137990762	3.541496599
ANTANT0351	2.397701794	2.524201854	2.712715105	2.832641565	2.654197839
ANTANT0352	1.989912576	2.185960591	2.24860179	2.321575342	2.152598951
ANTANT0353	2	3.708571429	3.947895792	3.967611336	3.635806254
ANTANT0354	3.470588235	4.477477477	4.265789474	3.975776398	3.444964871
ANTANT0355	3.78245614	3.763636364	3.678033658	3.682080925	3.278386983
ANTANT0358	2	2.038961039	2.504255319	3.007961783	3.070835992
ANTANT0359	2.313320826	3.447761194	3.159975669	2.880627558	2.485865724
ANTANT0360	2	2.184659091	2.555664063	2.749246231	2.581253804
ANTANT0361	3.492464205	3.160839161	3.180458307	3.178806664	2.785943346
ANTANT0362	2	2	2.021008403	2.124341412	2.063411541
ANTANT0363	2	2.030534351	2.212410501	2.579466357	2.532147743
ANTANT0364	2.080060423	2.45308642	2.628378378	2.784097677	2.357787368
ANTANT0365	2	2	2	2.098239637	2.107263831
ANTANT0366	2.023809524	2.190140845	2.189655172	2.213963964	2.066979236
ANTANT0367	2.127407407	2.70049505	2.91954023	2.946535245	2.531655525
ANTANT0368	2.069214635	2.728725799	2.898196436	3.02261938	2.693245302
ANTANT0369	3.023697215	2.759339705	2.673364191	2.820730383	2.507701422
ANTANT0370	2.620192308	3.732300885	3.831658291	3.857716325	3.72978959
ANTANT0371	1.872238232	3.127533784	3.66741573	3.963725929	4.12006079
ANTANT0372	3.263555556	3.460854093	3.633928571	3.733252427	3.648312029
ANTANT0373	2	1.981651376	1.877984085	1.99127182	2.064399421
ANTANT0374	2	2	2.11884058	2.211819389	2.198027314
ANTANT0375	2	2	2	2.009664948	2.034023669
ANTANT0376	2.526287554	2.950184502	2.97743755	3.020982356	2.725515464
ANTANT0377	2.042553191	3.586666667	3.690687361	3.797579758	3.692206942
ANTANT0378	3.054744526	3.685810811	3.665178571	3.623762376	3.330502939
ANTANT0379	2.047619048	3.143968872	3.080209895	2.935365854	2.792820513
ANTANT0380	2.098290598	2.573684211	2.934944238	3.051245211	2.859494415
ANTANT0381	2	2.012048193	2.168367347	2.280020704	2.246575342
ANTANT0382	1.77398374	2.128989362	2.267759563	2.346081505	2.334290402
ANTANT0383	2.304810361	2.051401869	2.036310518	2.154116466	2.225948509
ANTANT0384	2	2.030712531	2.31407563	2.344525106	2.289118348
ANTANT0385	2	2	2	2.005	2.002624672
ANTANT0386	3.152777778	3.456989247	3.275714286	3.323218997	3.292830189
ANTANT0387	2	2.467532468	2.884698276	3.250802139	3.326726343
ANTANT0388	2.955555556	2.979381443	3.200284091	3.629095675	3.489872468
ANTANT0389	3.5	3.469827586	3.462628866	3.488414634	3.14822695
ANTANT0390	3.5	3.227678571	3.200787402	3.163366337	2.771778258
ANTANT0391	3.485148515	3.197674419	3.020935961	3.008215962	2.73582296
ANTANT0392	2.399653979	3.311659193	3.589225589	3.752240143	3.49889258
ANTANT0393	2.172932331	3.275773196	3.447565543	3.580234834	3.234029851
ANTANT0394	2.386317907	3.232594937	3.411917098	3.492120344	3.130133826
ANTANT0395	3.261363636	3.368686869	3.417613636	3.355731225	2.858638743
ANTANT0396	2.657587549	3.367346939	3.336363636	3.309366131	2.881425234
ANTANT0397	3.5	3.420765027	3.525145068	3.481018981	3.108682453
ANTANT0398	3.221264368	3.63030303	3.631416838	3.530271399	3.148148148
ANTANT0399	3.380434783	3.955	3.682072829	3.544213264	3.206870799
ANTANT0400	3.460714286	3.401360544	3.472035794	3.613134658	3.185817466
ANTANT0401	3.5	3.447761194	3.543325527	3.579726651	3.265498652
ANTANT0402	3.661870504	3.739726027	3.613333333	3.609769484	3.229207597
ANTANT0403	4.050458716	3.773076923	3.581145585	3.535962877	3.096994536
ANTANT0404	2	2.227272727	2.37875	2.495209581	2.316596932
ANTANT0405	3.648648649	3.852631579	3.981213873	4.027667984	3.788519637
ANTANT0406	3.348484848	3.847368421	4.074127907	4.05740988	3.651975684
ANTANT0407	3.25	3.688172043	3.875	3.953333333	3.834980989
ANTANT0408	3.131578947	3.75	3.991044776	3.945725916	3.754250386
ANTANT0410	1.961397059	2.001457726	1.992949471	1.986037234	1.973206569
ANTANT0411	3.362903226	2.860465116	2.534136546	2.392097264	2.251688152
ANTANT0412	2.59375	2.616915423	2.636851521	2.55571161	2.354321694
ANTANT0413	2.425675676	3.103723404	3.003752345	2.781642512	2.430851064
ANTANT0414	3.659574468	2.242424242	2.577247191	2.655483871	2.570684524
ANTANT0416	2	2.087719298	2.347133758	2.529429612	2.502989239
ANTANT0417	2	2	2.052560647	2.060529634	2.021090909
ANTANT0418	2	2.013636364	2.039267016	2.055970149	2.018799711
ANTANT0419	3	3.112745098	2.852209945	2.753205128	2.589497041
ANTANT0420	3.088709677	3.624183007	3.791553134	3.876417234	3.664400194
ANTANT0421	3.5	3.547297297	3.537610619	3.49780461	3.150390625
ANTANT0422	3.5	3.5625	3.502604167	3.45135468	2.98782235
ANTANT0423	3.5	3.465189873	3.355932203	3.405561385	2.916030534
