point_id	unit_id	releve_code	period	date	lab_code	dist_to_source	Kalktuf	Schaduw	pH_veld	pH_labo	EC_veld_25grC	EC_labo_25grC	Buffercapaciteit_TAP	Buffercapaciteit_TAM	HCO3	CO3	OH	SO4	Cl	Ca	K	Mg	Na	Mn	Al	Fe	PO4_P	NO2_N	NO3_N	NH4_N	loq_PO4_P	loq_NO3_N
1	1	Steenputbeek 2	Lente	15083	B_11_0383	B	4	5	NA	7.93	728	793.8	0.005	6.067	370.087	0.5	0.5	68.51801436	34.28853631	148.5847248	0.955624312	12.48904889	13.23084489	NA	NA	0.05	0.0326157864261688	0.0304414	3.97074132670927	0.038825905	0.0652315728523377	0.0451793620804558
2	1	Steenputbeek 1	Lente	15083	B_11_0382	C	3	5	NA	8.1	722	713.2	0.005	5.485	334.585	0.5	0.5	77.83322803	25.13608529	132.400987	0.963107654	10.05512047	12.32609509	NA	NA	0.05	0.0326157864261688	0.0304414	2.36197593815392	0.038825905	0.0652315728523377	0.0451793620804558
2	1	Steenputbeek 1	Zomer	15223	B_11_1061	C	3	5	8.13	8.1	723	721.2	0.005	5.636	343.796	0.5	0.5	79.04304762	23.86176143	131.2391071	1.457364341	11.44072099	11.79993703	NA	NA	0.05	0.0163078932130844	0.0152207	0.933855362608189	0.177043575	0.0326157864261688	0.0225896810402279
2	1	Steenputbeek 1	Najaar	15295	B_11_1775	C	3	5	8.08	8.13	694	683	0.005	5.316	324.276	0.5	0.5	78.79892683	22.3587481	136.9662469	1.107187113	9.333428625	11.48806898	0.05	0.05	0.05	0.0359019965106948	0.0152207	1.95217163108698	0.038825905	0.0326157864261688	0.0225896810402279
8	3	Krindaal 1	Lente	15083	B_11_0400	B	4	5	8.06	8.14	651	658.9	0.005	5.204	317.444	0.5	0.5	42.67183405	22.30395559	133.8999519	1.890756037	2.4446487	7.113951327	NA	NA	0.05	0.0326157864261688	0.0304414	6.79531686967737	0.038825905	0.0652315728523377	0.0451793620804558
8	3	Krindaal 1	Zomer	15223	B_11_1048	A	3	5	7.1	7.3	687	691.3	0.005	5.421	330.681	0.5	0.5	45.91352381	22.66770372	136.1308036	2.140429338	2.738307692	6.967840597	NA	NA	0.05	0.0163078932130844	0.0152207	5.26753548765124	0.158618803	0.0326157864261688	0.0225896810402279
8	3	Krindaal 1	Najaar	15294	B_11_1781	A	3	5	7.95	8.04	717	716.1	0.005	5.739	350.079	0.5	0.5	51.45434146	24.95178867	160.0915869	4.080049566	2.885875597	7.380689793	0.05	0.05	0.05	0.0163078932130844	0.0152207	6.88194926782293	0.038825905	0.0326157864261688	0.0225896810402279
9	4	Bilande 1	Zomer	15223	B_11_1044	A	3	4	7.1	7.06	663	603.3	0.005	4.172	254.492	0.5	0.5	43.20380952	21.6743149	92.45178571	1.292784735	13.16327053	15.09000135	NA	NA	0.05	0.0163078932130844	0.0152207	8.65712380072922	0.20452135	0.0326157864261688	0.0225896810402279
16	8	Feelbos 1	Lente	15083	B_11_0377	A	4	4	NA	8	871	860.1	0.005	5.692	347.212	0.5	0.5	78.91024221	43.11714738	157.5247224	2.712103095	9.968252912	17.8137081	NA	NA	0.05	0.0326157864261688	0.0304414	11.9011118720556	0.038825905	0.0652315728523377	0.0451793620804558
16	8	Feelbos 2	Lente	15083	B_11_0404	B	5	4	NA	8.26	827	814.2	0.005	5.024	306.464	0.5	0.5	85.75092582	43.88902956	144.7906333	3.53045157	9.964143207	17.55659038	NA	NA	0.05	0.0326157864261688	0.0304414	12.2265774477346	0.038825905	0.0652315728523377	0.0451793620804558
