loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
NA	ANTBAL0594	1.612299465	3.136363636	3.879310345	3.300333704	3.466914498
AN_BAS_001	ANTBAL0595	2.670182841	3.640625	3.696480938	3.649417853	3.261107314
AN_MOS_001	ANTBAL0711	1.81443299	3.744897959	3.634441088	2.465462274	1.349500713
AN_BAS_003	ANTBAL0715	1	2.612121212	3.324519231	1.353928299	1.057005495
AN_GSV_007	ANTBCT0028	2.251828631	4.260638298	3.954545455	2.116192831	1.138224349
AN_GSV_006	ANTBCT0231	2.215320911	3.840206186	2.848699764	1.48318872	2.55174453
AN_GSV_004	ANTBCT0252	1.842657343	3.662921348	2.58566108	3.76034713	2.54811119
ANTBCT0400	ANTBCT0400	2.290035587	1.950867052	1.819809069	3.94312026	1.479576399
AN_GSV_002	ANTBCT0404	2.416777188	1.437751004	3.804054054	1.43046875	3.509118541
AN_GSV_003	ANTBCT0458	2.028846154	1.440366972	2.961928934	3.308344198	1.332411887
AN_GSV_005	ANTBCT0464	1.836111111	2	2.359078591	1.040369089	1.57396789
AN_KOO_002	ANTBCT0528	2.265625	3.699704142	3.116161616	3.780632411	3.242647059
AN_RVS_002	ANTBCT0544	2.16730038	3.437815126	2.40771028	2.3374613	3.779584969
AN_RVS_001	ANTBCT0559	2.385416667	1.936950147	2.122222222	2.066565041	3.493584906
AN_KOO_001	ANTBCT0572	2.13292011	3.223404255	3.829066265	3.38415493	3.01399145
ANTBCT0794	ANTBCT0794	2.056542811	1.84729064	3.36056338	4.059662776	3.446098868
VB_BOO_001	ANTBON0239	2.825129534	3.734756098	4.059392265	3.838461538	3.477760736
AN_GRW_001	ANTBRM0255	2.431111111	3.931818182	2.376712329	2.619180633	2.456866805
AN_KRA_001	ANTBRM0421	2.889506173	3.094674556	3.042923434	2.387908208	2.945323741
AN_E10_001	ANTBRS0068	2.276587605	3.24025974	3.520689655	3.70631068	3.373399716
AN_GSV_001	ANTBRS0121	2.755813953	3.589147287	3.178481013	3.160633484	3.251106894
AN_FOR_001	ANTBRS0178	2.246491228	3.858695652	3.559248555	3.917737789	3.505609574
AN_KSV_006	ANTBRS0179	2.531128405	3.803571429	3.650815217	3.827017115	3.539403213
AN_BLA_004	ANTBSE0061	2.078760163	2.534246575	3.635761589	2.415405165	3.001507159
AN_LIL_004	ANTBSE0132	2.705607477	2.69047619	3.444174757	2.348354232	3.924220963
AN_BEE_004	ANTBSE0159	2.018378378	2.084870849	3.626410835	3.355263158	3.762886598
AN_BEE_005	ANTBSE0159	2.018378378	2.084870849	3.626410835	3.355263158	3.762886598
AN_BEE_003	ANTBSE0161	2	3.514851485	3.392370572	3.159811986	2.553137004
AN_GKH_001	ANTBSE0165	2.145251397	2.807443366	3.210666667	2.259568204	3.582925122
AN_BLA_002	ANTBSE0215	2.350529101	2.096774194	3.319095477	3.667107001	1.856257745
AN_BEE_002	ANTBSE0227	2	2.908045977	3.946808511	2.241525424	3.515854602
AN_BEE_001	ANTBSE0314	2.105714286	2.977195946	2.808370044	3.944596443	3.761939219
AN_BLA_001	ANTBSE0334	2.267645222	3.326923077	3.951754386	3.010391198	3.810441268
AN_GKH_002	ANTBSE0335	2.193473193	3.349740933	3.948	2.84228972	3.702388242
AN_HUF_001	ANTBSE0336	2.2	2.666666667	2.658836689	3.676470588	2.66595654
AN_HUF_002	ANTBSE0336	2.2	2.666666667	2.658836689	3.676470588	2.66595654
AN_BLA_003	ANTBSE0338	2.499714122	3.697841727	3.363896848	3.516733601	3.420694864
AN_DES_003	ANTDES0075	2.152755267	3.033444816	4.06122449	4.105237154	3.958932238
NA	ANTDES0098	2.432266848	3.879699248	4.232923497	2.654852668	3.645669291
NA	ANTDUF0188	2.657151096	3.263157895	3.156424581	3.965517241	2.87797619
AN_DEB_001	ANTESS0009	2.672520661	3.868932039	3.557613169	3.587962963	3.781740371
NA	ANTESS0033	2.665480427	3.71875	3.942010309	3.975452196	3.246753247
AN_NOL_002	ANTESS0062	2.263692308	4.09047619	3.536855037	3.69629156	3.575268817
AN_ZAM_003	ANTGEE0046	3.046511628	1.539215686	3.225593668	3.616860465	2.072599532
AN_ZAM_002	ANTGEE0069	3.081081081	1.64084507	3.380778589	3.992715232	3.408536585
AN_ZEG_001	ANTGEE0105	1.481781377	4	3.726640159	3.148633257	3.338748496
AN_ZEG_002	ANTGEE0107	1.435551811	4.474789916	3.95124283	3.573141487	3.273670558
AN_ZEG_004	ANTGEE0126	2.513043478	3.568181818	3.365424431	2.738839286	3.97866078
AN_ZEG_003	ANTGEE0193	1.740967204	3.009259259	3.001647446	2.618961353	2.48549323
AN_SEL_002	ANTGEE0305	2.222891566	2.68079096	3.375232775	2.610169492	3.263888889
AN_SEL_001	ANTGEE0422	2.604477612	3.081168831	2.763788969	2.801399354	2.604591837
AN_WIL_001	ANTGEE0477	2.260416667	2.309027778	3.022321429	3.236580517	3.750811162
