field_activity,field_activity_group
LOCEVALTERR,LOCEVALTERR
LOCEVALAQ,LOCEVALAQ
GWLEVINST,GWLEVINST
GWLEVINST,GWSURFLEVINST
GWLEVREAD,GWLEVREAD
GWLEVREAD,GWSURFLEVREAD
GWSHALLCLEAN,GWSHALLCLEAN
GWSHALLSAMP,GWSHALLSAMP
SOILUPPERSAMP,SOILUPPERSAMP
SURFLENTSAMP,SURFLENTDATACOLL
SURFLENTSECC,SURFLENTDATACOLL
SURFLENTFIELD,SURFLENTDATACOLL
SURFLOTSAMP,SURFLOTDATACOLL
SURFLOTSECC,SURFLOTDATACOLL
SURFLOTFIELD,SURFLOTDATACOLL
SURFLEVINSTGAUGE,SURFLEVINSTGAUGE
SURFLEVREADGAUGE,SURFLENTDATACOLL
SURFLEVREADGAUGE,SURFLOTDATACOLL
SURFLEVINSTDIVER,GWSURFLEVINST
SURFLEVREADDIVER,GWSURFLEVREAD
SURFLOTSAMPLPOINT,SURFLOTSAMPLPOINT
SURFLENTSAMPLPOINT,SURFLENTSAMPLPOINT
SPATPOSIT,SPATPOSIT
LSVITERR,LSVITERR
LSVIAQ,LSVIAQ
