Waterhuishouding	Druk	Milieudrukkengroep
1	Druk101	b
1	Druk102	c
1	Druk11	a
1	Druk12	c
1	Druk13	b
1	Druk14	d
1	Druk15	a
1	Druk3.1	a
1	Druk3.2	a
1	Druk3.4	c
1	Druk4.1	a
1	Druk8.1	c
1	Druk8.2	c
1	Druk8.4	d
1	Druk9.1	d
1	Druk9.2	d
1	Druk9.3	d
2	Druk101	b
2	Druk102	c
2	Druk103	d
2	Druk11	a
2	Druk12	c
2	Druk13	d
2	Druk14	c
2	Druk15	a
2	Druk3.1	a
2	Druk3.2	b
2	Druk3.3	a
2	Druk3.4	a
2	Druk4.1	c
2	Druk4.2	d
2	Druk4.3	d
2	Druk5.1	a
2	Druk5.2	c
2	Druk61	b
2	Druk62	b
2	Druk63	d
2	Druk64	d
2	Druk65	d
2	Druk66	d
2	Druk7.1	d
2	Druk7.2	d
2	Druk7.3	d
2	Druk7.4	d
2	Druk8.1	c
2	Druk8.2	c
2	Druk8.3	c
2	Druk8.4	c
2	Druk8.5	d
2	Druk9.1	d
2	Druk9.2	d
2	Druk9.3	d
3	Druk101	d
3	Druk102	d
3	Druk103	d
3	Druk11	a
3	Druk12	c
3	Druk13	d
3	Druk14	a
3	Druk15	d
3	Druk3.1	a
3	Druk3.2	b
3	Druk3.3	a
3	Druk3.4	a
3	Druk4.1	b
3	Druk4.2	c
3	Druk4.3	d
3	Druk5.1	a
3	Druk5.2	d
3	Druk61	d
3	Druk62	d
3	Druk63	c
3	Druk64	b
3	Druk65	d
3	Druk66	d
3	Druk7.1	d
3	Druk7.2	d
3	Druk7.3	d
3	Druk7.4	d
3	Druk8.1	d
3	Druk8.2	c
3	Druk8.3	c
3	Druk8.4	b
3	Druk8.5	d
3	Druk9.1	d
3	Druk9.2	d
3	Druk9.3	d
