Typeklasse	Hoofdtype	Vegcode	HoofdLogical	Druk	Milieudruk	EffIndActie	Categorie_voorstel	Rang_voorstel	Rang	Categorie
1	1	1	1	1	1	1	3	9	9	3
1	1	1	1	2	2	1	3	9	9	3
1	1	1	1	3	3	1	2	8	8	2
1	1	1	1	4	4	1	1	3	3	1
1	1	1	1	5	5	1	1	1	1	1
1	1	1	1	6	6	1	NA	NA	NA	4
1	1	1	1	7	7	1	NA	NA	NA	4
1	1	1	1	8	8	1	NA	NA	NA	4
1	1	1	1	12	12	1	2	6	6	2
1	1	1	1	18	18	1	1	4	4	1
1	1	1	1	19	19	1	3	9	9	3
1	1	1	1	20	20	1	1	2	2	1
1	1	1	1	21	21	1	NA	NA	NA	4
1	1	1	1	22	22	1	2	7	7	2
1	1	1	1	23	23	1	NA	NA	NA	4
1	1	1	1	28	28	1	NA	NA	NA	4
1	1	1	1	31	31	1	1	5	5	1
1	1	1	1	32	32	1	3	9	9	3
1	1	1	1	33	33	1	NA	NA	NA	4
1	1	1	1	34	34	1	NA	NA	NA	4
1	1	1	1	35	35	1	NA	NA	NA	4
1	2	2	0	1	1	1	3	9	9	3
1	2	2	0	2	2	1	2	7	7	2
1	2	2	0	4	4	1	1	4	4	1
1	2	2	0	5	5	1	NA	NA	NA	4
1	2	2	0	6	6	1	NA	NA	NA	4
1	2	2	0	7	7	1	3	10	10	3
1	2	2	0	8	8	1	3	9	9	3
1	2	2	0	9	9	1	3	9	9	3
1	2	2	0	10	10	1	3	9	9	3
1	2	2	0	11	11	1	3	10	10	3
1	2	2	0	12	12	1	2	8	8	2
1	2	2	0	14	14	1	NA	NA	NA	4
1	2	2	0	15	15	1	NA	NA	NA	4
1	2	2	0	16	16	1	1	3	3	1
1	2	2	0	17	17	1	2	7	7	2
1	2	2	0	18	18	1	2	6	6	2
1	2	2	0	19	19	1	1	1	1	1
1	2	2	0	24	24	1	1	5	5	1
1	2	2	0	25	25	1	1	2	2	1
1	2	2	0	28	28	1	NA	NA	NA	4
1	2	2	0	29	29	1	3	9	9	3
1	2	2	0	30	30	1	3	9	9	3
1	2	2	0	31	31	1	3	9	9	3
1	2	2	0	32	32	1	NA	NA	NA	5
1	2	2	0	35	35	1	NA	NA	NA	4
1	2	3	0	1	1	1	3	7	7	3
1	2	3	0	2	2	1	3	7	7	3
1	2	3	0	3	3	1	3	7	7	3
1	2	3	0	4	4	1	2	6	6	2
1	2	3	0	5	5	1	1	2	2	1
1	2	3	0	6	6	1	3	7	7	3
