"Name";"Type";"Size";"Attributes";"SourceTable";"SourceField";"CollatingOrder";"AllowZeroLength";"DataUpdatable";"DefaultValue";"OrdinalPosition";"Required";"ValidationRule";"ValidationText";"Caption";"ColumnHidden";"ColumnOrder";"ColumnWidth";"DecimalPlaces";"Description";"Format";"InputMask"
"Effectgroep";10;"255";2;"tbl_Effectgroep";"Effectgroep";1033;-1;0;"";0;0;"";"";;0;0;6252;;"Verkorte naam van de effectgroep (milieudruk) - is PK van de tabel";;
"EffectNr";10;"5";2;"tbl_Effectgroep";"EffectNr";1033;-1;0;"";1;0;"";"";;0;0;1114;;"Nummer van de milieudruk (waar mogelijk overgenomen van officiële lijst ANB ikv PB)";;
"VolledigeNaam";10;"150";2;"tbl_Effectgroep";"VolledigeNaam";1033;-1;0;"";2;0;"";"";;0;0;7788;;"Naam van de milieudruk";;
"Betekenis";12;"0";2;"tbl_Effectgroep";"Betekenis";1033;-1;0;"";3;0;"";"";;0;0;3306;;"Beschrijving van de milieudruk";;
"VolgCde";10;"25";2;"tbl_Effectgroep";"VolgCde";1033;-1;0;"";4;0;"";"";;0;0;-1;;"Code om de milieudrukken te sorteren";;
"Code";10;"15";2;"tbl_Effectgroep";"Code";1033;-1;0;"";5;0;"";"";;0;0;-1;;"Code om -o.a.- in figuren e.d. te gebruiken";;
"Behouden";10;"6";2;"tbl_Effectgroep";"Behouden";1033;-1;0;"";6;0;"";"";;0;0;1866;;"Al dan niet gebruikt? (bv. hoofddrukken worden niet gebruikt als een detailversie bestaat)";;
"ID";4;"4";17;"tbl_Effectgroep_Standplaatsfactor";"ID";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"SpfID";4;"4";1;"tbl_Effectgroep_Standplaatsfactor";"SpfID";1033;0;0;"";1;0;"";"";;0;0;814;255;"ID standplaatsfactor";;
"Compartiment";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Compartiment";1033;-1;0;"";2;0;"";"";;0;0;952;;"Milieucompartiment";;
"WaterhuishoudingGp";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"WaterhuishoudingGp";1033;-1;0;"";3;0;"";"";;0;0;1916;;"Waterhuishoudingsklasse (vereenvoudigde versie met groepering)";;
"Type";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Type";1033;-1;0;"";4;0;"";"";;0;0;1908;;"Type standplaatsfactor";;
"Standplaatsfactor";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Standplaatsfactor";1033;-1;0;"";5;0;"";"";;0;0;4583;;"Naam standplaatsfactor";;
"Score";4;"4";1;"tbl_Effectgroep_Standplaatsfactor";"Score";1033;0;0;"";6;0;"In (-2,-1,0,1,2)";"Toegelaten waarden voor dit veld: -2, -1, 0, 1, 2 of leeg";;0;0;1170;255;"Score voor de relatie tussen milieudruk en standplaatsfactor (toegelaten waarden: -2 of -1 of 0 of 1 of 2 of leeg)";;
