"Name";"Type";"Size";"Attributes";"SourceTable";"SourceField";"CollatingOrder";"AllowZeroLength";"DataUpdatable";"DefaultValue";"OrdinalPosition";"Required";"ValidationRule";"ValidationText";"Caption";"ColumnHidden";"ColumnOrder";"ColumnWidth";"DecimalPlaces";"Description";"Format";"InputMask"
"VertegenwoordigerMNM";4;"4";1;"tbl_Effectgroep_Standplaatsfactor";"VertegenwoordigerMNM";1033;0;0;"";7;0;"";"";;0;0;-1;255;"Hoe typisch is de relatie tussen standplaatsfactor en  druk? (toegelaten waarden: 1 = groot belang - typische vertegenwoordiger van druk of 2 = aanvullend)";;
"Effectgroep";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Effectgroep";1033;-1;0;"";8;0;"";"";;0;0;4796;;"Milieudruk";;
"Actiemechanisme";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Actiemechanisme";1033;-1;0;"";9;0;"";"";;0;0;6536;;"Korte toelichting actiemechanisme van de milieudruk op standplaatsfactor";;
"Onderbouwing";10;"70";2;"tbl_Effectgroep_Standplaatsfactor";"Onderbouwing";1033;-1;0;"";10;0;"In (""Expertkennis of ervaring"",""Matige wetenschappelijke bewijskracht"",""Sterke wetenschappelijke bewijskracht"")";"";;0;0;3318;;"Hoe goed is de relatie milieudruk - standplaatsfactor gekend?";;
"Opmerkingen";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Opmerkingen";1033;-1;0;"";11;0;"";"";;0;0;-1;;"Andere opmerkingen ivm relatie tussen milieudruk en standplaatsfactor";;
"Referentie";10;"255";2;"tbl_Effectgroep_Standplaatsfactor";"Referentie";1033;-1;0;"";12;0;"";"";;0;0;-1;;"Verwijzing naar literatuur";;
"UpdateLaatst";8;"8";1;"tbl_Effectgroep_Standplaatsfactor";"UpdateLaatst";1033;0;0;"";13;0;"";"";;0;0;2191;;"Datum laatste update (indien via formulier)";;
"UpdateDoor";10;"50";2;"tbl_Effectgroep_Standplaatsfactor";"UpdateDoor";1033;-1;0;"";14;0;"";"";;0;0;-1;;"Persoon die de laatste update heeft uitgevoerd (indien via formulier)";;
"Id";4;"4";18;"tbl_Expert_CompartimentSS_Effectgroep";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"Expert";10;"255";2;"tbl_Expert_CompartimentSS_Effectgroep";"Expert";1033;-1;0;"";1;0;"";"";;0;0;2504;;"Naam abiotische expert";;
"Compartiment";10;"50";2;"tbl_Expert_CompartimentSS_Effectgroep";"Compartiment";1033;-1;0;"";2;0;"";"";;0;0;1715;;"Milieucompartiment";;
"Effectgroep";10;"255";2;"tbl_Expert_CompartimentSS_Effectgroep";"Effectgroep";1033;-1;0;"";3;0;"";"";;0;0;-1;;"Milieudruk";;
"Waterhuishouding";10;"50";2;"tbl_Expert_CompartimentSS_Effectgroep";"Waterhuishouding";1033;-1;0;"";4;0;"";"";;0;0;3888;;"Waterhuishoudingsklasse";;
"Id";4;"4";18;"tbl_Expert_Vegetatie";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"Vegcode";10;"255";2;"tbl_Expert_Vegetatie";"Vegcode";1033;-1;0;"";1;0;"";"";;0;0;-1;;"Code van het habitattype of rbb";;
"Expert";10;"255";2;"tbl_Expert_Vegetatie";"Expert";1033;-1;0;"";2;0;"";"";;0;0;2304;;"Naam expert vegetatie";;
"Aanspreekpunt";10;"255";2;"tbl_Expert_Vegetatie";"Aanspreekpunt";1033;-1;0;"";3;0;"";"";;0;0;1753;;"Is deze expert aanspreekpunt voor dit type?";;
"Id";4;"4";17;"tbl_Pnabijheid";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"EffectNr";10;"5";2;"tbl_Pnabijheid";"EffectNr";1033;-1;0;"";1;0;"";"";;0;0;3060;;"Nummer van de milieudruk";;
"Drukcode";10;"255";2;"tbl_Pnabijheid";"Drukcode";1033;-1;0;"";2;0;"";"";;0;0;1224;;"Code van de milieudruk";;
"Compartiment";10;"255";2;"tbl_Pnabijheid";"Compartiment";1033;-1;0;"";3;0;"";"";;0;0;1656;;"Milieucompartiment";;
"WaterhuishoudingGp";10;"255";2;"tbl_Pnabijheid";"WaterhuishoudingGp";1033;-1;0;"";4;0;"";"";;0;0;2844;;"Waterhuishoudingsklasse (vereenvoudigde versie)";;
"Pnabijheid";4;"4";1;"tbl_Pnabijheid";"Pnabijheid";1033;0;0;"";5;0;"";"";;0;0;-1;255;"Plaats in verstoringsketen: 1 (bron - vierkant in pathways) of 2 (rood - donkerblauw in pathways) of 3 (oranje - lichtblauw in pathways) of 0 (nvt)";;
"Id";4;"4";18;"tbl_Standplaatsfactor_Label";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"Compartiment";10;"255";2;"tbl_Standplaatsfactor_Label";"Compartiment";1033;-1;0;"";1;0;"";"";;0;0;2104;;"Milieucompartiment";"@";
"WaterhuishoudingGp";10;"255";2;"tbl_Standplaatsfactor_Label";"WaterhuishoudingGp";1033;-1;0;"";2;0;"";"";;0;0;3060;;"Waterhuishoudingsklasse (vereenvoudige versie)";"@";
"Type";10;"255";2;"tbl_Standplaatsfactor_Label";"Type";1033;-1;0;"";3;0;"";"";;0;0;-1;;"Type standplaatsfactor";"@";
"Standplaatsfactor";10;"255";2;"tbl_Standplaatsfactor_Label";"Standplaatsfactor";1033;-1;0;"";4;0;"";"";;0;0;5745;;"Standplaatsfactor";"@";
"Label";10;"255";2;"tbl_Standplaatsfactor_Label";"Label";1033;-1;0;"";5;0;"";"";;0;0;3055;;"Te gebruiken label";;
"Actief";1;"1";1;"tbl_Standplaatsfactor_Label";"Actief";1033;0;0;"0";6;0;"";"";;0;0;-1;;"Intern: te gebruiken?";"True/False";
"Typeklasse";10;"255";2;"tbl_Vegetatie";"Typeklasse";1033;-1;0;"";0;0;"";"";;0;0;2429;;;;
"Vegcode";10;"255";2;"tbl_Vegetatie";"Vegcode";1033;-1;0;"";1;0;"";"";;0;0;1277;;"Code van het habitat(sub)type of van de rbb";;
"Verkortenaam";10;"255";2;"tbl_Vegetatie";"Verkortenaam";1033;-1;0;"";2;0;"";"";;0;0;2943;;"Verkorte naam van het habitat(sub)type of van de rbb";;
"Volledigenaam";10;"255";2;"tbl_Vegetatie";"Volledigenaam";1033;-1;0;"";3;0;"";"";;0;0;5497;;"Volledige naam van het habitat(sub)type of van de rbb";;
"HoofdLogical";10;"255";2;"tbl_Vegetatie";"HoofdLogical";1033;-1;0;"";4;0;"";"";;0;0;-1;;"Is het een hoofdtype of subtype?";;
"Hoofdtype";10;"255";2;"tbl_Vegetatie";"Hoofdtype";1033;-1;0;"";5;0;"";"";;0;0;-1;;"Code van het hoofdtype";;
"Id";4;"4";18;"tbl_Vegetatie";"Id";1033;0;0;"";6;0;"";"";;0;0;563;;"PK";;
"Milieudrukbelang_gekend";10;"255";2;"tbl_Vegetatie";"Milieudrukbelang_gekend";1033;-1;0;"";7;0;"";"";;0;0;2993;;;;
"In_AfwegingsKader";10;"6";2;"tbl_Vegetatie";"In_AfwegingsKader";1033;-1;0;"";8;0;"";"";;0;0;2041;;;;
"Id";4;"4";17;"tbl_Vegetatie_Waterhuishouding_Compartiment";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"Vegcode";10;"255";2;"tbl_Vegetatie_Waterhuishouding_Compartiment";"Vegcode";1033;-1;0;"";1;0;"";"";;0;0;-1;;"Code van het habitat(sub)type of van de rbb";;
"Waterhuishouding";10;"255";2;"tbl_Vegetatie_Waterhuishouding_Compartiment";"Waterhuishouding";1033;-1;0;"";2;0;"";"";;0;0;2893;;"Waterhuishoudingsklasse";;
"Compartiment";10;"50";2;"tbl_Vegetatie_Waterhuishouding_Compartiment";"Compartiment";1033;-1;0;"";3;0;"";"";;0;0;2085;;"Milieucompartiment";;
"Id";4;"4";17;"tbl_WaterhuishoudingGp_Compartiment";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"Code";10;"20";2;"tbl_WaterhuishoudingGp_Compartiment";"Code";1033;-1;0;"";1;0;"";"";;0;0;-1;;"Code milieucompartiment";;
"WaterhuishoudingGp";10;"50";2;"tbl_WaterhuishoudingGp_Compartiment";"WaterhuishoudingGp";1033;-1;0;"";2;0;"";"";;0;0;2508;;"Waterhuishoudingsklasse (vereenvoudigde versie)";;
"Compartiment";10;"50";2;"tbl_WaterhuishoudingGp_Compartiment";"Compartiment";1033;-1;0;"";3;0;"";"";;0;0;2064;;"Milieucompartiment";;
"Id";4;"4";17;"tbl_WaterhuishoudingGp_Waterhuishouding";"Id";1033;0;0;"";0;0;"";"";;0;0;-1;;"PK";;
"WaterhuishoudingGp";10;"50";2;"tbl_WaterhuishoudingGp_Waterhuishouding";"WaterhuishoudingGp";1033;-1;0;"";1;0;"";"";;0;0;3018;;"Waterhuishoudingsklasse (vereenvoudige gegroepeerde versie)";;
"Waterhuishouding";10;"50";2;"tbl_WaterhuishoudingGp_Waterhuishouding";"Waterhuishouding";1033;-1;0;"";2;0;"";"";;0;0;3068;;"Waterhuishoudingsklasse";;
