Typeklasse	Hoofdtype	Vegcode	HoofdLogical	Druk	Milieudruk	Categorie
1	1	1	1	1	1	3
1	1	1	1	3	3	2
1	1	1	1	4	5	1
1	1	1	1	9	12	2
1	1	1	1	14	18	1
1	1	1	1	15	19	3
1	1	1	1	16	20	1
1	1	1	1	18	22	2
1	1	1	1	25	31	1
1	2	2	0	1	1	3
1	2	2	0	2	2	2
1	2	2	0	6	9	3
1	2	2	0	7	10	3
1	2	2	0	8	11	3
1	2	2	0	9	12	2
1	2	2	0	12	16	1
1	2	2	0	13	17	2
1	2	2	0	14	18	2
1	2	2	0	15	19	1
1	2	2	0	20	24	1
1	2	2	0	21	25	1
1	2	2	0	23	29	3
1	2	2	0	24	30	3
1	2	2	0	25	31	3
1	2	3	0	1	1	3
1	2	3	0	4	5	1
1	2	3	0	6	9	3
1	2	3	0	9	12	3
1	2	3	0	12	16	4
1	2	3	0	14	18	1
1	2	3	0	15	19	1
1	2	3	0	16	20	1
1	2	3	0	18	22	1
1	2	3	0	25	31	3
1	2	4	0	1	1	3
1	2	4	0	3	3	2
1	2	4	0	4	5	2
1	2	4	0	6	9	4
1	2	4	0	9	12	3
1	2	4	0	12	16	4
1	2	4	0	15	19	1
1	2	4	0	17	21	2
1	2	4	0	19	23	1
1	2	4	0	25	31	3
1	3	5	1	1	1	3
1	3	5	1	4	5	1
1	3	5	1	6	9	3
1	3	5	1	9	12	3
1	3	5	1	12	16	4
1	3	5	1	14	18	2
1	3	5	1	15	19	1
1	3	5	1	16	20	1
1	3	5	1	18	22	1
1	4	6	0	1	1	3
1	4	6	0	4	5	1
1	4	6	0	6	9	3
1	4	6	0	9	12	3
1	4	6	0	12	16	3
1	4	6	0	14	18	2
1	4	6	0	15	19	1
1	4	6	0	16	20	1
1	4	6	0	18	22	2
1	4	7	0	1	1	2
1	4	7	0	6	9	2
1	4	7	0	7	10	2
1	4	7	0	8	11	3
1	4	7	0	9	12	2
1	4	7	0	12	16	1
1	4	7	0	13	17	2
1	4	7	0	14	18	2
1	4	7	0	15	19	1
1	4	7	0	20	24	1
1	4	7	0	21	25	1
1	4	7	0	23	29	3
1	4	7	0	24	30	3
1	4	7	0	25	31	3
2	5	8	1	3	3	2
2	5	8	1	4	5	1
2	5	8	1	6	9	4
2	5	8	1	7	10	4
2	5	8	1	9	12	4
2	6	9	1	2	2	1
2	6	9	1	4	5	2
2	6	9	1	5	6	1
2	6	9	1	6	9	2
2	6	9	1	7	10	4
2	6	9	1	22	28	3
2	7	10	0	2	2	2
2	7	10	0	4	5	2
2	7	10	0	5	6	1
2	7	10	0	6	9	1
2	7	10	0	7	10	1
2	7	10	0	10	13	4
2	7	10	0	12	16	3
2	7	11	0	2	2	2
2	7	11	0	4	5	2
2	7	11	0	5	6	1
2	7	11	0	6	9	1
2	7	11	0	7	10	1
2	7	11	0	10	13	4
2	7	11	0	12	16	3
2	8	12	1	4	5	2
2	8	12	1	5	6	2
2	8	12	1	6	9	1
2	8	12	1	7	10	2
2	8	12	1	10	13	4
2	9	13	1	6	9	4
2	9	13	1	9	12	4
2	9	13	1	10	13	4
2	9	13	1	12	16	2
2	10	14	1	5	6	1
2	10	14	1	6	9	4
2	10	14	1	9	12	4
2	10	14	1	12	16	1
2	11	15	1	1	1	3
2	11	15	1	6	9	2
2	11	15	1	9	12	4
2	11	15	1	10	13	2
