Vegcode,Waterhuishouding
1140,Tijdelijk tot permanent nat
1310_pol,Tijdelijk tot permanent nat
1310_zk,Tijdelijk tot permanent nat
1310_zv,Tijdelijk tot permanent nat
1320,Tijdelijk tot permanent nat
1330_da,Tijdelijk tot permanent nat
1330_hpr,Tijdelijk tot permanent nat
2110,Droog tot vochtig
2110,Tijdelijk tot permanent nat
2120,Droog tot vochtig
2130_had,Droog tot vochtig
2130_had,Tijdelijk tot permanent nat
2130_hd,Droog tot vochtig
2130_hd,Tijdelijk tot permanent nat
2150,Droog tot vochtig
2160,Droog tot vochtig
2160,Tijdelijk tot permanent nat
2170,Tijdelijk tot permanent nat
2180,Droog tot vochtig
2180,Tijdelijk tot permanent nat
2190_a,Oppervlaktewater
2190_mp,Tijdelijk tot permanent nat
2190_overig,Tijdelijk tot permanent nat
2310,Droog tot vochtig
2330_bu,Droog tot vochtig
2330_dw,Droog tot vochtig
3110,Oppervlaktewater
3130_aom,Oppervlaktewater
3130_na,Oppervlaktewater
3140,Oppervlaktewater
3150,Oppervlaktewater
3160,Oppervlaktewater
3260,Oppervlaktewater
3270,Tijdelijk tot permanent nat
4010,Tijdelijk tot permanent nat
4030,Droog tot vochtig
5130,Droog tot vochtig
6120,Tijdelijk tot permanent nat
6210_hk,Droog tot vochtig
6210_sk,Droog tot vochtig
6230_ha,Droog tot vochtig
6230_hmo,Tijdelijk tot permanent nat
6230_hn,Droog tot vochtig
6230_hnk,Droog tot vochtig
6410_mo,Tijdelijk tot permanent nat
6410_ve,Tijdelijk tot permanent nat
6430_bz,Droog tot vochtig
6430_bz,Tijdelijk tot permanent nat
6430_hf,Tijdelijk tot permanent nat
6430_hw,Tijdelijk tot permanent nat
6430_mr,Tijdelijk tot permanent nat
6510_hu,Droog tot vochtig
6510_hu,Tijdelijk tot permanent nat
6510_hua,Tijdelijk tot permanent nat
6510_huk,Droog tot vochtig
6510_hus,Tijdelijk tot permanent nat
7140_base,Tijdelijk tot permanent nat
7140_meso,Tijdelijk tot permanent nat
7140_mrd,Tijdelijk tot permanent nat
7140_oli,Tijdelijk tot permanent nat
7150,Tijdelijk tot permanent nat
7210,Tijdelijk tot permanent nat
7220,Oppervlaktewater
7230,Tijdelijk tot permanent nat
8310,Droog tot vochtig
8310,Tijdelijk tot permanent nat
9110,Droog tot vochtig
9120,Droog tot vochtig
9120,Tijdelijk tot permanent nat
9130_end,Droog tot vochtig
9130_end,Tijdelijk tot permanent nat
9130_fm,Droog tot vochtig
9130_fm,Tijdelijk tot permanent nat
9150,Droog tot vochtig
9160,Droog tot vochtig
9160,Tijdelijk tot permanent nat
9190,Droog tot vochtig
9190,Tijdelijk tot permanent nat
91E0_sf,Tijdelijk tot permanent nat
91E0_va,Tijdelijk tot permanent nat
91E0_vc,Tijdelijk tot permanent nat
91E0_vm,Tijdelijk tot permanent nat
91E0_vn,Tijdelijk tot permanent nat
91E0_vo,Tijdelijk tot permanent nat
91F0,Tijdelijk tot permanent nat
rbbah,Oppervlaktewater
rbbha,Droog tot vochtig
rbbhc,Tijdelijk tot permanent nat
rbbhf,Tijdelijk tot permanent nat
rbbhfl,Tijdelijk tot permanent nat
rbbkam,Droog tot vochtig
rbbkam,Tijdelijk tot permanent nat
rbbmc,Tijdelijk tot permanent nat
rbbmr,Tijdelijk tot permanent nat
rbbms,Tijdelijk tot permanent nat
rbbppm,Droog tot vochtig
rbbppm,Tijdelijk tot permanent nat
rbbsf,Tijdelijk tot permanent nat
rbbsg,Droog tot vochtig
rbbsm,Tijdelijk tot permanent nat
rbbso,Tijdelijk tot permanent nat
rbbsp,Droog tot vochtig
rbbvos,Tijdelijk tot permanent nat
rbbzil,Tijdelijk tot permanent nat
