Waterhuishouding,Druk,Milieudrukkengroep,Pnabijheid,WhhGroep,Compartiment,Standplaatsfactor,Vertegenwoordiger,Standplaatsfactor_Comp,Waterhuishouding_afk,MaxMilieudrukkengroep
Droog tot vochtig,Druk101,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,temperatuur,Ja,Atmosfeer - temperatuur,D,b
Droog tot vochtig,Druk101,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,luchtvochtigheid (relatieve),Ja,Atmosfeer - luchtvochtigheid (relatieve),D,b
Droog tot vochtig,Druk101,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,neerslag,Ja,Atmosfeer - neerslag,D,b
Droog tot vochtig,Druk101,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,wind,Nee,Atmosfeer - wind,D,b
Droog tot vochtig,Druk101,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,vorst,Nee,Atmosfeer - vorst,D,b
Droog tot vochtig,Druk101,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Nee,Atmosfeer - CO2,D,b
Droog tot vochtig,Druk101,b,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,H2O,Ja,Bodem - H2O,D,b
Droog tot vochtig,Druk101,b,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,temperatuur,Nee,Bodem - temperatuur,D,b
Droog tot vochtig,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,temperatuur,Ja,Atmosfeer - temperatuur,D,c
Droog tot vochtig,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,neerslag,Ja,Atmosfeer - neerslag,D,c
Droog tot vochtig,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,luchtvochtigheid (relatieve),Ja,Atmosfeer - luchtvochtigheid (relatieve),D,c
Droog tot vochtig,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Nee,Atmosfeer - CO2,D,c
Droog tot vochtig,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,vorst,Nee,Atmosfeer - vorst,D,c
Droog tot vochtig,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,wind,Nee,Atmosfeer - wind,D,c
Droog tot vochtig,Druk102,c,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,H2O,Ja,Bodem - H2O,D,c
Droog tot vochtig,Druk102,c,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,temperatuur,Nee,Bodem - temperatuur,D,c
Droog tot vochtig,Druk12,c,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,fysische stabiliteit van de bodem,Ja,Bodem - fysische stabiliteit van de bodem,D,c
Droog tot vochtig,Druk13,b,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,fysische stabiliteit van de bodem,Ja,Bodem - fysische stabiliteit van de bodem,D,b
Droog tot vochtig,Druk3.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NHy,Ja,Atmosfeer - NHy,D,a
Droog tot vochtig,Druk3.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NOx,Ja,Atmosfeer - NOx,D,a
Droog tot vochtig,Druk3.1,a,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,N,Ja,Bodem - N,D,a
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,P,Ja,Bodem - P,D,a
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,N,Ja,Bodem - N,D,a
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,Na+ (geadsorbeerd / in neerslag / in bodemvocht),Nee,Bodem - Na+ (geadsorbeerd / in neerslag / in bodemvocht),D,a
