Waterhuishouding,Druk,Milieudrukkengroep
Droog tot vochtig,Druk101,b
Droog tot vochtig,Druk102,c
Droog tot vochtig,Druk11,a
Droog tot vochtig,Druk12,c
Droog tot vochtig,Druk13,b
Droog tot vochtig,Druk14,d
Droog tot vochtig,Druk15,a
Droog tot vochtig,Druk3.1,a
Droog tot vochtig,Druk3.2,a
Droog tot vochtig,Druk3.4,c
Droog tot vochtig,Druk4.1,a
Droog tot vochtig,Druk8.1,c
Droog tot vochtig,Druk8.2,c
Droog tot vochtig,Druk8.4,d
Droog tot vochtig,Druk9.1,d
Droog tot vochtig,Druk9.2,d
Droog tot vochtig,Druk9.3,d
Tijdelijk tot permanent nat,Druk101,b
Tijdelijk tot permanent nat,Druk102,c
Tijdelijk tot permanent nat,Druk103,d
Tijdelijk tot permanent nat,Druk11,a
Tijdelijk tot permanent nat,Druk12,c
Tijdelijk tot permanent nat,Druk13,d
Tijdelijk tot permanent nat,Druk14,c
Tijdelijk tot permanent nat,Druk15,a
Tijdelijk tot permanent nat,Druk3.1,a
Tijdelijk tot permanent nat,Druk3.2,b
Tijdelijk tot permanent nat,Druk3.3,a
Tijdelijk tot permanent nat,Druk3.4,a
Tijdelijk tot permanent nat,Druk4.1,c
Tijdelijk tot permanent nat,Druk4.2,d
Tijdelijk tot permanent nat,Druk4.3,d
Tijdelijk tot permanent nat,Druk5.1,a
Tijdelijk tot permanent nat,Druk5.2,c
Tijdelijk tot permanent nat,Druk61,b
Tijdelijk tot permanent nat,Druk62,b
Tijdelijk tot permanent nat,Druk63,d
Tijdelijk tot permanent nat,Druk64,d
Tijdelijk tot permanent nat,Druk65,d
Tijdelijk tot permanent nat,Druk66,d
Tijdelijk tot permanent nat,Druk7.1,d
Tijdelijk tot permanent nat,Druk7.2,d
Tijdelijk tot permanent nat,Druk7.3,d
Tijdelijk tot permanent nat,Druk7.4,d
Tijdelijk tot permanent nat,Druk8.1,c
Tijdelijk tot permanent nat,Druk8.2,c
Tijdelijk tot permanent nat,Druk8.3,c
Tijdelijk tot permanent nat,Druk8.4,c
Tijdelijk tot permanent nat,Druk8.5,d
Tijdelijk tot permanent nat,Druk9.1,d
Tijdelijk tot permanent nat,Druk9.2,d
Tijdelijk tot permanent nat,Druk9.3,d
Oppervlaktewater,Druk101,d
Oppervlaktewater,Druk102,d
Oppervlaktewater,Druk103,d
Oppervlaktewater,Druk11,a
Oppervlaktewater,Druk12,c
Oppervlaktewater,Druk13,d
Oppervlaktewater,Druk14,a
Oppervlaktewater,Druk15,d
Oppervlaktewater,Druk3.1,a
Oppervlaktewater,Druk3.2,b
Oppervlaktewater,Druk3.3,a
Oppervlaktewater,Druk3.4,a
Oppervlaktewater,Druk4.1,b
Oppervlaktewater,Druk4.2,c
Oppervlaktewater,Druk4.3,d
Oppervlaktewater,Druk5.1,a
Oppervlaktewater,Druk5.2,d
Oppervlaktewater,Druk61,d
Oppervlaktewater,Druk62,d
Oppervlaktewater,Druk63,c
Oppervlaktewater,Druk64,b
Oppervlaktewater,Druk65,d
Oppervlaktewater,Druk66,d
Oppervlaktewater,Druk7.1,d
Oppervlaktewater,Druk7.2,d
Oppervlaktewater,Druk7.3,d
Oppervlaktewater,Druk7.4,d
Oppervlaktewater,Druk8.1,d
Oppervlaktewater,Druk8.2,c
Oppervlaktewater,Druk8.3,c
Oppervlaktewater,Druk8.4,b
Oppervlaktewater,Druk8.5,d
Oppervlaktewater,Druk9.1,d
Oppervlaktewater,Druk9.2,d
Oppervlaktewater,Druk9.3,d
