Waterhuishouding	Druk	Milieudrukkengroep	Pnabijheid	WhhGroep	Compartiment	Standplaatsfactor	Vertegenwoordiger	Standplaatsfactor_Comp	Waterhuishouding_afk	MaxMilieudrukkengroep
1	1	c	1	Alle	6	39	1	76	1	c
1	1	c	1	Alle	6	40	1	77	1	c
1	1	c	1	Alle	6	41	1	78	1	c
1	1	c	2	Droog tot vochtig	4	13	1	49	1	c
1	2	b	1	Alle	6	22	2	75	1	b
1	2	b	1	Alle	6	29	1	74	1	b
1	2	b	1	Alle	6	36	1	71	1	b
1	2	b	1	Alle	6	37	2	72	1	b
1	2	b	1	Alle	6	38	1	73	1	b
1	2	b	1	Alle	6	39	2	76	1	b
1	2	b	2	Droog tot vochtig	4	29	2	47	1	b
1	2	b	2	Droog tot vochtig	4	30	1	48	1	b
1	3	c	1	Alle	6	22	2	75	1	c
1	3	c	1	Alle	6	29	1	74	1	c
1	3	c	1	Alle	6	36	1	71	1	c
1	3	c	1	Alle	6	37	2	72	1	c
1	3	c	1	Alle	6	38	1	73	1	c
1	3	c	1	Alle	6	39	2	76	1	c
1	3	c	2	Droog tot vochtig	4	29	2	47	1	c
1	3	c	2	Droog tot vochtig	4	30	1	48	1	c
1	4	a	1	Alle	6	33	1	67	1	a
1	4	a	1	Alle	6	34	1	68	1	a
1	4	a	2	Droog tot vochtig	4	8	1	41	1	a
1	5	a	1	Alle	6	3	2	69	1	a
1	5	a	1	Alle	6	33	1	67	1	a
1	5	a	1	Alle	6	34	1	68	1	a
1	5	a	1	Alle	6	35	1	70	1	a
1	5	a	2	Droog tot vochtig	4	8	2	41	1	a
1	5	a	2	Droog tot vochtig	4	25	1	40	1	a
1	5	a	2	Droog tot vochtig	4	28	1	45	1	a
1	10	b	1	Droog tot vochtig	4	19	1	46	1	b
1	11	c	2	Tijdelijk tot permanent nat	5	7	2	50	1	a
1	11	c	2	Tijdelijk tot permanent nat	5	8	1	52	1	a
1	11	c	2	Tijdelijk tot permanent nat	5	9	1	51	1	a
1	12	d	2	Tijdelijk tot permanent nat	5	13	1	66	1	c
1	15	c	1	Droog tot vochtig	4	19	1	46	1	c
1	17	a	1	Droog tot vochtig	4	8	1	41	1	a
1	17	a	1	Droog tot vochtig	4	9	1	43	1	a
1	17	a	1	Droog tot vochtig	4	26	2	42	1	a
1	17	a	1	Droog tot vochtig	4	27	2	44	1	a
1	18	c	1	Droog tot vochtig	4	13	1	49	1	c
2	1	c	1	Alle	6	39	1	76	2	c
2	1	c	1	Alle	6	40	1	77	2	c
2	1	c	1	Alle	6	41	1	78	2	c
2	1	c	2	Tijdelijk tot permanent nat	4	13	1	49	2	c
2	1	c	2	Tijdelijk tot permanent nat	5	13	1	66	2	c
2	2	b	1	Alle	6	22	2	75	2	b
2	2	b	1	Alle	6	29	1	74	2	b
2	2	b	1	Alle	6	36	1	71	2	b
2	2	b	1	Alle	6	37	2	72	2	b
2	2	b	1	Alle	6	38	1	73	2	b
2	2	b	1	Alle	6	39	2	76	2	b
2	2	b	2	Tijdelijk tot permanent nat	4	29	2	47	2	b
2	2	b	2	Tijdelijk tot permanent nat	4	30	1	48	2	b
2	2	b	2	Tijdelijk tot permanent nat	5	22	2	64	2	b
2	2	b	2	Tijdelijk tot permanent nat	5	29	2	65	2	b
2	2	b	2	Tijdelijk tot permanent nat	5	31	1	62	2	b
2	3	c	1	Alle	6	22	2	75	2	c
2	3	c	1	Alle	6	29	1	74	2	c
2	3	c	1	Alle	6	36	1	71	2	c
2	3	c	1	Alle	6	37	2	72	2	c
2	3	c	1	Alle	6	38	1	73	2	c
2	3	c	1	Alle	6	39	2	76	2	c
2	3	c	2	Tijdelijk tot permanent nat	4	29	2	47	2	c
2	3	c	2	Tijdelijk tot permanent nat	4	30	1	48	2	c
2	3	c	2	Tijdelijk tot permanent nat	5	22	2	64	2	c
2	3	c	2	Tijdelijk tot permanent nat	5	23	2	59	2	c
2	3	c	2	Tijdelijk tot permanent nat	5	29	2	65	2	c
2	3	c	2	Tijdelijk tot permanent nat	5	31	1	62	2	c
2	4	a	1	Alle	6	33	1	67	2	a
2	4	a	1	Alle	6	34	1	68	2	a
2	4	a	2	Tijdelijk tot permanent nat	4	8	1	41	2	a
2	4	a	2	Tijdelijk tot permanent nat	5	8	1	52	2	a
2	5	c	1	Alle	6	3	2	69	2	a
2	5	c	1	Alle	6	33	1	67	2	a
2	5	c	1	Alle	6	34	1	68	2	a
2	5	c	1	Alle	6	35	1	70	2	a
2	5	c	2	Tijdelijk tot permanent nat	4	8	2	41	2	a
2	5	c	2	Tijdelijk tot permanent nat	4	25	1	40	2	a
2	5	c	2	Tijdelijk tot permanent nat	4	28	1	45	2	a
2	5	c	2	Tijdelijk tot permanent nat	5	3	1	54	2	c
2	5	c	2	Tijdelijk tot permanent nat	5	4	2	55	2	c
2	5	c	2	Tijdelijk tot permanent nat	5	6	1	53	2	c
2	5	c	2	Tijdelijk tot permanent nat	5	8	2	52	2	c
2	5	c	2	Tijdelijk tot permanent nat	5	12	2	56	2	c
2	6	d	2	Tijdelijk tot permanent nat	5	23	1	59	2	d
2	6	d	2	Tijdelijk tot permanent nat	5	31	1	62	2	d
2	7	b	1	Tijdelijk tot permanent nat	5	31	1	62	2	b
2	7	b	1	Tijdelijk tot permanent nat	5	32	1	63	2	b
2	8	b	1	Tijdelijk tot permanent nat	5	31	1	62	2	b
2	8	b	1	Tijdelijk tot permanent nat	5	32	1	63	2	b
2	9	d	2	Tijdelijk tot permanent nat	5	20	2	60	2	d
2	9	d	2	Tijdelijk tot permanent nat	5	21	2	61	2	d
2	9	d	2	Tijdelijk tot permanent nat	5	22	2	64	2	d
2	9	d	2	Tijdelijk tot permanent nat	5	23	1	59	2	d
2	10	d	1	Tijdelijk tot permanent nat	4	19	1	46	2	b
2	10	d	2	Tijdelijk tot permanent nat	5	20	1	60	2	d
2	11	a	2	Tijdelijk tot permanent nat	5	7	2	50	2	a
2	11	a	2	Tijdelijk tot permanent nat	5	8	1	52	2	a
2	11	a	2	Tijdelijk tot permanent nat	5	9	1	51	2	a
2	12	c	2	Tijdelijk tot permanent nat	5	13	1	66	2	c
2	13	d	2	Tijdelijk tot permanent nat	5	20	2	60	2	d
2	13	d	2	Tijdelijk tot permanent nat	5	21	2	61	2	d
2	13	d	2	Tijdelijk tot permanent nat	5	22	2	64	2	d
2	13	d	2	Tijdelijk tot permanent nat	5	23	1	59	2	d
2	14	d	2	Tijdelijk tot permanent nat	5	10	1	58	2	d
2	14	d	2	Tijdelijk tot permanent nat	5	11	1	57	2	d
2	14	d	2	Tijdelijk tot permanent nat	5	12	2	56	2	d
2	15	c	1	Tijdelijk tot permanent nat	4	19	1	46	2	c
2	15	c	2	Tijdelijk tot permanent nat	5	20	1	60	2	c
2	16	d	2	Tijdelijk tot permanent nat	5	23	1	59	2	d
2	16	d	2	Tijdelijk tot permanent nat	5	31	1	62	2	d
2	17	b	1	Tijdelijk tot permanent nat	4	8	1	41	2	a
2	17	b	1	Tijdelijk tot permanent nat	4	9	1	43	2	a
2	17	b	1	Tijdelijk tot permanent nat	4	26	2	42	2	a
2	17	b	1	Tijdelijk tot permanent nat	4	27	2	44	2	a
2	17	b	2	Alle GWafhankelijke	1	7	2	7	2	b
2	17	b	2	Alle GWafhankelijke	1	8	1	8	2	b
2	17	b	2	Alle GWafhankelijke	1	9	1	9	2	b
2	18	c	1	Tijdelijk tot permanent nat	4	13	1	49	2	c
2	18	c	2	Alle GWafhankelijke	1	13	1	13	2	c
2	19	d	2	Alle GWafhankelijke	1	9	2	9	2	d
2	19	d	2	Alle GWafhankelijke	1	10	1	10	2	d
2	19	d	2	Alle GWafhankelijke	1	11	1	11	2	d
2	19	d	2	Alle GWafhankelijke	1	12	2	12	2	d
2	19	d	2	Tijdelijk tot permanent nat	5	10	2	58	2	d
2	19	d	2	Tijdelijk tot permanent nat	5	11	2	57	2	d
2	19	d	2	Tijdelijk tot permanent nat	5	12	2	56	2	d
2	19	d	2	Tijdelijk tot permanent nat	5	23	2	59	2	d
2	19	d	2	Tijdelijk tot permanent nat	5	31	1	62	2	d
2	20	a	1	Alle GWafhankelijke	1	1	1	1	2	a
2	21	c	1	Alle GWafhankelijke	1	13	1	13	2	c
2	22	d	1	Alle GWafhankelijke	1	10	1	10	2	d
2	22	d	1	Alle GWafhankelijke	1	11	1	11	2	d
2	22	d	1	Alle GWafhankelijke	1	12	2	12	2	d
2	23	a	1	Alle GWafhankelijke	1	7	2	7	2	a
2	23	a	1	Alle GWafhankelijke	1	8	1	8	2	a
2	23	a	1	Alle GWafhankelijke	1	9	1	9	2	a
2	24	c	1	Alle GWafhankelijke	1	1	1	1	2	c
2	25	d	1	Alle GWafhankelijke	1	2	2	2	2	c
2	25	d	1	Alle GWafhankelijke	1	3	1	3	2	c
2	25	d	1	Alle GWafhankelijke	1	4	2	4	2	c
2	25	d	1	Alle GWafhankelijke	1	5	2	5	2	c
2	25	d	1	Alle GWafhankelijke	1	6	1	6	2	c
2	25	d	1	Alle GWafhankelijke	1	7	2	7	2	c
2	25	d	1	Alle GWafhankelijke	1	10	2	10	2	c
3	1	d	1	Alle	6	39	1	76	3	c
3	1	d	1	Alle	6	40	1	77	3	c
3	1	d	1	Alle	6	41	1	78	3	c
3	1	d	2	Oppervlaktewater	3	13	1	39	3	d
3	4	a	1	Alle	6	33	1	67	3	a
3	4	a	1	Alle	6	34	1	68	3	a
3	4	a	2	Oppervlaktewater	3	8	1	23	3	a
3	5	b	1	Alle	6	3	2	69	3	a
3	5	b	1	Alle	6	33	1	67	3	a
3	5	b	1	Alle	6	34	1	68	3	a
3	5	b	1	Alle	6	35	1	70	3	a
3	5	b	2	Oppervlaktewater	3	3	1	27	3	b
3	5	b	2	Oppervlaktewater	3	4	2	28	3	b
3	5	b	2	Oppervlaktewater	3	6	1	26	3	b
3	5	b	2	Oppervlaktewater	3	8	2	23	3	b
3	5	b	2	Oppervlaktewater	3	12	2	31	3	b
3	11	a	1	Oppervlaktewater	3	7	2	24	3	a
3	11	a	1	Oppervlaktewater	3	8	1	23	3	a
3	11	a	1	Oppervlaktewater	3	9	1	25	3	a
3	12	b	1	Oppervlaktewater	3	13	1	39	3	b
3	13	d	1	Oppervlaktewater	3	20	2	34	3	d
3	13	d	1	Oppervlaktewater	3	21	2	35	3	d
3	13	d	1	Oppervlaktewater	3	22	2	36	3	d
3	13	d	1	Oppervlaktewater	3	23	1	37	3	d
3	14	d	1	Oppervlaktewater	3	10	1	33	3	d
3	14	d	1	Oppervlaktewater	3	11	1	32	3	d
3	14	d	1	Oppervlaktewater	3	12	2	31	3	d
3	15	c	1	Oppervlaktewater	2	19	1	21	3	c
3	15	c	2	Oppervlaktewater	3	20	1	34	3	c
3	16	b	1	Oppervlaktewater	3	23	1	37	3	b
3	16	b	1	Oppervlaktewater	3	24	1	38	3	b
3	16	b	2	Oppervlaktewater	2	19	1	21	3	b
3	17	b	1	Oppervlaktewater	2	8	1	18	3	b
3	17	b	1	Oppervlaktewater	2	9	1	20	3	b
3	17	b	1	Oppervlaktewater	2	14	2	14	3	b
3	17	b	1	Oppervlaktewater	2	15	2	15	3	b
3	17	b	1	Oppervlaktewater	2	16	2	16	3	b
3	17	b	1	Oppervlaktewater	2	17	2	17	3	b
3	17	b	1	Oppervlaktewater	2	18	2	19	3	b
3	17	b	2	Alle GWafhankelijke	1	7	2	7	3	b
3	17	b	2	Alle GWafhankelijke	1	8	1	8	3	b
3	17	b	2	Alle GWafhankelijke	1	9	1	9	3	b
3	17	b	2	Oppervlaktewater	3	2	2	29	3	b
3	17	b	2	Oppervlaktewater	3	5	2	30	3	b
3	17	b	2	Oppervlaktewater	3	7	2	24	3	b
3	17	b	2	Oppervlaktewater	3	8	1	23	3	b
3	17	b	2	Oppervlaktewater	3	9	1	25	3	b
3	17	b	2	Oppervlaktewater	3	10	2	33	3	b
3	17	b	2	Oppervlaktewater	3	11	2	32	3	b
3	17	b	2	Oppervlaktewater	3	20	1	34	3	b
3	18	c	1	Oppervlaktewater	2	13	1	22	3	c
3	18	c	2	Alle GWafhankelijke	1	13	1	13	3	c
3	18	c	2	Oppervlaktewater	3	13	1	39	3	c
3	20	a	1	Alle GWafhankelijke	1	1	1	1	3	a
3	21	c	1	Alle GWafhankelijke	1	13	1	13	3	c
3	22	d	1	Alle GWafhankelijke	1	10	1	10	3	d
3	22	d	1	Alle GWafhankelijke	1	11	1	11	3	d
3	22	d	1	Alle GWafhankelijke	1	12	2	12	3	d
3	23	a	1	Alle GWafhankelijke	1	7	2	7	3	a
3	23	a	1	Alle GWafhankelijke	1	8	1	8	3	a
3	23	a	1	Alle GWafhankelijke	1	9	1	9	3	a
3	25	c	1	Alle GWafhankelijke	1	2	2	2	3	c
3	25	c	1	Alle GWafhankelijke	1	3	1	3	3	c
3	25	c	1	Alle GWafhankelijke	1	4	2	4	3	c
3	25	c	1	Alle GWafhankelijke	1	5	2	5	3	c
3	25	c	1	Alle GWafhankelijke	1	6	1	6	3	c
3	25	c	1	Alle GWafhankelijke	1	7	2	7	3	c
3	25	c	1	Alle GWafhankelijke	1	10	2	10	3	c
