Vegcode	Waterhuishouding
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	1
8	2
9	1
10	1
10	2
11	1
11	2
12	1
13	1
13	2
14	2
15	1
15	2
16	3
17	2
18	2
19	1
20	1
21	1
22	3
23	3
24	3
25	3
26	3
27	3
28	3
29	2
30	2
31	1
32	1
33	2
34	1
35	1
36	1
37	2
38	1
39	1
40	2
41	2
42	1
42	2
43	2
44	2
45	2
46	1
46	2
47	2
48	1
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	3
57	2
58	1
58	2
59	1
60	1
60	2
61	1
61	2
62	1
62	2
63	1
64	1
64	2
65	1
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	3
88	1
74	2
75	2
89	2
76	1
76	2
77	2
78	2
79	2
80	1
80	2
81	2
82	1
83	2
84	2
85	1
86	2
87	2
