Vegcode	Totaalindex	Volledige.naam	Verkorte.naam	Typeklasse	HoofdLogical	Hoofdtype	EurBeschermd	HMmilieudrukken	AbiotToetsingskader	Zeldzaamheid	Algemeenheid	RelevanteSpp	EurPrioritair	RelBelangVL_Eur	RLstatusEur	StructFunct_oordeel2013	PC1	PC2	PC3	Groepen2	Groepen3	Groepen4
rbbsg	0.15942649294903963	brem- en gaspeldoornstruweel (indien niet vervat in een habitattype)	brem- en gaspeldoornstruweel niet vervat in een habitattype	Heiden	TRUE	rbbsg	0	0.07954545454545456	0.03968845144167143	0.18275437356147323	0.17153144913806237	0.2920353982300885	0	0.5	0.4	0.3	-1.4665965391088647	-0.6110519813274333	0.4551304963992919	1	1	1
2160	0.17090678893800723	Duinen met Hyppophae rhamnoides	duindoornstruwelen	Kustduinen	TRUE	2160	1	0.14583333333333334	0.25829313624102335	4.031499841442633e-6	0.7513130827897755	0.2920353982300885	0	0.5	0	0	-1.5572475520160616	-0.09253764793177488	2.7965500051788106	1	1	1
rbbsp	0.20153905011259926	doornstruweel	doornstruweel	Bossen en struwelen	TRUE	rbbsp	0	0.2282608695652174	0.07087223471727042	1.562312902799668e-4	0.5476866047163452	0.3185840707964602	0	0.5	0.4	0.3	-1.3421350872984865	-0.3997556466528493	0.30406325186334837	1	1	1
rbbah	0.21592617011679754	brak of zilt water	brak of zilt water	Zoete en brakke wateren	TRUE	rbbah	0	0.375	0.1275700224910867	8.061055380310885e-4	0.4454946192699669	0.10619469026548671	0	0.5	0.4	0.3	-1.314568322549841	-1.3819399524632578	0.43402783218064045	1	1	1
3130_na	0.2441237781620253	oevers van tijdelijke of permanente plassen of poelen met eenjarige dwergbiezenvegetaties (Isoëto-Nanojuncetea)	dwergbiezenvegetaties	Zoete en brakke wateren	FALSE	3130	1	0.3125	0.26647960253693526	0.01426541785338384	0.2814589831517376	0.10619469026548671	0	0.5	0	1	-1.649683670948534	-0.9135124881766854	2.7261641445067024	1	1	1
2110	0.2539823820820169	Embryonale wandelende duinen	embryonale duinen	Kustduinen	TRUE	2110	1	0.21	0.1817511227463714	0.5622506976701883	0.13519762091445206	0.11504424778761062	0	0.5	0.5	0.5	-0.9841350431948037	-1.5980762270561544	0.39708173500628385	1	1	1
6430_bz	0.2600964938896302	Nitrofiele boszomen met minder algemene plantensoorten	nitrofiele boszoom	(Half-)natuurlijke graslanden	FALSE	6430	1	0.1810344827586207	0.13922778191600907	0.9569200523678181	0.12039378051435112	0.10619469026548671	0	0.5	0.7	0	-0.7506566221207069	-1.9227474081396245	-0.5686514976791989	1	1	1
rbbmc	0.26247521097844967	grote zeggenvegetatie	grote zeggenvegetatie	Moerassen	TRUE	rbbmc	0	0.22580645161290322	0.1275700224910867	7.148128604866701e-5	0.595512948239003	0.5398230088495576	0	0.5	0.4	0.3	-1.0194266444541031	0.6736362602769501	0.29550205613180025	1	1	1
rbbsm	0.276167729517104	gagelstruweel (indien niet vervat in een habitattype)	gagelstruweel niet vervat in een habitattype	Heiden	TRUE	rbbsm	0	0.30434782608695654	0.0538628983851255	0.17668719327768262	0.17273424738499463	0.4690265486725663	0	0.5	0.4	0.3	-1.276396267099238	0.3978984348893017	0.011491341868218714	1	1	1
rbbppm	0.28444878839356785	structuurrijke, oude bestanden van grove den	structuurrijke, oude bestanden van grove den	Bossen en struwelen	TRUE	rbbppm	0	0.2692307692307693	0.06520245593988876	0.9179595750850692	0.12149859252494787	0.17699115044247787	0	0.5	0.4	0.3	-1.455758428214957	-1.0736598433359448	0.3436568895936623	1	1	1
2170	0.28664677817861167	Duinen met Salix repens ssp. argentea (Salicion arenaria)	kruipwilgstruwelen	Kustduinen	TRUE	2170	1	0.28	0.2101000166332796	0.5209484039692646	0.13744332058731348	0.2743362831858407	0	0.5	0	0.5	-1.696550088043085	-0.08052218390961556	2.4621518193233003	1	1	1
5130	0.30985298733572914	Juniperus communis-formaties in heide of kalkgrasland	jeneverbesstruwelen	Thermofiel struikgewas	TRUE	5130	1	0.5	0.09103466230826528	0.5380234906085716	0.13649024493317238	0.1592920353982301	0	0	0	0.5	-2.1028378811232615	-0.47225064145446527	1.8636534544289907	1	1	2
