Comp_meetnet	Druk	Milieudruk	MaxMilieudrukkengroep	Standplaatsfactor	Compartiment
Atmosferisch meetnet	Druk101	101 Klimaatverandering in droge perioden	b	luchtvochtigheid (relatieve)	Atmosfeer
Atmosferisch meetnet	Druk101	101 Klimaatverandering in droge perioden	b	neerslag	Atmosfeer
Atmosferisch meetnet	Druk101	101 Klimaatverandering in droge perioden	b	temperatuur	Atmosfeer
Atmosferisch meetnet	Druk102	102 Klimaatverandering in natte perioden	c	luchtvochtigheid (relatieve)	Atmosfeer
Atmosferisch meetnet	Druk102	102 Klimaatverandering in natte perioden	c	neerslag	Atmosfeer
Atmosferisch meetnet	Druk102	102 Klimaatverandering in natte perioden	c	temperatuur	Atmosfeer
Atmosferisch meetnet	Druk3.1	3.1 Eutrofiëring via de lucht	a	NHy	Atmosfeer
Atmosferisch meetnet	Druk3.1	3.1 Eutrofiëring via de lucht	a	NOx	Atmosfeer
Atmosferisch meetnet	Druk4.1	4.1 Verzuring via de lucht	a	NHy	Atmosfeer
Atmosferisch meetnet	Druk4.1	4.1 Verzuring via de lucht	a	NOx	Atmosfeer
Atmosferisch meetnet	Druk4.1	4.1 Verzuring via de lucht	a	SOx	Atmosfeer
Atmosferisch meetnet	Druk8.1	8.1 Verontreiniging via de lucht	c	CO2	Atmosfeer
Atmosferisch meetnet	Druk8.1	8.1 Verontreiniging via de lucht	c	O3	Atmosfeer
Atmosferisch meetnet	Druk8.1	8.1 Verontreiniging via de lucht	c	organische polluenten (en pesticiden) + zware metalen	Atmosfeer
Bodemmeetnet	Druk12	12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)	c	bodemmobilisatie	Bodem
Bodemmeetnet	Druk13	13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)	b	bodemmobilisatie	Bodem
Bodemmeetnet	Druk3.2	3.2 Eutrofiëring via de bodem	a	N	Bodem
Bodemmeetnet	Druk3.2	3.2 Eutrofiëring via de bodem	a	P	Bodem
Bodemmeetnet	Druk8.2	8.2 Verontreiniging via de bodem	c	polluenten (milieuvreemde): zware metalen & organische	Bodem
