"Milieudrukklasse","Milieudruk","Betekenis","Code"
"1 Ruimtebeslag","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","Aard van het substraat of de ruimtelijke vorm van de fysische standplaats worden veranderd naar een blijvende nieuwe toestand, in zodanige mate dat dit de levensgemeenschap negatief beïnvloedt","Druk11"
"","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","Een toename resp. afname van de frequentie van fysische bodemverstoring, in zodanige mate dat dit de levensgemeenschap negatief beïnvloedt. Dit kan terrestrisch of aquatisch zijn, en zowel betrekking hebben op verandering in frequentie van mechanische omwoeling/baggering/... door mensen, als op veranderingen in wind- of waterstroming die de bodemverstoring beïnvloeden.","Druk12"
"","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","","Druk13"
"","14 Verlies van aquatische connectiviteit","Barrières en isolatie leiden tot een achteruitgang van de de ontwikkelingsgraad van het aquatische, resp. terrestrische ecosysteem","Druk14"
"","15 Verlies van terrestrische connectiviteit","","Druk15"
"3 Eutrofiëring","3.1 Eutrofiëring via de lucht","Voor de levensgemeenschap beperkende nutriënten worden in zodanige mate aangerijkt of meer beschikbaar dat dit leidt tot een achteruitgang van deze levensgemeenschap. De nutriënten komen de standplaats binnen via resp.:
* de lucht (depositie)
* de bodem (toevoeging meststoffen of vrijstelling uit de bodem van normaliter onbeschikbare nutriënten) 
* het grondwater (aanvoer via uittredend grondwater, van nutriënten of stoffen die de nutriëntenbeschikbaarheid doen toenemen)
* het oppervlaktewater, inclusief overstromingswater en runoff (aanvoer van nutriënten, veelal met sediment - modderstromen inbegrepen)","Druk3.1"
"","3.2 Eutrofiëring via de bodem","","Druk3.2"
"","3.3 Eutrofiëring via het grondwater","","Druk3.3"
"","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","Druk3.4"
"4 Verzuring","4.1 Verzuring via de lucht","Daling van de pH van de standplaats in zodanige mate dat dit leidt tot een achteruitgang van de levensgemeenschap. De aangevoerde stoffen zijn ofwel zuren, ofwel stoffen die zuurvorming teweegbrengen in de standplaats. Aanvoer van deze stoffen gebeurt resp. via lucht, via grondwater of via oppervlaktewater (inclusief overstromingswater en runoff)","Druk4.1"
"","4.2 Verzuring via het grondwater","","Druk4.2"
"","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","","Druk4.3"
"5 Wijziging van de grondwaterstand (en daaraan gekoppeld oppervlaktewaterpeil)","5.1 Verdroging via het grondwater","Daling resp. stijging van grondwaterstanden (en regime), door veranderingen in grondwateronttrekking,  drainage, evapotranspiratie, …, in zodanige mate dat dit leidt tot achteruitgang van de terrestrische of aquatische levensgemeenschap. Peilregimewijzigingen van het oppervlaktewater vallen hieronder indien zij door de veranderingen in het grondwater zijn veroorzaakt.","Druk5.1"
"","5.2 Vernatting via het grondwater","","Druk5.2"
"6 Wijziging hydrologie via oppervlaktewater","61 Toename overstromingsduur of -frequentie (incl. getijden)","Een toename resp. afname van het overstromingsregime van waterlopen in zodanige mate dat dit de beschouwde levensgemeenschap buiten de waterloop negatief beïnvloedt. Dit gebeurt door de verandering in mechanische belasting (stroming/sediment), of door de zuurstof/CO2-armoede van overstromingswater, of door de resulterende verandering van bodem- of waterkwaliteit.","Druk61"
"","62 Afname overstromingsduur of -frequentie (incl. getijden)","","Druk62"
"","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","Een toename resp. afname van de hydraulische of waterpeilregimekarakteristieken ter hoogte van de beschouwde aquatische of oeverlevensgemeenschap, in zodanige mate dat deze er negatief door wordt beïnvloed","Druk63"
"","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","","Druk64"
"","65  Toename golfslagwerking","Een toename resp. afname van de golfslagwerking ter hoogte van de beschouwde aquatische of oeverlevensgemeenschap, in zodanige mate dat deze er negatief door wordt beïnvloed. Dit kan gebeuren door verandering in de mechanische belasting van de levensgemeenschap, of via de effecten op water- of bodemkwaliteit.","Druk65"
"","66  Afname golfslagwerking","","Druk66"
"7 Verzoeting en verzilting","7.1 Verzoeting via het grondwater","Toename resp. afname van het chloridegehalte van de standplaats, door regime- of kwaliteitswijzigingen van het betrokken grondwaterlichaam, resp. oppervlaktewaterlichaam, in zodanige mate dat dit leidt tot een achteruitgang van de levensgemeenschap. Het chloride is daarbij afkomstig uit het natuurlijk milieu (toevoeging van zouten valt onder milieudrukklasse 8)","Druk7.1"
"","7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)","","Druk7.2"
"","7.3 Verzilting via het grondwater","","Druk7.3"
"","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","","Druk7.4"
"8 Verontreiniging","8.1 Verontreiniging via de lucht","Toename van stoffen (excl. eutrofiërende of verzurende stoffen), in zodanige mate dat dit leidt tot een achteruitgang van de levensgemeenschap. Dit kan op verschillende manieren gebeuren, analoog aan deze van eutrofiëring (zie milieudrukklasse 3)","Druk8.1"
"","8.2 Verontreiniging via de bodem","","Druk8.2"
"","8.3 Verontreiniging via het grondwater","","Druk8.3"
"","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","Druk8.4"
"","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","Een toename van de watertemperatuur ter hoogte van de beschouwde aquatische of oeverlevensgemeenschap, in zodanige mate dat deze er negatief door wordt beïnvloed. De temperatuursverhoging is daarbij het gevolg van warm lozingswater","Druk8.5"
"9 Verstoring","9.1 Geluid en trillingen","Menselijke activiteit die een gedragswijziging veroorzaakt en/of tot een verhoging van de mortaliteit leidt waardoor de natuurlijke dynamiek van populaties nadelig beïnvloed wordt.","Druk9.1"
"","9.2 Licht en straling","","Druk9.2"
"","9.3 Beweging en andere visuele verstoring","","Druk9.3"
