Typeklasse	Type	Naam	VerkorteNaam
Moerassen	7210	Kalkhoudende moerassen met Cladium mariscus en soorten van het Caricion davallianae	galigaanmoerassen
Moerassen	7220	Kalktufbronnen met tufsteenformatie (Cratoneurion)	kalktufbronnen
Moerassen	7230	Alkalisch laagveen	alkalisch laagveen
Moerassen	rbbmc	grote zeggenvegetatie	grote zeggenvegetatie
Moerassen	rbbmr	rietland en andere vegetatie van het rietverbond	rietland en andere vegetatie van het rietverbond
Moerassen	rbbms	kleine zeggenvegetatie niet vervat in overgangsveen (7140)	kleine zeggenvegetatie niet vervat in 7140
Rotsachtige habitats en grotten	8310	Niet voor het publiek opengestelde grotten	niet voor publiek opengestelde grotten
Bossen en struwelen	9110	Beukenbossen van het type Luzulo-Fagetum	veldbies-beukenbossen
Bossen en struwelen	9120	Atlantische zuurminnende beukenbossen met Ilex en soms ook Taxus in de ondergroei (Quercion robori-petraeae of Ilici-Fagenion)	beuken-eikenbossen op zure bodem
Bossen en struwelen	9130_end	Atlantisch neutrofiel beukenbos gekenmerkt door een uitgesproken Atlantische invloed (Endymio-Fagetum)	atlantisch neutrofiel beukenbos
Bossen en struwelen	9130_fm	Midden-Europese neutrofiel beukenbos dat voorkomt in het Continentaal gebied op kalkhoudende, rijke bodems met typische aanwezigheid van Eenbloemig parelgras en Lievevrouwebedstro (Parelgras-Beukenbos, Melico-Fagetum)	midden-Europese neutrofiel beukenbos
Bossen en struwelen	9150	Midden-Europese kalkminnende beukenbossen behorende tot het Cephalanthero-Fagion	kalkminnende beukenbossen
Bossen en struwelen	9160	Sub-Atlantische en Midden-Europese wintereikenbossen of eiken-haagbeukbossen behorend tot het Carpinion-betuli	eiken-haagbeukenbossen
Bossen en struwelen	9190	Oude zuurminnende eikenbossen op zandvlakten met Quercus robur	oude eiken-berkenbossen
Bossen en struwelen	91E0_sf	wilgenvloedbos (zachthoutooibos; Salicetum albae)	wilgenvloedbos
Bossen en struwelen	91E0_va	beekbegeleidend vogelkers-essenbos en essen-iepenbos (Pruno-Fraxinetum)	beekbegeleidend bos
Bossen en struwelen	91E0_vc	goudveil-essenbos (Carici-Remotae fraxinetum)	goudveil-essenbos
Bossen en struwelen	91E0_vm	mesotroof broekbos op minder voedselrijke standplaatsen (Carici elongatae-Alnetum)	mesotroof broekbos
Bossen en struwelen	91E0_vn	ruigt-elzenbos (Filipendulo-Alnetum, Macrophorbio-Alnetum, Cirsio-Alnetum)	ruigt-elzenbos
Bossen en struwelen	91E0_vo	oligotroof broekbos, inclusief elzen-berkenbroekbos en berkenbroekbos (Carici laevigata-Alnetum)	oligotroof broekbos
Bossen en struwelen	91F0	Gemengde oeverformaties met Quercus robur, Ulmus laevis en Ulmus minor, Fraxinus excelsior of Fraxinus angustifolia, langs de grote rivieren (Ulmenion minoris)	hardhoutooibossen
Bossen en struwelen	rbbppm	structuurrijk, oud bestand van grove den	structuurrijk, oud bestand van grove den
Bossen en struwelen	rbbsf	moerasbos van breedbladige wilgen	moerasbos van breedbladige wilgen
Bossen en struwelen	rbbso	vochtig wilgenstruweel op venige en zure grond	vochtig wilgenstruweel op venige of zure grond
Bossen en struwelen	rbbsp	doornstruweel	doornstruweel
