loc_code	date_sampling	variable	unit	loq
5547	14273	2	1	0.1
5547	14273	3	2	0.012
5547	14301	3	2	0.012
5547	14328	1	1	0.05
5547	14328	2	1	0.06
5547	14328	3	2	0.012
5547	14362	1	1	0.1
5547	14362	2	1	0.06
5547	14362	3	2	0.012
5547	14390	1	1	0.1
5547	14390	2	1	0.06
5547	14390	3	2	0.012
5547	14419	3	2	0.012
5547	14453	2	1	0.06
5547	14453	3	2	0.012
5547	14515	2	1	0.06
5547	14544	2	1	0.06
5547	14573	2	1	0.06
5547	14599	2	1	0.06
5547	14599	3	2	0.012
9547	13166	1	1	0.27
9547	13230	1	1	0.27
9547	13230	3	2	0.005
9547	13278	3	2	0.018
9547	13362	1	1	0.08
9547	13362	2	1	0.23
9547	13411	1	1	0.27
9547	13411	2	1	0.23
9549	13166	1	1	0.27
9549	13230	1	1	0.27
9549	13230	3	2	0.005
9549	13278	3	2	0.005
9549	13362	2	1	0.77
9549	13411	3	2	0.005
9549	13460	1	1	0.27
33385	16876	3	2	0.007
33385	17087	1	1	0.07
38402	14719	3	2	0.024
38402	14747	1	1	0.05
38402	14781	1	1	0.05
38402	14781	2	1	0.06
38402	14781	3	2	0.012
38402	14810	3	2	0.012
38402	14872	1	1	0.05
38402	14956	3	2	0.024
38402	15049	2	1	0.06
38402	15083	1	1	0.1
38402	15083	3	2	0.012
38402	15112	1	1	0.1
38402	15146	1	1	0.1
38402	15146	3	2	0.024
38402	15174	1	1	0.05
38434	14670	1	1	0.16
38434	15083	1	1	0.05
38434	15083	3	2	0.024
38434	15112	1	1	0.1
38434	15146	1	1	0.1
38434	15146	2	1	0.06
38434	15174	1	1	0.05
38434	15208	1	1	0.1
38434	15300	3	2	0.024
40649	13895	3	2	0.03
40649	13923	3	2	0.07
40649	14013	1	1	0.1
40649	14013	3	2	0.03
40649	14042	1	1	0.1
40649	14042	3	2	0.07
40649	14069	1	1	0.05
40649	14069	3	2	0.07
40649	14109	1	1	0.05
40649	14109	3	2	0.07
40649	14139	1	1	0.05
40649	14139	3	2	0.07
40649	14168	1	1	0.1
40649	14168	3	2	0.04
40649	14200	1	1	0.1
40649	14200	3	2	0.04
40649	14221	3	2	0.04
40649	14371	3	2	0.024
40649	14405	3	2	0.012
40649	14438	1	1	0.1
40649	14468	1	1	0.05
40649	14497	1	1	0.05
40649	14497	3	2	0.012
40649	14558	1	1	0.05
45938	13544	3	2	0.01
45938	13593	1	1	0.2
45938	13593	3	2	0.03
45938	13621	1	1	0.2
45938	13649	3	2	0.07
45938	13682	3	2	0.07
45938	13769	1	1	0.2
45938	13831	3	2	0.07
47686	10974	3	2	0.15
47686	11033	3	2	0.15
47686	11073	3	2	0.15
47686	11136	3	2	0.15
47686	11165	3	2	0.15
47686	11192	3	2	0.15
47686	11222	3	2	0.15
47686	11249	3	2	0.15
47686	11270	3	2	0.15
47686	11298	3	2	0.15
47686	11353	3	2	0.15
47686	11375	3	2	0.15
47686	11408	3	2	0.15
47686	11437	3	2	0.15
47686	11470	3	2	0.15
47686	11499	3	2	0.15
47686	11523	3	2	0.15
47686	11556	3	2	0.15
47686	11590	3	2	0.15
47686	11619	3	2	0.15
47686	11653	3	2	0.15
47686	11796	3	2	0.15
47686	11834	1	1	0.04
47686	11834	3	2	0.15
47686	11894	3	2	0.15
47686	11925	3	2	0.15
47686	11954	3	2	0.15
47686	11988	3	2	0.15
47686	12016	3	2	0.15
47686	12042	3	2	0.15
47686	12068	3	2	0.15
47686	12096	3	2	0.15
47686	12124	3	2	0.15
47686	12177	3	2	0.15
47686	12205	3	2	0.15
47686	12235	3	2	0.15
47686	12276	1	1	0.11
47686	12276	3	2	0.15
47686	12305	3	2	0.15
47686	12335	1	1	0.11
47686	12335	3	2	0.15
47686	12369	3	2	0.15
47686	12396	3	2	0.15
47686	12423	3	2	0.15
47686	12541	1	1	0.11
47686	12541	3	2	0.039
47686	12572	1	1	0.11
47686	12600	1	1	0.11
47686	12600	3	2	0.039
47686	12642	1	1	0.11
47686	12674	1	1	0.11
47686	12674	3	2	0.039
47686	12704	1	1	0.2
47686	12704	3	2	0.039
47686	12730	1	1	0.2
47686	12730	3	2	0.07
47686	12759	3	2	0.039
47686	12880	3	2	0.07
47686	12912	1	1	0.2
47686	12912	3	2	0.07
47686	12941	1	1	0.06
47686	12941	3	2	0.07
47686	13003	1	1	0.2
47686	13033	1	1	0.2
47686	13033	3	2	0.07
47686	13066	1	1	0.06
47686	13066	3	2	0.039
47686	13094	1	1	0.2
47686	13094	3	2	0.07
47686	13277	1	1	0.06
47686	13277	3	2	0.07
47686	13312	3	2	0.03
47686	13335	1	1	0.2
47686	13335	3	2	0.07
47686	13368	1	1	0.2
47686	13368	3	2	0.07
47686	13403	1	1	0.2
47686	13403	3	2	0.07
47686	13431	1	1	0.2
47686	13431	3	2	0.03
73328	14833	1	1	0.05
73328	15049	2	1	0.06
73328	15083	3	2	0.012
73328	15146	1	1	0.1
73328	15174	1	1	0.05
84207	17773	2	1	0.4
84207	17864	2	1	0.4
103391	14126	1	1	0.1
103391	14188	2	1	0.06
103391	14398	1	1	0.05
103391	14461	2	1	0.1
104298	16253	3	2	0.015
104298	16447	1	1	0.16
111617	11222	1	1	0.04
111617	12096	3	2	0.15
111617	12205	3	2	0.15
111617	12276	2	1	0.21
111617	12276	3	2	0.15
111617	12325	1	1	0.52
111617	12325	2	1	0.48
111617	12325	3	2	0.05
111617	12361	1	1	0.52
111617	12361	3	2	0.09
111617	12396	3	2	0.15
111617	12402	1	1	0.52
111617	12402	3	2	0.09
111617	12689	3	2	0.018
111617	12704	1	1	0.2
111617	12704	3	2	0.07
111617	13110	2	1	0.77
111617	13110	3	2	0.018
111617	13248	3	2	0.039
111617	13311	3	2	0.07
123453	16175	1	1	0.1
123453	16268	1	1	0.1
123453	16301	1	1	0.1
123453	16330	1	1	0.1
123453	16357	1	1	0.1
123453	16618	1	1	0.04
123453	16709	2	1	0.4
123478	14718	1	1	0.1
123478	14746	1	1	0.1
123478	14776	1	1	0.1
123478	14833	1	1	0.05
123478	14833	3	2	0.024
123478	14867	1	1	0.05
123530	14833	1	1	0.1
123530	14833	3	2	0.024
123530	15082	1	1	0.1
123530	15082	3	2	0.012
123530	15175	1	1	0.05
123530	15204	1	1	0.1
123530	15232	1	1	0.1
123530	15302	3	2	0.024
123559	15448	3	2	0.024
123559	15937	1	1	0.1
123559	16268	1	1	0.1
123574	12061	3	2	0.15
123574	12118	3	2	0.15
123574	12146	3	2	0.15
123574	12184	3	2	0.15
123574	12213	3	2	0.15
123574	12244	3	2	0.15
123574	12269	3	2	0.15
123574	12298	3	2	0.15
123574	12328	1	1	0.11
123574	12328	3	2	0.15
123574	12389	3	2	0.15
123574	12424	3	2	0.15
123574	12545	1	1	0.16
123574	12545	3	2	0.039
123574	12576	1	1	0.16
123574	12605	1	1	0.11
123574	12605	3	2	0.02
123574	12663	1	1	0.11
123574	12695	1	1	0.2
123574	12725	3	2	0.07
123574	12913	3	2	0.07
123574	13000	1	1	0.06
123574	13000	3	2	0.07
123574	13032	1	1	0.2
123574	13032	3	2	0.07
123574	13060	1	1	0.06
123574	13060	3	2	0.039
123574	13091	3	2	0.07
123574	13192	3	2	0.039
123574	13279	3	2	0.07
123574	13311	1	1	0.2
123574	13341	1	1	0.2
123574	13369	1	1	0.2
123574	13369	3	2	0.07
123574	13398	1	1	0.2
123574	13427	1	1	0.06
123574	13427	3	2	0.03
123574	13458	1	1	0.06
123717	13886	3	2	0.03
123717	13916	3	2	0.03
123717	13944	3	2	0.07
123717	13986	1	1	0.05
123717	13986	3	2	0.07
123717	14004	1	1	0.05
123717	14004	3	2	0.03
123717	14047	1	1	0.1
123717	14047	3	2	0.07
123717	14076	1	1	0.1
123717	14076	3	2	0.03
123717	14105	1	1	0.1
123717	14105	3	2	0.07
123717	14137	1	1	0.1
123717	14137	3	2	0.07
123717	14166	1	1	0.1
123717	14166	3	2	0.04
123717	14196	3	2	0.04
123717	14225	3	2	0.07
123717	14291	3	2	0.024
123717	14350	3	2	0.012
123717	14377	1	1	0.1
123717	14377	3	2	0.024
123717	14410	1	1	0.1
123717	14410	3	2	0.012
123717	14442	3	2	0.012
123717	14501	1	1	0.05
123717	14501	3	2	0.024
123729	14789	1	1	0.05
123729	14789	3	2	0.012
123729	15050	1	1	0.1
123729	15082	1	1	0.05
123729	15082	3	2	0.012
123729	15111	3	2	0.024
123729	15147	3	2	0.012
123729	15175	1	1	0.05
123729	15175	3	2	0.024
123729	15204	1	1	0.05
123729	15204	3	2	0.012
123729	15232	1	1	0.05
123729	15267	1	1	0.05
123729	15267	3	2	0.024
123729	15302	1	1	0.1
123729	15302	3	2	0.024
124018	17763	2	1	0.2
124018	17792	2	1	0.4
124176	13522	1	1	0.17
124176	13544	3	2	0.01
143464	15083	3	2	0.012
144009	17658	2	1	0.2
166730	17336	2	1	0.4
166730	17394	2	1	0.4
166730	17394	4	2	0.01
174514	14775	1	1	0.08
174514	14798	1	1	0.08
174514	14798	2	1	0.2
174514	15099	2	1	0.4
174514	15141	2	1	0.2
174514	15169	1	1	0.08
174514	15169	2	1	0.4
174514	15190	2	1	0.2
174514	15224	1	1	0.16
