loc_code	date_sampling	variable	unit	loq
174514	15253	2	1	0.2
180396	17619	2	1	0.2
180396	17660	2	1	0.2
180396	17773	2	1	0.2
180396	17864	2	1	0.2
203454	15370	3	2	0.024
203454	15944	1	1	0.1
203454	16120	1	1	0.1
203454	16120	3	2	0.015
203454	16239	1	1	0.1
203454	16609	2	1	0.4
204986	11439	2	1	0.07
204986	11558	2	1	0.07
204986	12436	2	1	0.41
204986	12527	2	1	0.21
204986	12583	2	1	0.21
204986	12706	3	2	0.07
204986	12738	3	2	0.07
204986	12768	3	2	0.07
204986	12857	3	2	0.07
204986	12941	2	1	0.1
204986	12969	2	1	0.1
204986	13025	2	1	0.06
204986	13361	2	1	0.06
206652	12790	3	2	0.07
206652	12886	1	1	0.2
206652	12976	1	1	0.06
206652	12976	3	2	0.039
206652	13034	1	1	0.2
206652	13066	1	1	0.2
206717	15502	3	2	0.024
206717	15971	1	1	0.1
206717	16169	1	1	0.1
206717	16258	1	1	0.1
206717	16295	1	1	0.1
212371	16903	1	1	0.04
212371	17045	1	1	0.07
212371	17259	1	1	0.07
213836	13916	3	2	0.07
213836	13951	3	2	0.07
213836	14133	1	1	0.1
213836	14133	3	2	0.07
213836	14189	3	2	0.07
213836	14224	1	1	0.1
213836	14224	3	2	0.04
213910	12884	1	1	0.2
213910	12884	3	2	0.039
218390	13537	3	2	0.07
218390	13565	1	1	0.2
218390	13565	3	2	0.07
218390	13592	1	1	0.2
218390	13592	3	2	0.07
218390	13621	1	1	0.2
218390	13621	3	2	0.07
218390	13662	3	2	0.07
218390	13690	3	2	0.03
218390	13741	1	1	0.2
218390	13741	3	2	0.07
218390	13781	1	1	0.2
218390	13781	3	2	0.03
218390	13803	3	2	0.07
218390	13837	3	2	0.03
218390	13866	3	2	0.07
218803	13970	1	1	0.1
218803	13970	3	2	0.07
218803	14005	1	1	0.1
218803	14005	3	2	0.07
218803	14032	1	1	0.1
218803	14062	1	1	0.1
218803	14109	1	1	0.1
218803	14368	1	1	0.1
218803	14403	1	1	0.1
218803	14431	1	1	0.1
224975	13564	1	1	0.2
224975	13593	1	1	0.2
224975	13621	1	1	0.2
224975	13621	3	2	0.07
224975	13649	3	2	0.07
224975	13682	1	1	0.2
224975	13710	1	1	0.2
224975	13739	1	1	0.2
224975	13769	1	1	0.2
224975	13801	1	1	0.2
224975	13831	3	2	0.07
225005	16688	1	1	0.07
225005	16755	2	1	0.4
228080	15203	2	1	0.1
238515	13795	1	1	0.17
241434	15090	3	2	0.024
241434	15118	1	1	0.1
241434	15189	1	1	0.05
241434	15231	1	1	0.1
241434	15285	1	1	0.05
241434	15285	2	1	0.06
241434	15285	3	2	0.012
241552	13916	3	2	0.07
241552	13951	3	2	0.07
241552	13979	3	2	0.07
241552	14007	3	2	0.07
241552	14133	3	2	0.07
241552	14189	3	2	0.07
241552	14224	3	2	0.07
241620	16245	1	1	0.1
241620	16245	3	2	0.015
252505	17785	1	1	0.05
255415	13535	1	1	0.2
255415	13535	3	2	0.07
255415	13550	1	1	0.2
255415	13550	3	2	0.03
255415	13587	3	2	0.07
255415	13620	1	1	0.06
255415	13620	3	2	0.03
255415	13636	1	1	0.2
255415	13636	3	2	0.03
255415	13671	1	1	0.2
255415	13671	3	2	0.03
255415	13726	1	1	0.2
255415	13726	3	2	0.03
255415	13760	1	1	0.2
255415	13760	3	2	0.03
255415	13825	1	1	0.05
255415	13825	3	2	0.03
255415	13846	3	2	0.07
260186	17729	1	1	0.05
