loc_code	date_sampling	variable	value	below_loq	loq
1	17700	1	0.09	0	NA
1	17700	2	0.38	0	NA
1	17700	3	0.0205	0	NA
1	17743	1	NA	1	0.05
1	17743	2	0.25	0	NA
1	17743	3	0.0533	0	NA
1	17770	1	NA	1	0.05
1	17770	2	0.17	0	NA
1	17770	3	0.1119	0	NA
1	17876	1	0.15	0	NA
1	17876	2	0.35	0	NA
1	17876	3	0.0216	0	NA
2	16587	1	0.24	0	NA
2	16587	2	1.2	0	NA
2	16587	3	NA	1	0.02
2	16622	1	0.1	0	NA
2	16622	2	1.07	0	NA
2	16622	3	NA	1	0.02
2	16644	1	NA	1	0.05
2	16644	2	1.45	0	NA
2	16644	3	0.044	0	NA
2	16672	1	NA	1	0.05
2	16672	2	0.53	0	NA
2	16672	3	NA	1	0.02
2	16700	1	NA	1	0.05
2	16700	2	0.48	0	NA
2	16700	3	NA	1	0.02
2	16735	1	0.13	0	NA
2	16735	2	0.64	0	NA
2	16735	3	0.02	0	NA
2	16762	1	0.3	0	NA
2	16762	2	0.41	0	NA
2	16762	3	0.03	0	NA
2	16804	1	0.32	0	NA
2	16804	2	0.55	0	NA
2	16804	3	NA	1	0.02
2	16833	1	0.2	0	NA
2	16833	2	1.28	0	NA
2	16833	3	NA	1	0.02
2	16861	1	0.15	0	NA
2	16861	2	2.18	0	NA
2	16861	3	NA	1	0.02
2	16895	1	0.08	0	NA
2	16895	2	2.22	0	NA
2	16895	3	NA	1	0.02
2	16923	1	0.13	0	NA
2	16923	2	2.07	0	NA
2	16923	3	NA	1	0.02
3	17336	1	NA	1	0.05
3	17336	2	0.26	0	NA
3	17336	3	0.086	0	NA
3	17372	1	0.08	0	NA
3	17372	2	0.16	0	NA
3	17372	3	0.136	0	NA
3	17399	1	0.08	0	NA
3	17399	2	0.37	0	NA
3	17399	3	0.121	0	NA
3	17434	1	NA	1	0.05
3	17434	2	0.14	0	NA
3	17434	3	0.054	0	NA
3	17448	1	0.06	0	NA
3	17448	2	0.29	0	NA
3	17448	3	0.1401	0	NA
3	17490	1	0.25	0	NA
3	17490	2	0.3	0	NA
3	17490	3	0.0776	0	NA
3	17533	1	0.51	0	NA
3	17533	2	0.44	0	NA
3	17533	3	0.0508	0	NA
3	17560	1	0.3	0	NA
3	17560	2	0.69	0	NA
3	17560	3	0.084	0	NA
3	17602	1	NA	1	0.05
3	17602	2	0.18	0	NA
3	17602	3	0.087	0	NA
3	17624	1	NA	1	0.05
3	17624	2	0.13	0	NA
3	17624	3	0.043	0	NA
3	17673	1	0.14	0	NA
3	17673	2	0.4	0	NA
3	17673	3	0.0911	0	NA
4	17336	1	0.12	0	NA
4	17336	2	0.35	0	NA
4	17336	3	0.142	0	NA
4	17372	1	0.41	0	NA
4	17372	2	0.31	0	NA
4	17372	3	0.219	0	NA
4	17399	1	0.65	0	NA
4	17399	2	0.54	0	NA
4	17399	3	0.129	0	NA
4	17434	1	NA	1	0.05
4	17434	2	0.81	0	NA
4	17434	3	0.082	0	NA
4	17448	1	0.12	0	NA
4	17448	2	0.43	0	NA
4	17448	3	0.1263	0	NA
4	17490	1	0.18	0	NA
4	17490	2	0.24	0	NA
4	17490	3	0.0418	0	NA
4	17533	1	0.26	0	NA
4	17533	2	0.33	0	NA
4	17533	3	0.1028	0	NA
4	17560	1	NA	1	0.05
4	17560	2	0.3	0	NA
4	17560	3	0.085	0	NA
4	17602	1	NA	1	0.05
4	17602	2	0.17	0	NA
4	17602	3	0.062	0	NA
4	17624	1	NA	1	0.05
4	17624	2	0.17	0	NA
4	17624	3	0.038	0	NA
4	17673	1	NA	1	0.05
4	17673	2	0.31	0	NA
4	17673	3	0.2295	0	NA
5	17336	1	0.28	0	NA
5	17336	2	0.39	0	NA
5	17336	3	0.439	0	NA
5	17372	1	0.26	0	NA
5	17372	2	0.21	0	NA
5	17372	3	0.288	0	NA
5	17399	1	NA	1	0.05
5	17399	2	0.2	0	NA
5	17399	3	0.192	0	NA
5	17434	1	NA	1	0.05
5	17434	2	1.55	0	NA
5	17434	3	0.093	0	NA
5	17448	1	0.08	0	NA
5	17448	2	0.74	0	NA
5	17448	3	0.1382	0	NA
5	17490	1	0.05	0	NA
5	17490	2	0.26	0	NA
5	17490	3	0.1641	0	NA
5	17533	1	0.2	0	NA
5	17533	2	0.9	0	NA
5	17533	3	0.0405	0	NA
5	17560	1	0.05	0	NA
5	17560	2	0.46	0	NA
5	17560	3	0.128	0	NA
5	17602	1	NA	1	0.05
5	17602	2	0.38	0	NA
5	17602	3	0.13	0	NA
5	17624	1	NA	1	0.05
5	17624	2	0.17	0	NA
5	17624	3	0.076	0	NA
5	17673	1	0.14	0	NA
5	17673	2	0.74	0	NA
5	17673	3	0.4998	0	NA
6	17336	1	0.12	0	NA
6	17336	2	0.22	0	NA
6	17336	3	0.03	0	NA
6	17372	1	NA	1	0.05
6	17372	2	0.14	0	NA
6	17372	3	0.046	0	NA
6	17400	1	NA	1	0.05
6	17400	2	0.12	0	NA
6	17400	3	0.03	0	NA
6	17434	1	NA	1	0.05
6	17434	2	0.11	0	NA
6	17434	3	0.021	0	NA
6	17448	1	NA	1	0.05
6	17448	2	0.15	0	NA
6	17448	3	0.0575	0	NA
6	17490	1	NA	1	0.05
6	17490	2	0.19	0	NA
6	17490	3	0.0261	0	NA
6	17533	1	0.05	0	NA
6	17533	2	0.17	0	NA
6	17533	3	NA	1	0.02
6	17560	1	NA	1	0.05
6	17560	2	0.13	0	NA
6	17560	3	NA	1	0.02
6	17602	1	NA	1	0.05
6	17602	2	0.22	0	NA
6	17602	3	0.025	0	NA
6	17624	1	NA	1	0.05
6	17624	2	0.1	0	NA
6	17624	3	NA	1	0.02
6	17673	1	0.14	0	NA
6	17673	2	0.38	0	NA
6	17673	3	NA	1	0.02
7	17336	1	1.7	0	NA
7	17336	2	0.37	0	NA
7	17336	3	0.149	0	NA
7	17372	1	1.69	0	NA
7	17372	2	0.3	0	NA
7	17372	3	0.085	0	NA
7	17400	1	1.94	0	NA
7	17400	2	0.36	0	NA
7	17400	3	0.112	0	NA
7	17434	1	1.39	0	NA
7	17434	2	0.37	0	NA
7	17434	3	0.177	0	NA
7	17448	1	1.64	0	NA
7	17448	2	0.47	0	NA
7	17448	3	0.0804	0	NA
7	17490	1	2.09	0	NA
7	17490	2	0.48	0	NA
7	17490	3	0.2072	0	NA
7	17533	1	1.19	0	NA
7	17533	2	0.52	0	NA
7	17533	3	0.0266	0	NA
7	17560	1	0.55	0	NA
7	17560	2	0.65	0	NA
7	17560	3	0.058	0	NA
7	17602	1	NA	1	0.05
7	17602	2	0.43	0	NA
7	17602	3	0.232	0	NA
7	17624	1	NA	1	0.05
7	17624	2	0.22	0	NA
7	17624	3	0.054	0	NA
7	17673	1	2.26	0	NA
7	17673	2	0.46	0	NA
7	17673	3	0.0961	0	NA
8	16196	1	NA	1	0.1
8	16196	2	0.18	0	NA
8	16223	1	NA	1	0.1
8	16223	2	0.18	0	NA
8	16251	1	NA	1	0.1
8	16251	2	0.29	0	NA
8	16287	1	NA	1	0.1
8	16287	2	0.21	0	NA
8	16322	1	0.17	0	NA
8	16322	2	0.55	0	NA
8	16364	1	NA	1	0.1
8	16364	2	0.16	0	NA
9	16573	1	0.18	0	NA
9	16573	2	0.28	0	NA
9	16573	3	0.0575	0	NA
9	16595	1	0.12	0	NA
9	16595	2	0.49	0	NA
9	16595	3	0.054	0	NA
9	16629	1	0.11	0	NA
9	16629	2	0.31	0	NA
9	16629	3	0.133	0	NA
9	16664	1	NA	1	0.05
9	16664	2	0.6	0	NA
9	16664	3	0.0232	0	NA
9	16685	1	NA	1	0.05
9	16685	2	0.1	0	NA
9	16685	3	NA	1	0.02
9	16720	1	0.045	0	NA
9	16720	2	0.33	0	NA
9	16720	3	0.02	0	NA
9	16748	1	0.11	0	NA
9	16748	2	0.88	0	NA
9	16748	3	0.0343	0	NA
9	16777	1	0.08	0	NA
9	16777	2	0.42	0	NA
9	16777	3	NA	1	0.02
9	16819	1	0.05	0	NA
9	16819	2	0.29	0	NA
9	16819	3	0.0239	0	NA
9	16846	1	0.06	0	NA
9	16846	2	0.39	0	NA
9	16846	3	0.0289	0	NA
9	16874	1	NA	1	0.05
9	16874	2	0.13	0	NA
9	16874	3	0.0203	0	NA
9	16909	1	NA	1	0.05
9	16909	2	NA	1	0.1
9	16909	3	0.0297	0	NA
9	16938	1	0.08	0	NA
9	16938	2	NA	1	0.1
9	16938	3	0.0575	0	NA
10	17785	1	NA	1	0.05
10	17785	2	0.1	0	NA
10	17785	3	NA	1	0.02
11	17827	1	0.1	0	NA
11	17827	2	0.5	0	NA
11	17827	3	0.02	0	NA
12	17344	1	NA	1	0.05
12	17344	2	0.18	0	NA
12	17344	3	NA	1	0.02
12	17372	1	NA	1	0.05
12	17372	2	0.14	0	NA
12	17372	3	NA	1	0.02
12	17386	1	NA	1	0.05
12	17386	2	0.14	0	NA
12	17386	3	NA	1	0.02
12	17435	1	NA	1	0.05
12	17435	2	0.12	0	NA
12	17435	3	NA	1	0.02
12	17455	1	0.05	0	NA
12	17455	2	0.19	0	NA
12	17455	3	0.0351	0	NA
12	17497	1	NA	1	0.05
12	17497	2	0.24	0	NA
12	17497	3	0.027	0	NA
12	17546	1	0.38	0	NA
12	17546	2	0.66	0	NA
12	17546	3	0.028	0	NA
12	17560	1	0.22	0	NA
12	17560	2	0.9	0	NA
12	17560	3	NA	1	0.02
12	17602	1	NA	1	0.05
12	17602	2	0.55	0	NA
12	17602	3	0.076	0	NA
12	17644	1	NA	1	0.05
12	17644	2	0.16	0	NA
12	17644	3	0.0375	0	NA
12	17680	1	0.05	0	NA
12	17680	2	0.13	0	NA
12	17680	3	0.0314	0	NA
13	17344	1	NA	1	0.05
13	17344	2	0.17	0	NA
13	17344	3	NA	1	0.02
13	17372	1	NA	1	0.05
13	17372	2	0.11	0	NA
13	17372	3	NA	1	0.02
13	17386	1	0.05	0	NA
13	17386	2	0.15	0	NA
13	17386	3	NA	1	0.02
13	17435	1	NA	1	0.05
13	17435	2	0.11	0	NA
