type	spatvar_estimate	spatvar_se	spatvar_generalized
1310_pol	0.0885155604122806	0.00116221398979763	0.0823884939864469
1310_zk	0.0587269183357845	0.000948284509137577	0.0611569742310549
1310_zv	0.0338030973145885	0.000431919327876616	0.0276753571268414
1320	0.0602437253058627	0.00109128216675489	0.0611569742310549
1330_da	0.0603777425012876	0.000909573686766347	0.0611569742310549
1330_hpr	0.0719237652229674	0.00102579595486185	0.0823884939864469
2130_had	0.0166796936560079	0.00029094528984728	0.0158665824987986
2130_hd	0.0150534713415893	0.00021544218247066	0.0158665824987986
2160	0.0255900875182664	0.000478455848401512	0.0276753571268414
2170	0.0276917479852086	0.000546390687064302	0.0276753571268414
2180	0.0233658863550645	0.00046270279167699	0.0276753571268414
2190_mp	0.0137493451546037	0.000162323577459568	0.0137493451546037
2190_overig	0.0279259664610789	0.000781082304165026	0.0276753571268414
3270	0.0627538970183718	0.000958758879262759	0.0611569742310549
4010	0.135973503964309	0.00158398531410093	0.149069942045921
rbbsm	0.0915791084210922	0.00137901384779575	0.0874445638677777
6230_hmo	0.0955058540229997	0.0012526873098915	0.0955058540229997
6410_mo	0.107254171596395	0.0015427483521809	0.104619722840144
6410_ve	0.151746559975271	0.00202163590731955	0.149069942045921
6430_bz	0.132274437716776	0.00147912406485727	0.135093825587187
6430_hf	0.08848263532111	0.00129755776002683	0.0823884939864469
6430_hw	0.249878941146443	0.00259839750394186	0.241667175339601
6430_mr	0.223097075970293	0.00282044012083017	0.241667175339601
6510_hua	0.0601836336029053	0.00118096879456411	0.0555663709387488
6510_hus	0.0486384614909903	0.00102252763803739	0.0555663709387488
rbbhc	0.0805300938574362	0.00111731764123909	0.0823884939864469
rbbhf	0.0803455308401825	0.00104689544745104	0.0823884939864469
rbbhfl	0.0997164152377574	0.00124718599192919	0.104619722840144
rbbkam	0.0641999227480808	0.00122193065907316	0.0641999227480808
rbbvos	0.0593927864638848	0.00124167151012433	0.0555663709387488
rbbzil	0.0845333782647044	0.00121090158027416	0.0823884939864469
7140_base	0.105919544004728	0.00138640904240817	0.105919544004728
7140_meso	0.0990460852611881	0.00134576254245202	0.0971057147251452
7140_mrd	0.0771061718554904	0.00124364331699971	0.0802235012567316
7140_oli	0.0636825879939679	0.000872587943890724	0.0611569742310549
7150	0.112687874855302	0.00165940296209978	0.104619722840144
7210	0.0999582756283648	0.00144831896179668	0.0971057147251452
7220	0.0958638940103427	0.0012571944926803	0.0971057147251452
7230	0.0759939862487038	0.00121490563469928	0.0802235012567316
rbbmc	0.0803019832032269	0.00116431125872404	0.0874445638677777
rbbmr	0.155147934304628	0.00260018520914126	0.155147934304628
rbbms	0.0904525999790139	0.00117972495241663	0.0874445638677777
9130_end	0.0497962408204368	0.00062254069640316	0.0555663709387488
9130_fm	0.137913213457599	0.00149824492869802	0.135093825587187
9160	0.0525479056102276	0.00062195129012432	0.0555663709387488
9190	0.0969269428767838	0.00122466145674741	0.0995752773891755
91E0_sf	0.252025508902067	0.00244632359618737	0.241667175339601
91E0_va	0.062839197644048	0.000773755131404337	0.0555663709387488
91E0_vc	0.0473652503461567	0.000492221759934955	0.0473652503461567
91E0_vm	0.0875703456660004	0.00125662925015936	0.0802235012567316
91E0_vn	0.0988204296711226	0.00154600181975769	0.104619722840144
91E0_vo	0.093554604000685	0.0011621628485569	0.0971057147251452
rbbppm	0.102223611901567	0.0014510965401383	0.0995752773891755
rbbsf	0.147537205135273	0.00172382538651828	0.149069942045921
rbbso	0.161022499108832	0.00197304565801915	0.149069942045921
