scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	typegroup	power_conf80	power_conf90	p_power_conf80_0.8_	p_power_conf90_0.9_
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	0.933333333333333	0.8
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S07	1	14	592	330040	592/330040	GW_05.1_terr_group1	0 (0 | 0.2)	0 (0 | 0.07)	0.2	0.0666666666666667
GW_05.1_terr_S07	1	14	592	330040	592/330040	GW_05.1_terr_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_terr_S07	1	14	592	330040	592/330040	GW_05.1_terr_group3	0 (0 | 0.2)	0 (0 | 0)	0.0666666666666667	0.0666666666666667
GW_05.1_terr_S07	1	14	592	330040	592/330040	GW_05.1_terr_group4	0.2 (0 | 0.43)	0 (0 | 0.27)	0.133333333333333	0.0666666666666667
GW_05.1_terr_S07	1	14	592	330040	592/330040	GW_05.1_terr_group5	0 (0 | 0.2)	0 (0 | 0)	0.0666666666666667	0
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (0.93 | 1)	1	0.733333333333333
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	0.933333333333333	0.933333333333333
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S10	1	20	832	330040	832/330040	GW_05.1_terr_group1	0 (0 | 0.3)	0 (0 | 0.03)	0.2	0.0666666666666667
GW_05.1_terr_S10	1	20	832	330040	832/330040	GW_05.1_terr_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_terr_S10	1	20	832	330040	832/330040	GW_05.1_terr_group3	0.07 (0 | 0.33)	0 (0 | 0)	0.0666666666666667	0.0666666666666667
GW_05.1_terr_S10	1	20	832	330040	832/330040	GW_05.1_terr_group4	0.07 (0 | 0.47)	0 (0 | 0.17)	0.2	0.133333333333333
GW_05.1_terr_S10	1	20	832	330040	832/330040	GW_05.1_terr_group5	0 (0 | 0.13)	0 (0 | 0)	0.133333333333333	0
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (0.93 | 1)	1	0.8
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	0.933333333333333	0.933333333333333
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	GW_05.1_terr_group1	0 (0 | 0.2)	0 (0 | 0.03)	0.2	0.133333333333333
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	GW_05.1_terr_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	GW_05.1_terr_group3	0 (0 | 0.4)	0 (0 | 0)	0.0666666666666667	0.0666666666666667
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	GW_05.1_terr_group4	0 (0 | 0.53)	0 (0 | 0.07)	0.2	0.133333333333333
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	GW_05.1_terr_group5	0 (0 | 0.1)	0 (0 | 0)	0.133333333333333	0
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (0.93 | 1)	1	0.733333333333333
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	0.933333333333333	0.933333333333333
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	1	1
