scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	typegroup	power_conf80	power_conf90	p_power_conf80_0.8_	p_power_conf90_0.9_
GW_05.1_terr_S01	1	7	311	330040	311/330040	GW_05.1_terr_group1	0.07 (0 | 0.27)	0 (0 | 0.13)	0.0666666666666667	0
GW_05.1_terr_S01	1	7	311	330040	311/330040	GW_05.1_terr_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_terr_S01	1	7	311	330040	311/330040	GW_05.1_terr_group3	0.07 (0.03 | 0.3)	0 (0 | 0.1)	0.0666666666666667	0
GW_05.1_terr_S01	1	7	311	330040	311/330040	GW_05.1_terr_group4	0.13 (0 | 0.3)	0 (0 | 0.13)	0.133333333333333	0
GW_05.1_terr_S01	1	7	311	330040	311/330040	GW_05.1_terr_group5	0 (0 | 0.17)	0 (0 | 0.03)	0.0666666666666667	0
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (0.77 | 1)	0.866666666666667	0.533333333333333
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	0.933333333333333	0.933333333333333
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	GW_05.1_terr_group4	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	GW_05.1_terr_group5	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_terr_S04	1	10	434	330040	434/330040	GW_05.1_terr_group1	0 (0 | 0.27)	0 (0 | 0.07)	0.2	0
GW_05.1_terr_S04	1	10	434	330040	434/330040	GW_05.1_terr_group2	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_terr_S04	1	10	434	330040	434/330040	GW_05.1_terr_group3	0 (0 | 0.3)	0 (0 | 0.07)	0.0666666666666667	0
GW_05.1_terr_S04	1	10	434	330040	434/330040	GW_05.1_terr_group4	0.13 (0.03 | 0.57)	0 (0 | 0.23)	0.133333333333333	0.0666666666666667
GW_05.1_terr_S04	1	10	434	330040	434/330040	GW_05.1_terr_group5	0 (0 | 0.17)	0 (0 | 0)	0.0666666666666667	0
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	GW_05.1_terr_group1	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	GW_05.1_terr_group2	1 (1 | 1)	1 (0.8 | 1)	0.933333333333333	0.666666666666667
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	GW_05.1_terr_group3	1 (1 | 1)	1 (1 | 1)	1	1
