scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	statistic	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0206278629081361	0.0174255293859521	0.0235539127341568	1	1
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group2	0.0156162599672582	0.0128673842819517	0.0183518658895423	1	1
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0210641481792752	0.0178155724559367	0.0248781777136369	1	1
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group4	0.122456058764731	0.0578084426401882	0.1942890289979	0.345447800864968	0.0812488165732152
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group5	0.0179626280717864	0.0146508375532379	0.0211374034140675	1	1
GW_05.1_aq_S02	2	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0210320497945565	0.0179186958770631	0.0236624509087772	1	1
GW_05.1_aq_S02	2	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group2	0.0158063656792914	0.0132503951353209	0.0185740199230809	1	1
GW_05.1_aq_S02	2	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0215993943246687	0.0185116563297744	0.0249159804965389	1	1
GW_05.1_aq_S02	2	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group4	0.128747304246182	0.0589812760160667	0.203762353330616	0.311102378240825	0.0826859838445106
GW_05.1_aq_S02	2	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group5	0.017661322039967	0.0139071816577316	0.0209055710592794	1	1
GW_05.1_aq_S03	3	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0209504617609959	0.0177498962478177	0.0235325472632815	1	1
GW_05.1_aq_S03	3	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group2	0.0162505536727103	0.013119803908895	0.0193021871925235	1	1
GW_05.1_aq_S03	3	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0216275992418889	0.0180666139367439	0.0252467737371292	1	1
GW_05.1_aq_S03	3	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group4	0.134982423655482	0.0580358648500211	0.220545832451319	0.295525850862908	0.0815726525176751
GW_05.1_aq_S03	3	20	121	6081	121/6081	twosided_errmarg90	GW_05.1_aq_group5	0.0183011748179797	0.0146459576996249	0.0215612583520078	1	1
GW_05.1_aq_S04	1	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0145890121970416	0.013049028536356	0.0158769493419087	1	1
GW_05.1_aq_S04	1	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group2	0.0112259456347537	0.00977260876027049	0.0127670762985344	1	1
GW_05.1_aq_S04	1	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0148533026251263	0.0129836042347196	0.0168100232306461	1	1
GW_05.1_aq_S04	1	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group4	0.0931577830525472	0.0597090103140529	0.127925786010753	0.608758251518812	0.0606769360037806
GW_05.1_aq_S04	1	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group5	0.012131462378787	0.0105066169608166	0.0136692633747256	1	1
GW_05.1_aq_S05	2	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0147209049229919	0.0130032752696221	0.0161131202479193	1	1
GW_05.1_aq_S05	2	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group2	0.011415854081652	0.00999813116871433	0.0127979720930625	1	1
GW_05.1_aq_S05	2	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0150177910372227	0.0131064231323427	0.0169495057659419	1	1
GW_05.1_aq_S05	2	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group4	0.0910794545205484	0.0560153543823641	0.126368692974878	0.648097058221206	0.0824669474328191
GW_05.1_aq_S05	2	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group5	0.0122355679929715	0.0106593072157106	0.0138739788352874	1	1
GW_05.1_aq_S06	3	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0147594863740696	0.0131851066878348	0.0161253546701813	1	1
GW_05.1_aq_S06	3	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group2	0.0114833044506211	0.010160097703622	0.0129753131428359	1	1
GW_05.1_aq_S06	3	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0154434767004061	0.0136840068443	0.0171635174423536	1	1
GW_05.1_aq_S06	3	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group4	0.0956328454894882	0.0612381503012065	0.130298933609544	0.576759147725472	0.050234208597158
GW_05.1_aq_S06	3	40	221	6081	221/6081	twosided_errmarg90	GW_05.1_aq_group5	0.0123874793241177	0.0107873571019898	0.014080739652523	1	1
GW_05.1_aq_S07	1	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0104533872361191	0.00954580790514938	0.0111218050746682	1	1
GW_05.1_aq_S07	1	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group2	0.00798033341519922	0.00734930459693957	0.00869791061630848	1	1
GW_05.1_aq_S07	1	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0105487569743622	0.00961417904120584	0.0113879881319753	1	1
GW_05.1_aq_S07	1	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group4	0.0666422454972126	0.0487412540260218	0.084951018017069	0.981699804369221	0.133359310046751
GW_05.1_aq_S07	1	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group5	0.00995715236809052	0.00873319704692593	0.0108819931213831	1	1
GW_05.1_aq_S08	2	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0105878246544896	0.00963311022025942	0.0112575913706113	1	1
GW_05.1_aq_S08	2	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group2	0.00817246109546749	0.00745628856793619	0.00889624192340474	1	1
GW_05.1_aq_S08	2	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0106782774848451	0.00986144590854583	0.0115049399955754	1	1
GW_05.1_aq_S08	2	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group4	0.0700137394832634	0.0503733876530722	0.0892779701605791	0.969848827999998	0.101600164902681
GW_05.1_aq_S08	2	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group5	0.0100404482803236	0.00888226571943932	0.0110125205657033	1	1
GW_05.1_aq_S09	3	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group1	0.0106770817588108	0.00973879528816119	0.0114004234990419	1	1
GW_05.1_aq_S09	3	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group2	0.00823726467691086	0.00757607175650436	0.00893963923077272	1	1
GW_05.1_aq_S09	3	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group3	0.0108327876254976	0.00987886331408054	0.0117633639485775	1	1
GW_05.1_aq_S09	3	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group4	0.0693976879595694	0.0512482533498124	0.0891579688808848	0.963929561700259	0.103306480699444
GW_05.1_aq_S09	3	80	397	6081	397/6081	twosided_errmarg90	GW_05.1_aq_group5	0.010096207248536	0.00887174445681461	0.0110784469323371	1	1
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90_rel	GW_05.1_aq_group1	0.257285616198495	0.183056551154757	0.350355360338936	0.0066176414924636	0.0000407615718783878
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90_rel	GW_05.1_aq_group2	0.554274893154024	0.309935029906117	1.01107464488213	0.00536603716219339	0.00187157326150237
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90_rel	GW_05.1_aq_group3	0.221021478964498	0.170946083680552	0.282038714171997	0.00125888497732343	0.0000100753462449798
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90_rel	GW_05.1_aq_group4	0.183564489226399	0.0871025294549235	0.3027608045927	0.157476347497642	0.0398277852145144
GW_05.1_aq_S01	1	20	121	6081	121/6081	twosided_errmarg90_rel	GW_05.1_aq_group5	13.9208582355137	0.483584235780426	60.2263558879871	0.033786163257917	0.0310439335224605
GW_05.1_aq_S02	2	20	121	6081	121/6081	twosided_errmarg90_rel	GW_05.1_aq_group1	0.206293904215508	0.163021614708132	0.257457004963517	0.00973024598147471	0.00000114029251827232
