type	spatvar_estimate	spatvar_se	spatvar_generalized
1310_pol	0.421932471604258	0.00277185668814428	0.420217517508636
1310_zk	0.350772130286847	0.00215688916030162	0.349901828777025
1310_zv	0.252814934880044	0.00163125352320985	0.251728805457163
1320	0.349210548533047	0.00203683081245877	0.349901828777025
1330_da	0.353529246076959	0.00249203379027388	0.349901828777025
1330_hpr	0.418502563413013	0.00239817128877743	0.420217517508636
2130_had	0.174836178704548	0.0010763723170742	0.169772104556582
2130_hd	0.164708030408615	0.00103817645890452	0.169772104556582
2160	0.288991428786741	0.00257637080399945	0.289572033933979
2170	0.260378917006366	0.00222341708561188	0.251728805457163
2180	0.296310905239277	0.00275706254849415	0.289572033933979
2190_mp	0.171042986410686	0.00208661999730688	0.171042986410686
2190_overig	0.34309943821725	0.00297908122692619	0.339121982345257
3270	0.368715662022267	0.00253477170646683	0.381251667288135
4010	0.473987385740346	0.00261773363134913	0.470189789263406
rbbsm	0.409540684439187	0.00211623704063309	0.407158633076341
6230_hmo	0.256372957496184	0.00161768813410917	0.251728805457163
6410_mo	0.466042823757856	0.00288554980806455	0.470189789263406
6410_ve	0.499312333018241	0.00307232524506802	0.49997537249337
6430_bz	0.22544922894412	0.00154668833859804	0.22544922894412
6430_hf	0.453688417324481	0.00287432026392841	0.455638530177736
6430_hw	0.455259049094685	0.0027956851354901	0.455638530177736
6430_mr	0.475418091195148	0.00254680779171733	0.470189789263406
6510_hua	0.285896754271643	0.00207950118695597	0.289572033933979
6510_hus	0.286483492222533	0.00231893665057639	0.289572033933979
rbbhc	0.460370283942158	0.00339992938030423	0.455638530177736
rbbhf	0.45796132636659	0.00264828569888197	0.455638530177736
rbbhfl	0.495473887470097	0.00299548316249596	0.49997537249337
rbbkam	0.212529291517944	0.00140537589199898	0.206466672214324
rbbvos	0.290177589149701	0.00241082607052797	0.289572033933979
rbbzil	0.436203392193038	0.00288934479156793	0.436203392193038
7140_base	0.420243131975597	0.00256882075818628	0.416394488438725
7140_meso	0.418201841821631	0.00246395760787608	0.416394488438725
7140_mrd	0.412764533023246	0.00260064273499769	0.416394488438725
7140_oli	0.311841223585856	0.00273233909469325	0.311841223585856
7150	0.465310856360275	0.00252192657547115	0.470189789263406
7210	0.415544197471071	0.00240307106501563	0.416394488438725
7220	0.410329973545462	0.00277501888435042	0.416394488438725
7230	0.42128325279534	0.00222199724207896	0.416394488438725
rbbmc	0.410610622925173	0.002629432330672	0.407158633076341
rbbmr	0.39399810372538	0.00235747728460095	0.407158633076341
rbbms	0.414485121215624	0.00215323666836355	0.407158633076341
9130_end	0.244334618386684	0.00153037899570176	0.251728805457163
9130_fm	0.187552541370576	0.00115596874891173	0.186321938300666
9160	0.244742599516535	0.00180866001837468	0.251728805457163
9190	0.185091335230756	0.00106103936435819	0.186321938300666
91E0_sf	0.453872108989858	0.00256258909944022	0.455638530177736
91E0_va	0.335144526473264	0.00232407468354673	0.339121982345257
91E0_vc	0.346095390211248	0.00214680129506834	0.349901828777025
91E0_vm	0.387051614324738	0.00223014303822356	0.381251667288135
91E0_vn	0.452679995348643	0.00294262307788458	0.455638530177736
91E0_vo	0.3879877255174	0.00235732397487658	0.381251667288135
rbbppm	0.200404052910704	0.00114296529885932	0.206466672214324
rbbsf	0.484262832315952	0.0029921382839867	0.484262832315952
rbbso	0.505139896991772	0.00317632624709623	0.49997537249337
