scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	statistic	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group4	0.134053963360933	0.10403483263452	0.171171760164635	0.0934298959195551	0.000153483228841384
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90	GW_05.1_terr_group5	0.11168703308038	0.0698693911983114	0.17607866929158	0.452865021944092	0.0478388977107476
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0457217628072112	0.040597092424354	0.050286736384169	1	0.877130896304013
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0745184136391159	0.0539941921860107	0.101231029491799	0.899099232110561	0.0773294487571889
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0574913708671852	0.0523209942034974	0.0629073394774053	1	0.041201575895951
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group4	0.111091959649551	0.091920120623214	0.13209004650201	0.259918763892282	0.00000556114063125806
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0930422921644909	0.0603188266576979	0.128812545645839	0.60006852072053	0.0511451563787357
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0464490344330702	0.0417017981530815	0.0510053995789285	1	0.839719357212449
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group2	0.076586362150222	0.0549093085075091	0.102920045620582	0.876052684733148	0.0688398040644095
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0584438431118754	0.0535409902853958	0.0636710598923814	1	0.0256697888868251
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group4	0.110878981602262	0.0921092572633128	0.131729197501327	0.242896606512465	0.0000230339207231471
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0947570621664553	0.0647536233026058	0.130471751355948	0.619035715100475	0.0299902326806377
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0468609392123458	0.0423180612395742	0.0515686346929785	1	0.810136174929731
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0764765372715754	0.0566529145184089	0.103149431907889	0.880482442341633	0.0466931957256986
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0595214332152787	0.0540023533762121	0.0649401013145264	1	0.017628965522593
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group4	0.113475540311679	0.0936348135863233	0.136505867415933	0.215126123895014	0.0000247227865591718
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0944406856880099	0.0656399753017379	0.126511868986838	0.622826876726564	0.0282818268417039
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0389479995117192	0.0357314418562916	0.042093767344464	1	0.9999844111337
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0622036451183889	0.0480984139139009	0.07978918458134	0.989905228135513	0.183113029387876
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0475310057748153	0.0446294180709991	0.0505584720778135	1	0.845665581511823
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group4	0.0914053457109255	0.0794748748574687	0.102944856679555	0.817469878638624	0.0000357012739379741
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0753678226131583	0.0569642514919692	0.0955574587365271	0.93275367344379	0.0381104282909431
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0391733241578	0.0354359057221764	0.0427193940475281	1	0.999982785298303
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0626214230987448	0.048636249238777	0.0813186834303615	0.986324834296785	0.164136406082661
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0480572757376579	0.0448694850144402	0.051256985376036	1	0.782223925597668
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group4	0.091834207803563	0.0803563495978793	0.104846008514388	0.817269571637426	0.0000000208319268011563
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0757966099613273	0.0576222211918419	0.0983129971443816	0.910836052657334	0.0427179319254847
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0397416235899588	0.0365351963493944	0.0431346274191103	1	0.999634815072358
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0639504182267078	0.0492363448302343	0.0804587128350455	0.995797763382763	0.120964892973533
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0491585568081752	0.0461659013650026	0.0518508863892808	1	0.651743377153373
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group4	0.0929212494181866	0.0796950738352918	0.105569808305464	0.771846061901035	0.00000937106161157284
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0760006066556299	0.0584584783956307	0.0958929591309068	0.938427233988447	0.0321548167683044
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0274908416902436	0.0258730454033486	0.0289859910693324	1	1
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0445591793971473	0.0368704667503994	0.0520554034644984	1	0.813593967968416
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0335987901808081	0.0321285843491677	0.0351674589633754	1	1
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group4	0.0652242505478379	0.0599876680146071	0.0714506995897411	0.999999999999978	0.000317169059952688
GW_05.1_terr_S13	1	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group5	0.054497686609155	0.0462892182947522	0.0643679713175001	0.999999999995573	0.280462419910968
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0275864646321133	0.0259481608597689	0.0290043320885982	1	1
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0451797895681797	0.0375399139155863	0.0533981647270909	0.999999999999999	0.763492771032802
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0341738692475504	0.0326514834532377	0.0355801169228522	1	1
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group4	0.0656102048699363	0.0602865251409842	0.071872169670015	1	0.000339507461784144
GW_05.1_terr_S14	1.2	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group5	0.0545123656014157	0.0454888953027217	0.0636289702886998	0.999999999994611	0.291868362504607
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group1	0.0278841097709483	0.0262337050515942	0.0293852134700058	1	1
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group2	0.0457321097895053	0.0381501540956195	0.0549710646322658	0.999999999836106	0.754989842584995
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group3	0.0348354131349913	0.0331529571945872	0.0363463449414724	1	1
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group4	0.0661456554591969	0.0607392731022856	0.0725748490543813	0.999999999999921	0.000126017698145645
GW_05.1_terr_S15	1.5	40	1594	330040	1594/330040	twosided_errmarg90	GW_05.1_terr_group5	0.054525745400615	0.0458493544957192	0.0649522497842559	0.999999925771959	0.29090506762119
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.105669418446448	0.0876934106540246	0.123893824284833	0.35861409464074	0.0000529046974613289
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.109240339938564	0.0679700465001617	0.183609336357014	0.531167882983937	0.0286359260051908
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0877468620214093	0.0763257218795245	0.100187153748904	0.902211907376548	0.0000212255214870965
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.103872042679394	0.0770062250278953	0.137298621436779	0.483646177013859	0.00697593158324064
GW_05.1_terr_S01	1	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.109598549886062	0.0694500560461555	0.171103500283842	0.494257004993698	0.0337686733802277
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.101171428424049	0.0855960729039663	0.118123977491601	0.484707004741344	0.0000309508310171588
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.103699564459981	0.0659193624462031	0.170420280982509	0.604472355037151	0.025741734378244
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0830139310402712	0.0714213943427882	0.0953942677721027	0.954702759113363	0.000446771591363299
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0955609710866862	0.0732883301776857	0.119379208468727	0.596844075529874	0.00354711109174003
GW_05.1_terr_S02	1.2	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.108263406224357	0.0657580008012394	0.169360740715676	0.489638964069301	0.0438491577855546
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.093541905971899	0.0777177257011915	0.110835765144208	0.729837498188637	0.00153561938431213
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0940275149142861	0.0601178756911124	0.154273144081735	0.68060296177698	0.048371099593305
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0791900748828511	0.068586513255782	0.0904754951851863	0.985313007974811	0.000438345965606979
