scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,typegroup,power_conf80,power_conf90,p_power_conf80_0.8_,p_power_conf90_0.9_
GW_05.1_aq_S01,1,20,140,6081,140/6081,GW_05.1_aq_group1,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S01,1,20,140,6081,140/6081,GW_05.1_aq_group2,0 (0 | 0.2),0 (0 | 0),0,0
GW_05.1_aq_S01,1,20,140,6081,140/6081,GW_05.1_aq_group3,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S01,1,20,140,6081,140/6081,GW_05.1_aq_group4,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S01,1,20,140,6081,140/6081,GW_05.1_aq_group5,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S02,2,20,140,6081,140/6081,GW_05.1_aq_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S02,2,20,140,6081,140/6081,GW_05.1_aq_group2,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S02,2,20,140,6081,140/6081,GW_05.1_aq_group3,1 (1 | 1),1 (1 | 1),1,0.8
GW_05.1_aq_S02,2,20,140,6081,140/6081,GW_05.1_aq_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S02,2,20,140,6081,140/6081,GW_05.1_aq_group5,1 (0 | 1),0 (0 | 0.8),0.6,0.2
GW_05.1_aq_S03,3,20,140,6081,140/6081,GW_05.1_aq_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S03,3,20,140,6081,140/6081,GW_05.1_aq_group2,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S03,3,20,140,6081,140/6081,GW_05.1_aq_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S03,3,20,140,6081,140/6081,GW_05.1_aq_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S03,3,20,140,6081,140/6081,GW_05.1_aq_group5,1 (0 | 1),1 (0 | 1),0.6,0.6
GW_05.1_aq_S04,1,40,259,6081,259/6081,GW_05.1_aq_group1,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S04,1,40,259,6081,259/6081,GW_05.1_aq_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S04,1,40,259,6081,259/6081,GW_05.1_aq_group3,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S04,1,40,259,6081,259/6081,GW_05.1_aq_group4,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S04,1,40,259,6081,259/6081,GW_05.1_aq_group5,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S05,2,40,259,6081,259/6081,GW_05.1_aq_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S05,2,40,259,6081,259/6081,GW_05.1_aq_group2,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S05,2,40,259,6081,259/6081,GW_05.1_aq_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S05,2,40,259,6081,259/6081,GW_05.1_aq_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S05,2,40,259,6081,259/6081,GW_05.1_aq_group5,1 (0 | 1),0 (0 | 0.8),0.6,0.2
GW_05.1_aq_S06,3,40,259,6081,259/6081,GW_05.1_aq_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S06,3,40,259,6081,259/6081,GW_05.1_aq_group2,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S06,3,40,259,6081,259/6081,GW_05.1_aq_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S06,3,40,259,6081,259/6081,GW_05.1_aq_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S06,3,40,259,6081,259/6081,GW_05.1_aq_group5,1 (0 | 1),1 (0 | 1),0.6,0.6
GW_05.1_aq_S07,1,80,472,6081,472/6081,GW_05.1_aq_group1,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S07,1,80,472,6081,472/6081,GW_05.1_aq_group2,0 (0 | 0),0 (0 | 0),0.2,0
GW_05.1_aq_S07,1,80,472,6081,472/6081,GW_05.1_aq_group3,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S07,1,80,472,6081,472/6081,GW_05.1_aq_group4,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S07,1,80,472,6081,472/6081,GW_05.1_aq_group5,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_aq_S08,2,80,472,6081,472/6081,GW_05.1_aq_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S08,2,80,472,6081,472/6081,GW_05.1_aq_group2,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S08,2,80,472,6081,472/6081,GW_05.1_aq_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S08,2,80,472,6081,472/6081,GW_05.1_aq_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S08,2,80,472,6081,472/6081,GW_05.1_aq_group5,1 (0 | 1),0 (0 | 1),0.6,0.4
GW_05.1_aq_S09,3,80,472,6081,472/6081,GW_05.1_aq_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S09,3,80,472,6081,472/6081,GW_05.1_aq_group2,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S09,3,80,472,6081,472/6081,GW_05.1_aq_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S09,3,80,472,6081,472/6081,GW_05.1_aq_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_aq_S09,3,80,472,6081,472/6081,GW_05.1_aq_group5,1 (0 | 1),1 (0 | 1),0.6,0.6
