type,spatvar_estimate,spatvar_se,spatvar_generalized
1310_pol,0.597963909000294,0.0103005984332906,0.604534823733175
1330_hpr,0.600139492698445,0.0104583929287587,0.604534823733175
2190_a,0.638958747441158,0.0163589600258744,0.638937614819367
2190_mp,0.630753712050605,0.0168147595274266,0.638937614819367
2190_overig,0.632041230266426,0.0154952320804422,0.638937614819367
3110,0.384665367760012,0.00769963424147649,0.393723801722844
3130_aom,0.421857305582635,0.014277068780208,0.427309957090564
3130_na,0.390508700429045,0.00805042696244571,0.393723801722844
3140,0.507350884160671,0.0153861386645898,0.517071942434366
3150,0.477331560651371,0.0133505912553954,0.476120644148664
3160,0.386339855598632,0.00769672639339116,0.393723801722844
3260,0.433656980356049,0.0136538232417699,0.427309957090564
rbbah,0.603501671298809,0.0121410519981446,0.604534823733175
4010,0.390008016948159,0.00853640207168376,0.393723801722844
rbbsm,0.383142097773928,0.00810354463154152,0.393723801722844
6230_hmo,0.404756503123525,0.0197303922874717,0.393723801722844
6410_mo,0.490402320223636,0.0215472244840584,0.476120644148664
6410_ve,0.401553456648276,0.0164930054713153,0.393723801722844
6430_hf,0.517015030658483,0.0179253186539897,0.517071942434366
6430_hw,0.496411931862486,0.0170697631202052,0.476120644148664
6510_hu,0.595575923808684,0.0215173709476519,0.604534823733175
6510_hua,0.624032195246386,0.0152166263320874,0.604534823733175
6510_hus,0.570609214842254,0.029809783038794,0.561260125117935
rbbhc,0.526764444696776,0.0172589262786935,0.517071942434366
rbbhf,0.515478716884368,0.0170701575960532,0.517071942434366
rbbhfl,0.394655748654613,0.00825662079345804,0.393723801722844
rbbkam,0.648487763340158,0.0230194989049573,0.638937614819367
rbbvos,0.644446620998488,0.0265223550484638,0.638937614819367
rbbzil,0.616770962143975,0.0205500724107825,0.604534823733175
7140_base,0.462108037424111,0.0209560343286227,0.476120644148664
7140_meso,0.399208510587401,0.00862961706801103,0.393723801722844
7140_mrd,0.531015353706166,0.0200273630322935,0.517071942434366
7140_oli,0.383688772329218,0.00801979877132569,0.393723801722844
7150,0.387552400066645,0.00814041331492912,0.393723801722844
7210,0.402870952362045,0.0101867825039213,0.393723801722844
7220,0.423798189742107,0.0170411548325643,0.427309957090564
7230,0.436951748845963,0.0159740359578147,0.427309957090564
rbbmc,0.551467448826965,0.0198189256972706,0.561260125117935
rbbmr,0.593759611935631,0.0222228615767143,0.604534823733175
rbbms,0.39442084605974,0.0088682070961887,0.393723801722844
9120,0.487679263518298,0.0192992324324073,0.476120644148664
9130_end,0.409925469964949,0.0132591990062767,0.393723801722844
9130_fm,0.383337427257143,0.0106261820653735,0.393723801722844
9160,0.46036847900795,0.0197980590165706,0.476120644148664
9190,0.397917418984894,0.0087775935853802,0.393723801722844
91E0_sf,0.569237552696095,0.0123727484454992,0.561260125117935
91E0_va,0.504450738388878,0.0238863574589698,0.517071942434366
91E0_vc,0.420285560926068,0.0127000928232812,0.427309957090564
91E0_vm,0.458542916352796,0.0123090480658495,0.476120644148664
91E0_vn,0.553839281025483,0.0189032865748016,0.561260125117935
91E0_vo,0.400466369654368,0.0089865885346165,0.393723801722844
rbbsf,0.517428428545219,0.0157550209484779,0.517071942434366
rbbso,0.392010516808601,0.00845584246435357,0.393723801722844
rbbsp,0.561147128198877,0.0208522838331949,0.561260125117935
