scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,statistic,typegroup,avg,pctile_l,pctile_u,p_stat_0.1_,p_stat_0.05_
GW_05.1_aq_S01,1,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group1,0.119084633158803,0.0897466839030911,0.146154256782939,0.291713126473333,0.00541289204681592
GW_05.1_aq_S01,1,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group2,0.0952547501017303,0.0781568960123268,0.114181416460574,0.650154881485681,0.0177835216032035
GW_05.1_aq_S01,1,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group3,0.0973796086752953,0.0755245025150416,0.120634652285163,0.526817599214828,0.00843709792417873
GW_05.1_aq_S01,1,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group4,0.0839885222271513,0.0688591474582324,0.0989438205106207,0.859847376895054,0.0169749812001486
GW_05.1_aq_S01,1,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group5,0.0818918711178746,0.0490349856537452,0.11135883094889,0.726172905368176,0.173226533348818
GW_05.1_aq_S02,2,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group1,0.138687084053164,0.0962778592951192,0.181939800102526,0.171854663570018,0.0198929118100614
GW_05.1_aq_S02,2,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group2,0.114782204711037,0.0885178549793202,0.137902177850049,0.30541024233802,0.0118013160484199
GW_05.1_aq_S02,2,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group3,0.123477725704651,0.10191847781382,0.147054232343955,0.15608670927463,0.0000567259982384606
GW_05.1_aq_S02,2,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group4,0.100315978066774,0.0795114907804332,0.124670683433881,0.602212469743705,0.0017286126934515
GW_05.1_aq_S02,2,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group5,0.0951341392425976,0.0682950439220795,0.123147358486721,0.624407435875081,0.0576300139071369
GW_05.1_aq_S03,3,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group1,0.168008916815653,0.135639224643405,0.196976311600615,0.0504036006925541,0.00398257913145841
GW_05.1_aq_S03,3,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group2,0.146668228522227,0.116294301816917,0.188385797059439,0.0808644857731602,0.0141447595241061
GW_05.1_aq_S03,3,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group3,0.137523284023607,0.112863080702996,0.160281900570791,0.0720700082626496,0.00117402016084036
GW_05.1_aq_S03,3,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group4,0.107070360677699,0.0818267428770892,0.125489857315374,0.353178090434432,0.014773714621456
GW_05.1_aq_S03,3,20,140,6081,140/6081,twosided_errmarg90,GW_05.1_aq_group5,0.117607951568402,0.0871167374696068,0.161264608724026,0.382724920210301,0.0307826768852012
GW_05.1_aq_S04,1,40,259,6081,259/6081,twosided_errmarg90,GW_05.1_aq_group1,0.085827241277218,0.0722366687261892,0.100640912568144,0.807222156682345,0.000807863827906191
GW_05.1_aq_S04,1,40,259,6081,259/6081,twosided_errmarg90,GW_05.1_aq_group2,0.0716352879032327,0.0627963567482372,0.0813216033636546,0.994890714933239,0.0189520617857043
GW_05.1_aq_S04,1,40,259,6081,259/6081,twosided_errmarg90,GW_05.1_aq_group3,0.0706914222505224,0.060994945014576,0.080170005020724,0.998366822350419,0.0161517580076024
GW_05.1_aq_S04,1,40,259,6081,259/6081,twosided_errmarg90,GW_05.1_aq_group4,0.0583603582529894,0.0485648376942036,0.0691331866048249,0.999999977299983,0.199900612191041
GW_05.1_aq_S04,1,40,259,6081,259/6081,twosided_errmarg90,GW_05.1_aq_group5,0.05830219657035,0.041127816592945,0.0737110443349373,0.998346568215244,0.296226649892756
GW_05.1_aq_S05,2,40,259,6081,259/6081,twosided_errmarg90,GW_05.1_aq_group1,0.102622994881217,0.0841096202512922,0.119224864115725,0.453670504809673,0.000738822892805971
