scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,statistic,typegroup,avg,pctile_l,pctile_u,p_stat_0.15_,p_stat_0.1_,p_stat_0.0015_,p_stat_0.001_,periodicity
GW_03.3_S01,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group1,0.00899089755162876,0.0062430026827783,0.0120802886055308,NA,NA,0.00686550779886193,0.00355290790948514,3
GW_03.3_S01,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group2,0.0122233146720167,0.00713139774807501,0.0193109054951138,NA,NA,0.00470644732191198,0.00319397254596598,3
GW_03.3_S01,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group3,0.0161190928570316,0.0089537582666806,0.0236246106070182,NA,NA,0.00530585286215305,0.00370019255482262,3
GW_03.3_S01,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group4,0.0269492826895851,0.0172214930437842,0.0480570887694028,NA,NA,0.000452818017102697,0.000279481424743047,3
GW_03.3_S02,2,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group1,0.0115552201982398,0.0073425829370127,0.0161500598107859,NA,NA,0.0000022422439402415,0.000000182887112987182,3
GW_03.3_S02,2,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group2,0.0153371175841235,0.00897653371165054,0.0277876107585567,NA,NA,0.000384825729356903,0.000122723267819035,3
GW_03.3_S02,2,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group3,0.0265328721209351,0.0116778455229486,0.0475760534261024,NA,NA,0.00597217436421854,0.00442814657188344,3
GW_03.3_S02,2,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group4,0.0292090167276448,0.0164844173884262,0.0543305693492676,NA,NA,0.000325100973642915,0.000196028135067338,3
GW_03.3_S03,3,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group1,0.0113571295762972,0.00805106776718128,0.0157730303629821,NA,NA,0.00589802260819937,0.00311951845244074,3
GW_03.3_S03,3,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group2,0.0117601877276721,0.00817072892623387,0.0166596836750095,NA,NA,0.00324844955872419,0.00200517793417465,3
GW_03.3_S03,3,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group3,0.0214608297549735,0.0113115188856466,0.0325244867197203,NA,NA,0.00468553938448751,0.00312184611674645,3
GW_03.3_S03,3,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group4,0.0241812412322246,0.0168289791341037,0.0335312114357132,NA,NA,0.000737516314228341,0.000473886027582604,3
GW_03.3_S04,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group1,0.0105499927888352,0.00596986241033011,0.0159125374817367,NA,NA,0.019071689451344,0.0118459255536254,6
GW_03.3_S04,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group2,0.00995683130512882,0.00576634844867183,0.0157181369159099,NA,NA,0.00549539761497181,0.00254708774499836,6
GW_03.3_S04,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group3,0.0198964317862927,0.0107526183689326,0.0332243999259615,NA,NA,0.00464966677826413,0.00326199427890904,6
GW_03.3_S04,1,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group4,0.0288193435037095,0.0152898270633763,0.056216787314069,NA,NA,0.00253356033367761,0.00172879281984432,6
GW_03.3_S05,2,15,656,433606,656/433606,twosided_errmarg90,GW_03.3_group1,0.011980099688396,0.00769241465915159,0.0179634282623432,NA,NA,0.0014937435584367,0.0005578947094452,6
