scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,typegroup,power_conf80,power_conf90,p_power_conf80_0.8_,p_power_conf90_0.9_
GW_05.1_terr_S01,1,7,323,330040,323/330040,GW_05.1_terr_group1,0 (0 | 0.03),0 (0 | 0),0,0
GW_05.1_terr_S01,1,7,323,330040,323/330040,GW_05.1_terr_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S01,1,7,323,330040,323/330040,GW_05.1_terr_group3,0.07 (0 | 0.13),0 (0 | 0.07),0,0
GW_05.1_terr_S01,1,7,323,330040,323/330040,GW_05.1_terr_group4,0 (0 | 0.07),0 (0 | 0),0,0
GW_05.1_terr_S01,1,7,323,330040,323/330040,GW_05.1_terr_group5,0 (0 | 0.23),0 (0 | 0.03),0.0666666666666667,0.0666666666666667
GW_05.1_terr_S02,1.2,7,323,330040,323/330040,GW_05.1_terr_group1,0.67 (0.3 | 0.93),0.27 (0.07 | 0.7),0.4,0.133333333333333
GW_05.1_terr_S02,1.2,7,323,330040,323/330040,GW_05.1_terr_group2,0.07 (0 | 0.13),0 (0 | 0),0,0
GW_05.1_terr_S02,1.2,7,323,330040,323/330040,GW_05.1_terr_group3,0.87 (0.47 | 1),0.67 (0.2 | 0.93),0.6,0.333333333333333
GW_05.1_terr_S02,1.2,7,323,330040,323/330040,GW_05.1_terr_group4,1 (0.8 | 1),0.8 (0.57 | 0.97),0.666666666666667,0.466666666666667
GW_05.1_terr_S02,1.2,7,323,330040,323/330040,GW_05.1_terr_group5,0.53 (0.07 | 0.93),0.27 (0.03 | 0.8),0.466666666666667,0.133333333333333
GW_05.1_terr_S03,1.5,7,323,330040,323/330040,GW_05.1_terr_group1,1 (1 | 1),1 (0.97 | 1),1,1
GW_05.1_terr_S03,1.5,7,323,330040,323/330040,GW_05.1_terr_group2,0.87 (0.43 | 0.87),0.2 (0.1 | 0.57),0.533333333333333,0
GW_05.1_terr_S03,1.5,7,323,330040,323/330040,GW_05.1_terr_group3,1 (1 | 1),1 (0.97 | 1),1,0.866666666666667
GW_05.1_terr_S03,1.5,7,323,330040,323/330040,GW_05.1_terr_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S03,1.5,7,323,330040,323/330040,GW_05.1_terr_group5,1 (1 | 1),1 (0.93 | 1),0.933333333333333,0.8
GW_05.1_terr_S04,1,10,463,330040,463/330040,GW_05.1_terr_group1,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S04,1,10,463,330040,463/330040,GW_05.1_terr_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S04,1,10,463,330040,463/330040,GW_05.1_terr_group3,0.07 (0 | 0.2),0 (0 | 0.03),0,0
GW_05.1_terr_S04,1,10,463,330040,463/330040,GW_05.1_terr_group4,0 (0 | 0.07),0 (0 | 0),0,0
GW_05.1_terr_S04,1,10,463,330040,463/330040,GW_05.1_terr_group5,0 (0 | 0.07),0 (0 | 0),0.133333333333333,0.0666666666666667
GW_05.1_terr_S05,1.2,10,463,330040,463/330040,GW_05.1_terr_group1,0.67 (0.3 | 1),0.4 (0.1 | 0.93),0.4,0.333333333333333
GW_05.1_terr_S05,1.2,10,463,330040,463/330040,GW_05.1_terr_group2,0 (0 | 0.07),0 (0 | 0),0,0
GW_05.1_terr_S05,1.2,10,463,330040,463/330040,GW_05.1_terr_group3,0.87 (0.37 | 1),0.73 (0.1 | 1),0.533333333333333,0.333333333333333
GW_05.1_terr_S05,1.2,10,463,330040,463/330040,GW_05.1_terr_group4,1 (0.87 | 1),1 (0.47 | 1),0.733333333333333,0.6
GW_05.1_terr_S05,1.2,10,463,330040,463/330040,GW_05.1_terr_group5,0.73 (0.13 | 1),0.33 (0 | 0.9),0.466666666666667,0.266666666666667
GW_05.1_terr_S06,1.5,10,463,330040,463/330040,GW_05.1_terr_group1,1 (1 | 1),1 (1 | 1),1,1
