scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group1	0.1566139235748	0.0968618226098034	0.216923864558409	0.147321180549228	0.0121093764342209
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group2	0.131125304586367	0.0862859587629394	0.182152941612855	0.206111063590458	0.0150959384239782
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group3	0.18577601529765	0.117674171895392	0.272117474245279	0.0641835275934249	0.00523237565496524
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group4	0.242278778547631	0.188815616629974	0.314814490900947	0.000475945084827526	0.0000010569324870696
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group5	0.185962041382781	0.112941332780261	0.278674489819386	0.0705798895385047	0.00358686861443567
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group1	0.152277468914726	0.0991428025901152	0.206614758286276	0.130481782353595	0.00698361291529262
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group2	0.125795594718337	0.0846892643970465	0.169560054074772	0.226562038358363	0.00985326337096044
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group3	0.180932869277723	0.117183534172946	0.252097840755381	0.0608034272555519	0.00496407132989597
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group4	0.230124917580699	0.180707951337176	0.293755968023934	0.000468288833067688	0.0000000907302722716773
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group5	0.178563401204298	0.110353986422711	0.273773171358649	0.0952752856865447	0.00659157629600586
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group1	0.158626876936737	0.100887471945865	0.21243567518528	0.11619830869245	0.00721395516823823
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group2	0.127807649581407	0.0907938550044809	0.170466509754756	0.191748808850444	0.00144811668655607
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group3	0.183086153912745	0.11599255820394	0.258229004650439	0.0589209188827765	0.00455542191660073
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group4	0.23214416388351	0.1811001480684	0.295847735677559	0.000699656845188405	0.00000265911233532162
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group5	0.185069707770924	0.111551474531735	0.277009482563917	0.101051734795766	0.00715183191173663
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group1	0.071183928051689	0.0591328633016813	0.0817155417142695	0.980461764848226	0.0311434337955611
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group2	0.0581236296094346	0.0505549573614267	0.0670856166551212	0.99851650995503	0.111618736167015
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group3	0.081313003929431	0.0682925775876755	0.0940210189300071	0.951410045477681	0.00180669014684091
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group4	0.108140732661649	0.0965066981727325	0.119852536179698	0.458855421551677	0.00000000210934944955392
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group5	0.0824488601048931	0.064451819448092	0.101970032462267	0.85817871162948	0.0178356895217093
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group1	0.0703684125585011	0.0581051636191568	0.0814112393221882	0.985538169031393	0.0403949000467602
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group2	0.0574561967462402	0.0490546616756038	0.0669453648085157	1	0.152451129059293
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group3	0.0801791562765691	0.0672920079028218	0.0945341886653027	0.950447329115455	0.00294271840543592
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group4	0.103502226016617	0.0935790220761162	0.114575643276779	0.521168171770828	0.00000000000429557600501464
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group5	0.0802959158593824	0.0645008587336803	0.100557760878771	0.879492967851361	0.0167278122760274
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group1	0.0700462643041192	0.059869589434036	0.080242609521407	0.987442205515063	0.0357733141272717
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group2	0.0580598375058005	0.0495963974964155	0.0660491302684876	1	0.115645272018443
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group3	0.0790487606888129	0.0673980645704029	0.0919997485382774	0.976155947125951	0.00159590702660743
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group4	0.101532809345508	0.0915438997561973	0.111887503740168	0.538200456305514	0.000000000000813839357852507
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group5	0.0806382025180136	0.0665959622742713	0.0949502043572286	0.924556753460398	0.00919998903262732
