scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,statistic,typegroup,avg,pctile_l,pctile_u,p_stat_0.15_,p_stat_0.1_,p_stat_0.006_,p_stat_0.004_,periodicity
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group1,0.0688784470797534,0.0134065049484351,0.201701243727384,NA,NA,0.0673549058843097,0.0406636135883379,3
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group2,0.0967155520641129,0.049498143373043,0.164829817465704,NA,NA,0.00540816315287832,0.00389892446752007,3
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group3,0.196299703866929,0.089706737483758,0.317667977014985,NA,NA,0.00143039091823132,0.0010971499420714,3
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group4,0.173701736218799,0.0942953960460324,0.255995401001311,NA,NA,0.00261237515046373,0.00192103926539111,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group1,0.0300756351938345,0.0149583681452011,0.0563162182876599,NA,NA,0.0212914600946368,0.0123662099447309,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group2,0.0838124012568457,0.0458344441395899,0.138112010469741,NA,NA,0.00741741616383851,0.00467041308442037,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group3,0.17204619089172,0.099765598044891,0.250884437973366,NA,NA,0.00230639350530596,0.00166004580807316,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group4,0.203950339236219,0.0969372812496774,0.397170389941381,NA,NA,0.0025278001586937,0.00196142846757264,3
GW_03.3_S03,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group1,0.0446356955202471,0.0227236175857756,0.0780798333978908,NA,NA,0.0272044402832727,0.0152282660410005,3
GW_03.3_S03,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group2,0.209338741748257,0.0609464365166211,0.479618462685403,NA,NA,0.00826454086991331,0.00642485423699373,3
GW_03.3_S03,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group3,0.21692355305888,0.0978450694076428,0.376743360797271,NA,NA,0.00165210508092402,0.00127448484490854,3
GW_03.3_S03,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group4,0.2096264951448,0.10305031075202,0.390274280461448,NA,NA,0.00162944445389889,0.00118273899794132,3
GW_03.3_S04,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group1,0.0475183835786296,0.0102161115107396,0.0924396345602173,NA,NA,0.05724240092781,0.037867509631482,6
GW_03.3_S04,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group2,0.0939371539363548,0.0276611958603543,0.247358618718412,NA,NA,0.0154279667146808,0.00906960167795734,6
GW_03.3_S04,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group3,0.203698912611177,0.0798748267533139,0.481801515426572,NA,NA,0.00424319536517422,0.00307619492251848,6
GW_03.3_S04,1,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group4,0.130297359541536,0.0744863464074886,0.198701921949641,NA,NA,0.00425012518785679,0.00316501735702901,6
GW_03.3_S05,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group1,0.0408941337358432,0.0164070417423767,0.081723187744228,NA,NA,0.0288338857635156,0.0175956819895405,6
GW_03.3_S05,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group2,0.0949062349100087,0.0448563943940222,0.177030936322685,NA,NA,0.00432696921072193,0.00293620251196086,6
GW_03.3_S05,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group3,0.204615537520847,0.0847674318128084,0.43233446124191,NA,NA,0.00459605235004532,0.00371290426177916,6
GW_03.3_S05,2,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group4,0.126650787796251,0.0790899892873614,0.189747593281282,NA,NA,0.00134203908237137,0.0008876179206063,6
GW_03.3_S06,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group1,0.0503800188581264,0.0178908415647313,0.0898638264856443,NA,NA,0.0254542935562568,0.0170716448439241,6
GW_03.3_S06,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group2,0.0934476858153213,0.0478793319489519,0.150471187800597,NA,NA,0.00891750605459701,0.00587018899567909,6
GW_03.3_S06,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group3,0.283041042899629,0.109249283035351,0.632515162410951,NA,NA,0.00324051713386901,0.0025165502117861,6
GW_03.3_S06,3,15,666,433606,666/433606,twosided_errmarg90,GW_03.3_group4,0.220719698891725,0.0844004304675769,0.504245158869087,NA,NA,0.00512922461848463,0.00390311076825077,6
GW_03.3_S07,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group1,0.0213416601350236,0.0104448973138722,0.0397576253666564,NA,NA,0.0812124616959108,0.0428727386879525,3
GW_03.3_S07,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group2,0.107466865193753,0.0494357807117861,0.185814196029687,NA,NA,0.00782337478409073,0.00598853106041638,3
GW_03.3_S07,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group3,0.151773150480365,0.0912742769817516,0.246170667769919,NA,NA,0.00208185398398236,0.0015093657836422,3
GW_03.3_S07,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group4,0.181364837072172,0.117648573440586,0.267074972747449,NA,NA,0.0000412721235036606,0.0000295737157435239,3
GW_03.3_S08,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group1,0.0263730161356289,0.0157069006424019,0.0393711406732391,NA,NA,0.0208107579642225,0.010216616465846,3
GW_03.3_S08,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group2,0.123829055609813,0.0573008476206637,0.179671880933132,NA,NA,0.00949828236322383,0.00666010134299231,3
GW_03.3_S08,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group3,0.164141674961651,0.0875522635304055,0.26322772373345,NA,NA,0.0020786551348204,0.00150968488762989,3
GW_03.3_S08,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group4,0.184712842464336,0.118586563500436,0.301683171054965,NA,NA,0.00000506599037858736,0.00000336743229125255,3
GW_03.3_S09,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group1,0.0283367921097622,0.0172413570594466,0.0453536528897969,NA,NA,0.00978337700699765,0.00322201514483901,3
GW_03.3_S09,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group2,0.130367087767361,0.0551904787295419,0.251256885945859,NA,NA,0.00558957706679777,0.00390865688957233,3
GW_03.3_S09,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group3,0.170519156100377,0.0895435493504755,0.303904520363185,NA,NA,0.00104309530365131,0.000708102596424626,3
GW_03.3_S09,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group4,0.220671887091862,0.113600915520159,0.393826704227952,NA,NA,0.00183054921807828,0.00137707793676769,3
GW_03.3_S10,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group1,0.0286996832467641,0.0153581203511151,0.0445573937362688,NA,NA,0.0201123201842588,0.00720423187648301,6
GW_03.3_S10,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group2,0.139841905293469,0.064198959141362,0.260238428594287,NA,NA,0.00426689335519673,0.00319196826589924,6
GW_03.3_S10,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group3,0.179302242403233,0.0722120761453979,0.310561528792109,NA,NA,0.0036284338061164,0.00289762470773202,6
GW_03.3_S10,1,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group4,0.143500440736533,0.0977041069773825,0.211181285039941,NA,NA,0.00238758429204254,0.00188663617473364,6
GW_03.3_S11,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group1,0.0433832265349352,0.0182422102876037,0.0890655299017215,NA,NA,0.0317410972745825,0.0181767175197162,6
GW_03.3_S11,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group2,0.115926706584311,0.0682463733187709,0.178498161391571,NA,NA,0.00332554359503413,0.0023911576414149,6
GW_03.3_S11,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group3,0.186814398711563,0.0947156158847432,0.280541691731913,NA,NA,0.00233388208618428,0.00173918019611989,6
GW_03.3_S11,2,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group4,0.196633691484178,0.115185117582015,0.34417169186401,NA,NA,0.00150123935158245,0.00113643240318502,6
GW_03.3_S12,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group1,0.030418791745339,0.0152877012023116,0.0525038423419283,NA,NA,0.0126604567033741,0.00546831472154001,6
GW_03.3_S12,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group2,0.179123397437942,0.0688751720517461,0.39781724433737,NA,NA,0.00832677355109804,0.00641702259537115,6
GW_03.3_S12,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group3,0.241080346068119,0.100667798852325,0.482571044545878,NA,NA,0.00515886692787566,0.00415244090846019,6
GW_03.3_S12,3,30,1269,433606,1269/433606,twosided_errmarg90,GW_03.3_group4,0.284485166270562,0.115474119812089,0.58721733750053,NA,NA,0.00503838577394408,0.00414491147983849,6
GW_03.3_S13,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group1,0.0198926347850112,0.0100515736529314,0.0352633687257931,NA,NA,0.0573529165057084,0.0294797099810056,3
GW_03.3_S13,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group2,0.109494131976742,0.0593794063916899,0.16094353050428,NA,NA,0.00609085977118893,0.00438173648292048,3
GW_03.3_S13,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group3,0.12957638605706,0.0636983007429017,0.180101407894175,NA,NA,0.00113238487047779,0.000780605552011941,3
GW_03.3_S13,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group4,0.149013154766932,0.0851936804883964,0.232257913463237,NA,NA,0.00306024248959353,0.00227194323724174,3
GW_03.3_S14,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group1,0.0377058681976894,0.0121670849177856,0.0767798561199102,NA,NA,0.0383674818220104,0.0213913873861167,3
GW_03.3_S14,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group2,0.103633496181595,0.0589490072253536,0.148883191923597,NA,NA,0.00305536986868498,0.00208036363306845,3
GW_03.3_S14,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group3,0.131017407503425,0.0812250678570067,0.203061043603755,NA,NA,0.00242604773254685,0.00181985999397143,3
GW_03.3_S14,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group4,0.13292213688928,0.0893067324914557,0.185772986729465,NA,NA,0.000702424486016159,0.000505010269567972,3
GW_03.3_S15,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group1,0.0271818522517344,0.0179921512942946,0.0388805222484266,NA,NA,0.000493240965147928,0.00010537089572356,3
GW_03.3_S15,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group2,0.122019265951216,0.065237823292452,0.185635550039084,NA,NA,0.0013888252237579,0.00089681285150065,3
GW_03.3_S15,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group3,0.152367537630935,0.0879357047448235,0.225479336211266,NA,NA,0.00140173023311037,0.0010271731021319,3
GW_03.3_S15,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group4,0.126406279754307,0.08576710877441,0.174303973520848,NA,NA,0.000000514124326277236,0.000000244929390301033,3
GW_03.3_S16,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group1,0.0309366473315847,0.0131296725731478,0.063436788187908,NA,NA,0.023537086406857,0.0116392340080433,6
GW_03.3_S16,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group2,0.0967631221220782,0.0598243911710904,0.159754515063088,NA,NA,0.00245461891790333,0.00172925706514874,6
GW_03.3_S16,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group3,0.131358347172929,0.0668024506148706,0.216831759878675,NA,NA,0.0060615146930268,0.00445126753899005,6
GW_03.3_S16,1,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group4,0.183431688518519,0.0916739275441887,0.336240570077791,NA,NA,0.00308654654201301,0.00231490817025876,6
GW_03.3_S17,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group1,0.046849361088725,0.0139005804386277,0.11525989196801,NA,NA,0.05232033537833,0.0278768735337729,6
GW_03.3_S17,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group2,0.149458838271867,0.0795053811871914,0.233175195341231,NA,NA,0.00339708116036751,0.00246047265385701,6
GW_03.3_S17,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group3,0.173038101794001,0.0976684237855639,0.300809001885421,NA,NA,0.00124517776574915,0.000957334915173833,6
GW_03.3_S17,2,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group4,0.177775841014604,0.117369041134032,0.271081181016258,NA,NA,0.000192731563588368,0.000134886413455407,6
GW_03.3_S18,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group1,0.0444355090561029,0.0205055021023818,0.097654771780739,NA,NA,0.0219060112943686,0.0121465323481002,6
GW_03.3_S18,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group2,0.145449725332094,0.0801259976848184,0.221934050852057,NA,NA,0.00380282296533761,0.00277594453900101,6
GW_03.3_S18,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group3,0.182815661914603,0.112993166801325,0.328333400333573,NA,NA,0.000348855360929467,0.000245752095503168,6
GW_03.3_S18,3,60,2415,433606,2415/433606,twosided_errmarg90,GW_03.3_group4,0.153365254774296,0.115683380663755,0.201879869778172,NA,NA,0.0000883629000887195,0.0000608020334601965,6
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group1,0.465456808323239,0.27170348254171,0.802399295415943,0.039518545577992,0.012521914953375,NA,NA,3
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group2,0.32202855885791,0.253143581422829,0.407531376852899,0.005827624230385,0.000200955417521316,NA,NA,3
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group3,0.340741353910082,0.229717369763681,0.458641507490346,0.0293624574954495,0.013122220648203,NA,NA,3
GW_03.3_S01,1,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group4,0.230230171923192,0.149607466774221,0.308592358402058,0.157135824394829,0.0398984659238315,NA,NA,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group1,0.362964687417481,0.270248014044852,0.473964658549995,0.00574489730236992,0.000910427484816668,NA,NA,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group2,0.278895975007089,0.207622424464259,0.363614735840904,0.0401433458821686,0.0030573615075109,NA,NA,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group3,0.29098461661171,0.215180490646737,0.386232050122733,0.0396006576990111,0.0119890546291288,NA,NA,3
GW_03.3_S02,2,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group4,0.229023058197698,0.142797193059975,0.362223533589156,0.191692937130843,0.0636610881093834,NA,NA,3
GW_03.3_S03,3,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group1,0.432535084710785,0.326868711868494,0.590157414071368,0.0217350129491275,0.0103820787852839,NA,NA,3
GW_03.3_S03,3,15,666,433606,666/433606,twosided_errmarg90_rel,GW_03.3_group2,0.37253271758234,0.223626230581336,0.559509438850835,0.0423980753600083,0.0135336768456523,NA,NA,3
