point_code;polygon_id;descritipton_habitatmap;grts_ranking;hoofdtype;habitattype;type_meetpunt;uitvoer_opname;date_assessment;x;y
10129_1;459480_v2018;100% 9130_end;10129;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;30461,59;174734,11
12665_1;302000_v2023;"70% 9130_end; 30% 91E0_va";12665;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;140861,59;179566,11
15833_1;165686_v2023;100% 9130_end;15833;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;107517,59;161166,11
18321_1;152800_v2023;100% 9130_end;18321;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;32605,59;175854,11
20281_1;136534_v2023;100% 9130_end;20281;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;128893,59;166702,11
21329_1;160274_v2023;100% 9130_end;21329;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;40189,59;164494,11
26273_1;637372_v2014;100% 9130_end;26273;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;77469,59;175886,11
27865_1;636682_v2014;100% 9130_end;27865;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;119549,59;162478,11
29073_1;143142_v2023;100% 9130_end;29073;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;29885,59;170734,11
30873_1;637416_v2014;"90% 9130_end; 10% 91E0_vc";30873;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;103133,59;172142,11
31641_1;160326_v2023;100% 9130_end;31641;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;89405,59;169774,11
31801_1;165247_v2023;100% 9130_end;31801;9130;9130_end;nieuw meetpunt;hoofdtype aanwezig;;122525,59;164494,11
94082_1;596120_v2014;"60% 9120; 40% 9130_fm";94082;9130;9130_fm;nieuw meetpunt;subtype aanwezig;;257821,59;160110,11
290690_1;448566_v2018;"70% 9130_fm; 30% 9160";290690;9130;9130_fm;nieuw meetpunt;subtype aanwezig;;258205,59;159950,11
2326_1;432374_v2023;100% 9160;2326;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;165309,59;186478,11
9458_1;612770_v2014;100% 9160;9458;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;239293,59;175886,11
10694_1;351681_v2016;"85% 9160; 15% 9120";10694;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;163549,59;172846,11
