panel;point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;uitvoer_opname;datum_opname_cyclus1;x;y
1;19510_2;358537_v2020;19510;0;6230;6230_hn;70;bestaand meetpunt;hoofdtype aanwezig;2016-09-08;198481,70;188018,70
1;23086_1;603754_v2014;23086;1;7140;7140_oli;100;bestaand meetpunt;hoofdtype aanwezig;2016-09-19;194717,60;225518,00
1;30418_1;384251_v2018;30418;1;6230;6230_ha;95;nieuw meetpunt;hoofdtype aanwezig;;225917,59;187662,11
1;34374_1;312855_v2016;34374;1;6230;6230_ha;60;nieuw meetpunt;hoofdtype aanwezig;;171165,59;166478,11
1;37557_2;456664_v2016;37557;1;1330;1330_hpr;100;bestaand meetpunt;hoofdtype aanwezig;2015-08-11;64359,60;219885,40
1;58433_2;533727_v2018;58433;1;6230;6230_hn;10;bestaand meetpunt;hoofdtype aanwezig;2016-09-05;76315,40;198871,20
1;59090_1;409732_v2018;59090;1;6230;6230_ha;10;bestaand meetpunt;hoofdtype aanwezig;2016-08-18;224157,70;189710,20
1;64777_1;609005_v2018;64777;1;6230;6230_ha;85;nieuw meetpunt;hoofdtype aanwezig;;118301,60;207886,10
1;65526_1;500336_v2018;65526;1;6230;6230_ha;100;nieuw meetpunt;hoofdtype aanwezig;;187645,60;217102,10
1;77970_1;550302_v2018;77970;1;7140;7140_mrd;90;nieuw meetpunt;hoofdtype aanwezig;;240637,60;208782,10
1;80822_1;380730_v2020;80822;1;7140;7140_meso;80;nieuw meetpunt;hoofdtype aanwezig;;213981,60;196750,10
1;87250_2;421328_v2020;87250;1;6230;6230_hn;20;bestaand meetpunt;hoofdtype aanwezig;2016-09-09;220105,40;196806,70
1;89810_1;409732_v2018;89810;1;6230;6230_ha;10;bestaand meetpunt;hoofdtype aanwezig;2016-08-18;224349,80;189934,10
1;103094_2;485062_v2018;103094;1;7140;7140_meso;20;bestaand meetpunt;hoofdtype aanwezig;2016-09-15;213355,20;187661,10
1;116950_1;519219_v2018;116950;1;6230;6230_ha;100;bestaand meetpunt;hoofdtype aanwezig;2016-09-06;176893,90;217390,20
1;122549_1;455713_v2016;122549;0;1330;1330_hpr;100;nieuw meetpunt;hoofdtype aanwezig;;69597,59;220334,11
1;140241_1;560968_v2018;140241;1;6230;6230_hmo;70;nieuw meetpunt;hoofdtype aanwezig;;50781,59;184270,11
1;141010_1;409732_v2018;141010;1;6230;6230_ha;10;bestaand meetpunt;hoofdtype aanwezig;2016-08-18;223741,60;189870,30
1;143602_2;676708_v2014;143602;1;6410;6410_mo;20;bestaand meetpunt;hoofdtype aanwezig;2016-07-01;235539,30;174929,40
1;170798_2;478575_v2016;170798;1;7140;7140_oli;50;bestaand meetpunt;hoofdtype aanwezig;2016-09-13;196053,90;228213,10
1;176566_1;470286_v2018;176566;0;6230;6230_hn;50;nieuw meetpunt;hoofdtype aanwezig;;205117,59;189678,11
1;183733_1;513665_v2020;183733;1;1330;1330_hpr;100;nieuw meetpunt;hoofdtype aanwezig;;61725,59;220270,11
1;188062_1;560640_v2020;188062;1;6230;6230_hn;80;nieuw meetpunt;hoofdtype aanwezig;;185821,59;219662,11
1;198930_1;629567_v2020;198930;1;6230;6230_hmo;100;nieuw meetpunt;hoofdtype aanwezig;;223773,59;217422,11
1;201938_1;414144_v2020;201938;1;6230;6230_hn;80;nieuw meetpunt;hoofdtype aanwezig;;218749,59;198094,11
1;212661_2;589192_v2016;212661;1;1330;1330_hpr;100;bestaand meetpunt;hoofdtype aanwezig;2015-08-13;69383,70;220909,80
1;225246_1;437242_v2018;225246;0;6230;6230_ha;60;nieuw meetpunt;hoofdtype aanwezig;;159165,59;225550,11
1;226262_1;480577_v2018;226262;1;6230;6230_hn;100;nieuw meetpunt;hoofdtype aanwezig;;179805,59;207438,11
