panel;point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;uitvoer_opname;datum_opname_cyclus1;x;y
1;734_1;557132_v2018;734;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2016-11-18;153661,60;233774,20
1;886_1;475314_v2018;886;0;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;209693,60;208174,10
1;2610_1;589782_v2014;2610;0;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-25;228701,59;183310,17
1;3026_1;562308_v2014;3026;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;228637,55;194030,18
1;5046_1;639358_v2020;5046;1;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;216093,60;200110,10
1;5330_1;414125_v2020;5330;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-16;218781,50;197454,10
1;6182_1;610454_v2014;6182;0;6510;6510_hua;;nieuw meetpunt;hoofdtype aanwezig;;204029,60;159598,10
1;8786_1;559707_v2014;8786;0;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-12;242749,60;192974,10
1;8893_1;447821_v2018;8893;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-03;152797,60;232782,10
1;9938_1;447827_v2018;9938;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-01;223645,60;189070,10
1;10706_1;587326_v2014;10706;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2015-06-01;227869,59;193454,11
1;11218_1;561881_v2014;11218;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-10;230077,56;194510,10
1;11742_1;585677_v2020;11742;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2016-10-27;164701,55;228078,08
1;12274_1;357553_v2020;12274;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-22;239965,59;185454,11
1;13686_1;510064_v2018;13686;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2015-09-10;214493,59;216974,15
1;15070_1;534705_v2016;15070;1;4010;4010;90;bestaand meetpunt;hoofdtype aanwezig;2015-06-26;159101,54;227182,09
1;18546_2;572544_v2014;18546;1;6510;6510_hu;20;bestaand meetpunt;hoofdtype aanwezig;2014-06-05;229727,01;163889,89
1;20086_1;473105_v2018;20086;0;2310;2310;70;nieuw meetpunt;hoofdtype aanwezig;;212797,59;210222,11
1;20178_1;587082_v2014;20178;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-08;223997,62;193678,13
1;20406_1;421372_v2020;20406;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-16;218621,68;196750,10
1;21430_1;594503_v2020;21430;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;216413,53;198957,99
1;21714_1;380704_v2020;21714;1;2330;2330_bu;85;bestaand meetpunt;hoofdtype aanwezig;2014-09-19;219997,65;196526,18
1;23538_1;342371_v2020;23538;1;4010;4010;30;bestaand meetpunt;hoofdtype aanwezig;2014-08-25;240637,72;181550,16
1;23762_1;317096_v2016;23762;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;226109,62;194286,12
1;25974_1;402611_v2018;25974;1;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;213757,59;215182,11
1;26322_1;601212_v2018;26322;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-02;222973,64;188302,12
1;27090_1;409960_v2014;27090;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2015-06-01;227805,55;192878,06
1;27602_1;587432_v2014;27602;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;229373,56;194638,10
1;28126_1;625244_v2020;28126;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2016-10-11;164541,58;227566,07
1;28370_1;472898_v2018;28370;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-28;224925,62;189998,19
1;28658_1;417402_v2020;28658;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-21;240317,63;185614,12
1;29406_1;436632_v2018;29406;1;2330;2330_bu;80;bestaand meetpunt;hoofdtype aanwezig;2014-08-21;154397,52;232526,16
1;29622_1;639303_v2020;29622;1;2310;2310;;bestaand meetpunt;hoofdtype aanwezig;2014-09-08;217117,53;199886,05
1;29654_1;480664_v2018;29654;1;4030;4030;100;nieuw meetpunt;hoofdtype aanwezig;;179869,59;207918,11
1;30290_1;423587_v2020;30290;0;4030;4030;100;nieuw meetpunt;hoofdtype aanwezig;;240541,59;187054,11
1;32466_1;559617_v2014;32466;1;2310;2310;90;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;224797,61;193358,16
1;33718_2;639365_v2020;33718;1;2330;2330_bu;40;bestaand meetpunt;hoofdtype aanwezig;2014-09-02;215229,80;201039,35
1;33985_1;431950_v2018;33985;1;4010;4010;80;nieuw meetpunt;hoofdtype aanwezig;;86717,59;205166,11
1;34514_1;447917_v2018;34514;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-28;225277,54;189806,12
1;35090_1;472781_v2018;35090;1;4010;4010;30;bestaand meetpunt;hoofdtype aanwezig;2015-09-24;223037,73;217262,16
1;35794_1;587162_v2014;35794;1;2310;2310;50;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;228317,55;195246,13
1;37330_1;511456_v2018;37330;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-08-28;231869,55;189646,08
1;38098_1;414172_v2020;38098;1;2310;2310;;bestaand meetpunt;hoofdtype aanwezig;2014-09-17;218973,53;196686,11
1;38545_2;173695_v2020;38545;0;6510;6510_hua;70;bestaand meetpunt;hoofdtype aanwezig;2014-05-30;37918,27;183977,96
1;38610_1;306108_v2016;38610;1;4030;4030;40;nieuw meetpunt;hoofdtype aanwezig;;224573,59;186798,11
1;40054_1;532312_v2018;40054;1;4010;4010;;bestaand meetpunt;hoofdtype aanwezig;2016-11-28;206557,55;212078,07
1;40146_1;565647_v2014;40146;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-09-08;224797,57;195022,14
1;41682_1;559859_v2014;41682;0;4010;4010;100;nieuw meetpunt;hoofdtype aanwezig;;221501,60;190126,10
1;41814_2;614562_v2014;41814;0;6510;6510_hu;100;bestaand meetpunt;hoofdtype aanwezig;2014-06-11;176797,80;191919,60
1;42934_1;414785_v2020;42934;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-10;213949,70;198350,20
1;43230_1;560894_v2018;43230;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2016-11-21;163933,50;226286,10
1;43566_1;474996_v2018;43566;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2015-06-25;195709,50;224462,20
1;43858_1;305226_v2016;43858;1;2330;2330_bu;80;bestaand meetpunt;hoofdtype aanwezig;2014-08-28;237149,60;195662,20
1;44626_1;423933_v2020;44626;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-22;238205,60;186638,10
1;45430_1;533349_v2020;45430;0;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;212157,60;213838,10
1;45790_1;541897_v2016;45790;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-22;154429,70;231822,20
1;46006_1;639290_v2020;46006;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;217789,60;200110,20
1;47446_2;412794_v2020;47446;1;6510;6510_hu;100;bestaand meetpunt;hoofdtype aanwezig;2014-06-13;184126,00;189199,90
1;49782_1;638552_v2020;49782;1;4030;4030;30;nieuw meetpunt;hoofdtype aanwezig;;216861,60;205070,10
1;50102_1;639351_v2020;50102;1;4030;4030;90;bestaand meetpunt;hoofdtype aanwezig;2014-09-02;215933,70;201294,80
1;54482_1;421317_v2020;54482;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-09-22;220445,60;197134,10
1;54994_1;326383_v2016;54994;1;4030;4030;50;bestaand meetpunt;hoofdtype aanwezig;2014-08-29;223869,60;187022,10
1;55058_1;534483_v2016;55058;0;2330;2330_bu;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;218973,60;202734,10
1;55518_1;595830_v2020;55518;1;2330;2330_dw;100;nieuw meetpunt;hoofdtype aanwezig;;162205,60;225326,10
1;57398_1;491960_v2018;57398;1;4030;4030;100;nieuw meetpunt;hoofdtype aanwezig;;194173,60;191950,10
1;59858_1;587386_v2014;59858;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2015-06-01;227805,60;193870,00
1;60894_1;528589_v2018;60894;1;4010;4010;;bestaand meetpunt;hoofdtype aanwezig;2016-11-21;163581,60;226862,10
1;61814_1;473243_v2018;61814;0;2330;2330_bu;60;nieuw meetpunt;hoofdtype aanwezig;;211293,60;214062,10
1;62174_1;474532_v2018;62174;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-03;154109,70;231981,90
1;63270_2;469639_v2018;63270;0;6510;6510_hu;100;bestaand meetpunt;hoofdtype aanwezig;2014-06-06;208031,00;165073,00
1;65234_1;588936_v2014;65234;1;4010;4010;20;bestaand meetpunt;hoofdtype aanwezig;2014-09-02;225949,50;192110,10
1;65522_1;357266_v2020;65522;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-20;239645,60;181774,10
1;66006_1;581131_v2018;66006;1;2310;2310;90;bestaand meetpunt;hoofdtype aanwezig;2014-09-26;177725,60;217902,10
