"","soilclass","threshold_q02","threshold_median","threshold_q98","sigma_q02","sigma_median","sigma_q98"
"1","heavy",6.85212285515057,9.23880987452687,14.9793457983322,55.0964687778249,76.4885879881689,113.913515881811
"2","light",8.52689439753457,11.1812781855286,21.9508536251057,75.8175601101725,103.429182530222,190.2908651433
"3","peat",1.29620603872373,3.26397568512315,27.9100166596931,8.13542498991584,17.9897273389162,93.8583484678901
